rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12766987,Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,success,yes,yes,"Additionally, in mouse BMDMs treated with Escherichia coli, Staphylococcus aureus, Candida albicans, or LPS, Calhm6 expression was significantly elevated after 24 h.",,Calhm6;CALHM6,Escherichia;Staphylococcus;LPS,
2,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,no,,,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC12130849,Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,success,no,no,,,,,
6,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
7,PMC10068325,The ion channel CALHM6 controls bacterial infection‐induced cellular cross‐talk at the immunological synapse,success,yes,yes,"Both LPS and IFN-Γ upregulated CALHM6, with high and sustained levels of CALHM6 expression induced by IFN-Γ, while LPS‐induced expression was lower and transient over 48 h (Fig 1D).","L21: Figure 1: CALHM6 is upregulated by pro‐inflammatory and downregulated by anti‐inflammatory signals A Calhm6 mRNA expression measured by qPCR in F4/80+ macrophages and CD11c+ DCs magnetically isolated from spleens of mice injected with Poly(I:C) (0.5 mg/mouse) or PBS for 6 h (Poly(I:C)‐treated mice n = 3, control mice n = 3). B Representative immunoblot analysis of CALHM6 expression in BMDM and BMDC stimulated for 6 or 24 h with Poly(I:C) (50 Γg/ml) or LPS (100 ng/ml) (one representative experiment of two is shown, n = 2 mice). C BMDM were stimulated for 6 or 24 h with LPS (100 ng/ml), Zymosan (100 Γg/ml) or Poly(I:C) (50 Γg/ml). Calhms mRNA expression measured by qPCR (one representative experiment of two is shown, n = 3 mice per experiment, total n = 6 mice, biological replicates). D Representative immunoblot analysis of CALHM6 expression in BMDM stimulated with LPS (100 ng/ml) or IFN‐Γ (10 ng/ml) for 2–48 h (one representative experiment of three is shown, n = 3 mice).",Calhm6;CALHM6,LPS,
8,PMC12308322,Store-operated calcium entry facilitates LPS-induced superoxide anion-dependent macrophage extracellular traps,success,no,no,,,,,
9,PMC8591423,Resolving macrophage polarization through distinct Ca2+ entry channel that maintains intracellular signaling and mitochondrial bioenergetics,success,no,no,,,,,
10,PMC5484384,Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,success,no,no,,,,,
11,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
12,PMC4904125,Inhibition of Extracellular Calcium Influx Results in Enhanced IL-12 Production in LPS-Treated Murine Macrophages by Downregulation of the CaMKKβ-AMPK-SIRT1 Signaling Pathway,success,no,no,,,,,
13,PMC7015811,Structure and assembly of calcium homeostasis modulator proteins,success,no,no,,,,,
14,PMC13383683,Correction to “Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses”,success,no,no,,,,,
15,PMC8386937,Microglial Calhm2 regulates neuroinflammation and contributes to Alzheimer’s disease pathology,success,no,no,,,,,
16,PMC9563021,Baicalin Modulates Inflammatory Response of Macrophages Activated by LPS via Calcium-CHOP Pathway,success,no,no,,,,,
17,PMC10789631,"CTRP6 promotes the macrophage inflammatory response, and its deficiency attenuates LPS-induced inflammation",success,no,no,,,,,
18,PMC9916843,Moutan Cortex Extract Modulates Macrophage Activation via Lipopolysaccharide-Induced Calcium Signaling and ER Stress-CHOP Pathway,success,no,no,,,,,
19,PMC7556292,miR-106a Targets Anoctamin 1 (ANO1) to Regulate Lipopolysaccharide (LPS)-Induced Inflammatory Response in Macrophages,success,no,no,,,,,
20,PMC12032354,Dietary targeting of TRPM8 rewires macrophage immunometabolism reducing colitis severity,success,no,no,,,,,
21,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,success,no,no,,,,,
22,PMC5063294,Calcitonin Peptide Family Members Are Differentially Regulated by LPS and Inhibit Functions of Rat Alveolar NR8383 Macrophages,success,no,no,,,,,
23,PMC10046163,Mitochondrial Calcium Nanoregulators Reverse the Macrophage Proinflammatory Phenotype Through Restoring Mitochondrial Calcium Homeostasis for the Treatment of Osteoarthritis,success,no,no,,,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
25,PMC13206805,Calcium Signaling in Macrophages During a Wound Response In Vivo,success,no,no,,,,,
