gene	query	search_id	date	rank	paper_id	title	verdict	status
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	1	PMC2213356	Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	2	PMC3654183	Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	3	PMC6990626	Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	4	PMC2119110	Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	5	PMC2190891	Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	6	PMC2190998	Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	7	PMC6234144	LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	8	bio_206e5a356c66	Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	9	PMC4575053	AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	10	PMC10949775	Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	11	PMC5918604	Augmentation and Suppression of Release of Tumor Necrosis Factor from Macrophages by Negatively Charged Phospholipids	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	12	PMC8716064	Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	13	PMC2187654	Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	14	PMC7018708	Macrophages employ quorum licensing to regulate collective activation	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	15	PMC9411976	Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	16	PMC11373197	Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies	no	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	17	PMC2819999	Signaling pathways involved in LPS induced TNFalpha production in human adipocytes	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	18	PMC3153254	Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	19	PMC2365439	RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	20	PMC2410250	Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	21	PMC3892557	CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	22	PMC1440772	Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	23	PMC2211976	Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases	no	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	24	bio_1ab02dae6d41	The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	25	PMC11506017	Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_49059bb1	2026-09-25T13:15:58Z	26	PMC7725547	Apigenin-7-Glucuronide from Urera aurantiaca Inhibits Tumor Necrosis Factor Alpha and Total Nitrite Release in Lipopolysaccharide-Activated Macrophages	yes	ok
