gene	query	search_id	date	rank	paper_id	title	verdict	status
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	1	PMC7275413	Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	2	PMC2119110	Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	3	PMC2187654	Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	4	PMC2190891	Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	5	PMC5332009	Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	6	PMC7521295	PDX regulates inflammatory cell infiltration via resident macrophage in LPS‐induced lung injury	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	7	PMC5332015	Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	8	PMC4575053	AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	9	bio_206e5a356c66	Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	10	PMC6234144	LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	11	bio_1ab02dae6d41	The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	12	PMC7018708	Macrophages employ quorum licensing to regulate collective activation	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	13	PMC2234390	Ginger extract inhibits LPS induced macrophage activation and function	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	14	PMC10949775	Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	15	PMC6611339	Site-Specific Reprogramming of Macrophage Responsiveness to Bacterial Lipopolysaccharide in Obesity	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	16	PMC2190998	Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	17	PMC2410250	Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	18	PMC9411976	Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	19	PMC3786936	The Uremic Toxin Indoxyl Sulphate Enhances Macrophage Response to LPS	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	20	PMC1079929	Unaltered TNF-α production by macrophages and monocytes in diet-induced obesity in the rat	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	21	PMC2819999	Signaling pathways involved in LPS induced TNFalpha production in human adipocytes	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	22	PMC3433324	Minocycline hydrochloride nanoliposomes inhibit the production of TNF-α in LPS-stimulated macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	23	PMC2365439	RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages	yes	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	24	PMC11506017	Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages	no	ok
Tnf	Tnf LPS macrophage	s_5c909007	2026-09-24T17:55:26Z	25	PMC3827119	Role of Protein Tyrosine Phosphatase Non-Receptor Type 7 in the Regulation of TNF-α Production in RAW 264.7 Macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	1	PMC2195971	Protein Kinase Cε Is Required for Macrophage Activation and Defense Against Bacterial Infection	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	2	PMC7905073	Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	3	bio_206e5a356c66	Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	4	PMC8146495	Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	5	PMC9411976	Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS	yes	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	6	PMC6245571	Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	7	PMC11547330	Selective PPARδ Agonist GW501516 Protects Against LPS-Induced Macrophage Inflammation and Acute Liver Failure in Mice via Suppressing Inflammatory Mediators	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	8	PMC4284740	Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages	yes	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	9	PMC5751240	Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	10	PMC6920088	Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	11	PMC2413043	Acetylation of mitogen-activated protein kinase phosphatase-1 inhibits Toll-like receptor signaling	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	12	PMC150509	Activation of macrophage nuclear factor-κB and induction of inducible nitric oxide synthase by LPS	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	13	PMC3660024	Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	14	PMC12592619	Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages	yes	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	15	PMC7851796	Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	16	PMC6543837	Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Nos2	Nos2 LPS macrophage	s_41f6df11	2026-09-24T17:55:31Z	17	PMC8921716	Acute exacerbation of idiopathic pulmonary fibrosis model by small amount of lipopolysaccharide in rats	no	ok
