title,authors,id,source,date,url,abstract
Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,Lori A. Coburn; Kshipra Singh; Mohammad Asim; Daniel P. Barry; Margaret M. Allaman; Nicole T. Al-Gre...,Matched: Loss of Slc7a2 leads a shift toward a M2 macrophage activation pattern,cat /papers/PMC6377304/content.lines --lines 29,2018-09-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6377304/,Loss of SLC7A2 in colon epithelial cells was studied in a colitis-associated cancer model. Its absence significantly increased tumor development and promoted pro-tumorigenic inflammation.
FOCIS abstract supplement,Gail Bast,PMC7128890,PMC,2005-04-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128890/,
Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,Rachel Young; Stephen J. Bush; Lucas Lefevre; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriu...,Matched: RNA-seq analysis of genes involved in arginine metabolism,cat /papers/PMC6245571/content.lines --lines 33-34,2018-11-05,https://doi.org/10.4049/immunohorizons.1700073,"This study analyzed gene expression related to nitric oxide production in macrophages from various species. Macrophage responses to LPS stimulation, including NOS2 induction, are not conserved across species and may be influenced by retrotransposon insertions."
The L-Arginine Transporter Solute Carrier Family 7 Member 2 Mediates the Immunopathogenesis of Attaching and Effacing Bacteria,Kshipra Singh; Nicole T. Al-Greene; Thomas G. Verriere; Lori A. Coburn; Mohammad Asim; Daniel P. Bar...,Matched: Discussion,cat /papers/PMC5081186/content.lines --lines 57-59,2016-10-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5081186/,"The L-arginine transporter SLC7A2 was studied in mice infected with attaching and effacing bacteria. SLC7A2 mediates bacterial attachment and immune responses, contributing to colitis severity."
Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,Zhan Wang; Qingxia Zhao; Yan Nie; Yi Yu; Biswapriya B. Misra; Manal Zabalawi; Jeff W. Chou; Chia-Chi...,Matched: Deletion of SLC37A2 Promotes Macrophage Pro-Inflammatory Activation,cat /papers/PMC7232099/content.lines --lines 21-22,2020-05-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7232099/,This study investigated the role of SLC37A2 in murine macrophage inflammation. SLC37A2 dampens inflammation by down-regulating glycolysis and cytokine production in macrophages.
The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,Mengjie Yang; Xiaowei Chen; Xiran Hu; Hexiang Li; Hao Huang; Yingzhe Fang; Jue Jiang; Hudan Liu; Yua...,Matched: Slc7a11 knockout triggers ferroptosis in M1 macrophages,cat /papers/PMC12268560/content.lines --lines 28-29,2025-06-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12268560/,"This study investigated the mechanisms behind M1 macrophage ferroptosis resistance. It found that the NF-κB-SLC7A11 pathway increases cystine uptake and glutathione synthesis, making M1 macrophages resistant to ferroptosis."
Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,Jun Liang; Yingli Cai; Yiming Shao,Matched: LPS Induces M1 Polarization and Inflammatory Response in RAW264.7 Macr,cat /papers/PMC13199726/content.lines --lines 100-101,2026-05-20,https://doi.org/10.2147/IDR.S590998,"Gram-negative bacterial infection is a major cause of severe inflammatory disorders and cellular damage, with lipopolysaccharide (LPS) as a key pathogenic trigger. Macrophages are central players in L"
Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,Shuaishuai Zhou; Yongting Luo; Junjie Luo; Siyue Li; Baixue Liu; Wen Shao; Jin Tao; Jingyi Qi; Chang...,Matched: Slc7a11 Overexpression in Macrophages Inhibits M1 Polarization and Pro,cat /papers/PMC12950507/content.lines --lines 25-26,2026-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12950507/,"Atherosclerotic cardiovascular diseases (ASCVDs) remain the primary cause of morbidity and mortality. Macrophages are involved in the progression and regression of atherosclerosis, and macrophage amin"
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,Kei Ishida; Takahiro Nagatake; Azusa Saika; Soichiro Kawai; Eri Node; Koji Hosomi; Jun Kunisawa,Matched: Photographs of each macrophage,cat /papers/PMC10167635/content.lines --lines 39,2023-04-21,https://doi.org/10.3389/fimmu.2023.1111729,"This study analyzed macrophages induced by simultaneous LPS and IL-4 stimulation. These macrophages exhibited unique properties, blending M1 and M2 characteristics with distinct energy metabolism."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,Haruna Takeda; Shohei Murakami; Zun Liu; Tomohiro Sawa; Masatomo Takahashi; Yoshihiro Izumi; Takeshi...,Matched: LPS treatment of macrophages,cat /papers/PMC10412850/content.lines --lines 26,2023-07-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10412850/,This study investigated sulfur metabolism in macrophages during inflammation. Increased cysteine uptake and supersulfide production by macrophages limit excessive inflammatory responses through a negative feedback loop.
Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,Claudia J. Stocks; Jessica B. von Pein; James E.B. Curson; James Rae; Minh‐Duy Phan; Darren Foo; Nil...,Matched: Zinc transporter SLC30A1 is constitutively expressed and further upreg,cat /papers/PMC7891337/content.lines --lines 41-42,2020-05-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7891337/,"LPS stimulation upregulates SLC30A1 in human macrophages, driving zinc toxicity against intracellular *E. coli*. Ectopic SLC30A1 expression is sufficient to induce this antimicrobial pathway."
