title,authors,id,source,date,url,abstract
HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,Bing Yan; Songbo Xie; Zhu Liu; Jie Ran; Yuanyuan Li; Jian Wang; Yang Yang; Jun Zhou; Dengwen Li; Min...,Matched: Abstract,cat /papers/PMC4199742/content.lines --lines 1-7,2014-10-16,https://doi.org/10.1371/journal.pone.0110718,"This study investigated the role of HDAC6 in lipopolysaccharide-induced macrophage activation. HDAC6 deacetylase activity is critical for this activation, mediated by its effects on cell adhesion and microtubule acetylation, not F-actin."
Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,Chenming Wu; Ang Li; Jian Hu; Jiuhong Kang,Matched: LPS stimulation of macrophages induces HDAC2 expression,cat /papers/PMC7379312/content.lines --lines 16-17,2018-10-31,https://doi.org/10.1111/imcb.12203,"Histone deacetylase 2 (HDAC2) is essential for LPS-induced inflammatory responses in macrophages. HDAC2 regulates these responses by deacetylating c-Jun, which then represses pro-inflammatory gene transcription."
Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,Andreas von Knethen; Bernhard Brüne,Matched: 2.3. Endotoxemia and LPS Treatment of Cells to Mimic Epigenetic Altera,cat /papers/PMC6359123/content.lines --lines 21-22,2019-01-16,https://doi.org/10.3390/ijms20020346,"Histone deacetylase (HDAC) inhibitors were studied as a therapeutic concept for sepsis. Inhibiting HDACs may restore gene expression profiles, potentially blocking sepsis progression by modulating inflammatory mediators."
Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,Rishika Abrol; Syeda Farhana Afroz; James E. B. Curson; Karoline D. Raven; Kaustav Das Gupta; Kimber...,Matched: HDAC7 promotes LPS-inducible glycolysis and a subset of inflammatory r,cat /papers/PMC12539210/content.lines --lines 40-41,2025-10-10,https://doi.org/10.1242/jcs.264376,"HDAC7 was studied for its role in LPS-inducible mitochondrial fission in macrophages. HDAC7 promotes this fission, which is linked to DRP1 and influences metabolic and inflammatory responses."
Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,Hyunju Kang; Shin Kim; Jin-Young Lee; Bohkyung Kim,Matched: 3.2. CK and Hdac4 Knockdown Abolished the LPS-Induced Reduction in Sir,cat /papers/PMC10096759/content.lines --lines 35-36,2023-03-27,https://doi.org/10.3390/nu15071626,Ginsenoside compound K's effects on lipopolysaccharide-stimulated macrophages were studied. Compound K inhibits inflammation and metabolic changes by activating SIRT1 and repressing HDAC4.
HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,Mohammed Ghiboub; Jing Zhao; Andrew Y. F. Li Yim; Ronald Schilderink; Caroline Verseijden; Patricia ...,Matched: Monocyte Isolation and Cell Culture,cat /papers/PMC7573361/content.lines --lines 27-28,2020-10-05,https://doi.org/10.3389/fimmu.2020.550769,"HDAC3 inhibition reduced inflammatory cytokine secretion in human monocytes and M1 macrophages, but not M2. HDAC3 also mediates LPS tolerance by suppressing tolerizable genes, possibly via TLR4/CD14 downregulation."
Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,Yuanyuan Xiang; Yu Zhong; Xianwen Lai; Zhenfu Fang; Guomei Su; Yingying Lv; Xiantong Tang; Lihuan Ou...,Matched: HDAC10 expression is increased in the lung macrophages following LPS e,cat /papers/PMC11221109/content.lines --lines 30-31,2024-07-02,https://doi.org/10.1186/s12931-024-02891-2,"HDAC10 deletion in myeloid cells protects against LPS-induced acute lung injury. This protection occurs because HDAC10 normally deacetylates P62 at K165, promoting inflammation."
Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,Wen-Feng Fang; Yu-Mu Chen; Chiung-Yu Lin; Hui-Lin Huang; Hua Yeh; Ya-Ting Chang; Kuo-Tung Huang; Men...,Matched: HDAC2 activity analysis,cat /papers/PMC5763578/content.lines --lines 61,2018-01-10,https://doi.org/10.1186/s12950-018-0179-6,Histone deacetylase 2 (HDAC2) was studied in LPS-induced inflammation models to understand its role in regulating inflammatory responses. HDAC2 attenuates inflammation by inhibiting PAI-1 expression through the c-Jun pathway.
Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,Hoang C. B. Nguyen; Marine Adlanmerini; Amy K. Hauck; Mitchell A. Lazar,Matched: In vivo transcription profiling.,cat /papers/PMC7725280/content.lines --lines 36,2020-08-05,https://doi.org/10.1038/s41586-020-2576-2,"HDAC3's role in macrophage inflammatory responses was studied. Dichotomous engagement of HDAC3, both with and without its catalytic activity, is vital for innate immunity."
Expression of Histidine Decarboxylase and Its Roles in Inflammation,Noriyasu Hirasawa,Matched: 5.1. Endotoxin-Induced Inflammation,cat /papers/PMC6359378/content.lines --lines 25,2019-01-16,https://doi.org/10.3390/ijms20020376,"This study investigated histidine decarboxylase (HDC) expression and its role in inflammation. HDC induction at inflammatory sites maintains histamine levels, regulating functions and cytokine production."
