rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,
2,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,,,
3,PMC6359123,Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,success,yes,"In bone-marrow-derived macrophages, Aung et al. found that LPS regulates pro-inflammatory gene expression in macrophages by altering histone deacetylase expression [57].",,
4,PMC12539210,Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,success,no,,,
5,PMC10096759,Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,success,no,,,
6,PMC7573361,HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,success,no,,,
7,PMC11221109,Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,success,yes,Our findings revealed an obvious increase of HDAC10 mRNA levels in LPS-exposed ALI mice lung tissues compared to those of normal controls (Fig. 1A).,,
8,PMC5763578,Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,success,yes,"L25: RAW264.7 cells transfected with HDAC2 showed around a 1.5-fold increase in HDAC2 protein expression, when compared to the cells transfected with the vector control (Fig. 2a). HDAC2 repressed LPS-induced secretion of PAI-1, TNF, and MIP-2 (Fig. 2b-d), but increased uPA secretion (Fig. 2e).",,
9,PMC7725280,Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,success,no,,,
10,PMC6359378,Expression of Histidine Decarboxylase and Its Roles in Inflammation,success,yes,"Stimulation of RAW 264 cells with a toll-like receptor 4 stimulant lipopolysaccharide (LPS) or chemical stimulants, such as the calcium-ATPase inhibitor thapsigargin and the protein kinase C activator 12-O-tetradecanoylphorbol 13-acetate, increased histamine levels in the conditioned medium. This increase was associated with HDC expression.",,
11,PMC13493966,Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,success,yes,Volcano plot highlighting upregulation of HDC after NE treatment.,,
12,PMC12395717,HDAC2 mediates the activation of macrophage in sepsis induced lung injury via regulating the acetylation of SOX2 and the transcription of STAMP2,success,yes,"Subsequent authors: ""For in vitro experiments, lipopolysaccharide (LPS)-induced macrophages were employed to model SLI."" ""Furthermore, western blot analysis confirmed that protein expression of HDAC2 was upregulated in the lung tissue of CLP mice and in macrophages following LPS treatment"" (L9, L54)",,
13,PMC8358884,Histone deacetylase 9 deficiency exaggerates uterine M2 macrophage polarization,success,no,,,
14,PMC8120827,Lactobacillus rhamnosus HDB1258 modulates gut microbiota-mediated immune response in mice with or without lipopolysaccharide-induced systemic inflammation,success,no,,,
15,PMC6026695,Degradation of histone deacetylase 4 via the TLR4/JAK/STAT1 signaling pathway promotes the acetylation of high mobility group box 1 (HMGB1) in lipopolysaccharide‐activated macrophages,success,yes,"As shown Fig. 3A, the protein expression of HDAC4 decreased in a time-dependent manner after LPS treatment, which was reversed by MG132, a proteasome inhibitor (Fig. 3B), suggesting that LPS treatment enhanced HDAC4 loss by proteasome-dependent degradation.",,
16,PMC10316655,HDAC3 promotes macrophage pyroptosis via regulating histone deacetylation in acute lung injury,success,yes,"As shown in Figures 1A and 1B, compared with the baseline status, both the protein and mRNA expression levels of HDAC3 were obviously increased in lung tissues from LPS-treated mice.",,
17,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
18,PMC4568921,Histone deacetylase 5 regulates the inflammatory response of macrophages,success,yes,"Toll-like receptor-mediated stimulation of murine RAW264.7 cells significantly reduced HDAC5 mRNA within 7 hrs but presented baseline levels after 24 hrs, a mechanism that was also found for Interferon-Γ treatment. If treated with lipopolysaccharide, RAW264.7 cells transfected for over-expression only of full-length but not of mutant HDAC5, significantly elevated secretion of tumour necrosis factor ̑ and of the monocyte chemotactic protein-1.",,
19,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
20,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
21,PMC12748187,LPS mediates cuproptosis and inflammation in THP-1 macrophages through HKDC1,success,yes,We found that LPS promoted the expressions of inflammatory factors and decreased cuproptosis levels in THP-1-derived macrophages while also activating glycolysis and inducing the expression of HKDC1 via the Toll-like receptor 4 (TLR4) receptor.,,
22,PMC8147777,Phenotypic and Functional Heterogeneity of Low-Density and High-Density Human Lung Macrophages,success,no,,,
23,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
24,PMC6821885,Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,success,yes,Quantitative RT-PCR analysis demonstrated that the endogenous Hdc mRNA level was increased 6.1-fold in the lung at 4 hours after LPS administration (L33).,,
25,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
