title,authors,id,source,date,url,abstract
The Bcl2a1 gene cluster finally knocked out: first clues to understanding the enigmatic role of the Bcl-2 protein A1,Ingolf Berberich; David A Hildeman,PMC5384030,PMC,2017-03-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5384030/,
A1 is induced by pathogen ligands to limit myeloid cell death and NLRP3 inflammasome activation,Mary Speir; Hazel Tye; Timothy A Gottschalk; Daniel S Simpson; Tirta M Djajawi; Pankaj Deo; Rebecca ...,Matched: LPS priming delays BAX/BAK‐mediated apoptosis and IL‐1β release in mac,cat /papers/PMC10626451/content.lines --lines 22-23,2023-10-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10626451/,"A1 expression is induced by pathogen ligands in myeloid cells to regulate apoptosis and inflammasome activation. This induction limits cell death and IL-1β production, suggesting a bacterial mechanism to dampen inflammatory responses."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Contribution of A1 to macrophage survival in cooperation with MCL-1 and BCL-XL in a murine cell model of myeloid differentiation,Juliane Vier; Georg Häcker; Susanne Kirschnek,Matched: A1 is important for survival of macrophage progenitors under pro-infla,cat /papers/PMC11405755/content.lines --lines 32,2024-09-16,https://doi.org/10.1038/s41419-024-07064-z,"This study analyzed the role of the anti-apoptotic protein A1 in macrophage survival during differentiation. A1 cooperates with MCL-1 and BCL-XL to protect macrophages, especially under inflammatory conditions."
"Accelerated Neutrophil Apoptosis in Mice Lacking A1-a, a Subtype of the bcl-2–related A1 Gene",Azumi Hamasaki; Fujiro Sendo; Keiko Nakayama; Noriko Ishida; Izumi Negishi; Kei-ichi Nakayama; Shige...,Matched: Absence of Apoptosis Inhibition of PEN and LPS-treated PBN in A1-a− /−,cat /papers/PMC2212378/content.lines --lines 37,1998-12-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2212378/,"Mice lacking the A1-a gene were studied to understand its role in neutrophil apoptosis. These mice showed accelerated neutrophil apoptosis, suggesting A1-a inhibits certain types of this process."
Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),Yazhen Hu; Xiaolei Wei; Zhiwei Liao; Yu Gao; Xiaoling Liu; Jianguo Su; Gailing Yuan,Matched: 3. Discussion,cat /papers/PMC6274997/content.lines --lines 39-40,2018-11-12,https://doi.org/10.3390/ijms19113562,"This study analyzed the transcriptomes of resting and LPS-activated grass carp macrophages. Four novel cell surface markers and two chemokines were identified as potential macrophage markers, with others indicating activation."
LPSlow-Macrophages Alleviate the Outcome of Graft-Versus-Host Disease Without Aggravating Lymphoma Growth in Mice,Mohamed Jeljeli; Charlotte Chêne; Sandrine Chouzenoux; Marine Thomas; Benjamin Segain; Ludivine Dori...,Matched: Reagents and Chemicals,cat /papers/PMC8369416/content.lines --lines 13,2021-08-03,https://doi.org/10.3389/fimmu.2021.670776,LPS low-trained macrophages were studied for their effect on graft-versus-host disease (GvHD) and lymphoma growth in mice. These macrophages attenuated GvHD symptoms and improved survival without accelerating lymphoma growth.
Could a B-1 Cell Derived Phagocyte “Be One” of the Peritoneal Macrophages during LPS-Driven Inflammation?,Ana Flavia Popi; Lika Osugui; Katia Regina Perez; Ieda Maria Longo-Maugéri; Mario Mariano,Matched: B-1CDPs are part of the LPS-elicited peritoneal macrophage population,cat /papers/PMC3316698/content.lines --lines 60-61,2012-03-30,https://doi.org/10.1371/journal.pone.0034570,"This study investigated if B-1 cells can differentiate into peritoneal macrophages during LPS-induced inflammation. Results indicate B-1 cells do differentiate into phagocytes in vivo, contributing to the peritoneal macrophage population."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
A1/Bfl-1 in leukocyte development and cell death,Eleonora Ottina; Denise Tischner; Marco J. Herold; Andreas Villunger,Matched: A1/Bfl-1 in the development and function of myeloid cells,cat /papers/PMC3405526/content.lines --lines 39-41,2012-07-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3405526/,"This review summarizes current knowledge on the anti-apoptotic protein A1. A1 plays significant roles in leukocyte development and survival, with implications in immunity, autoimmunity, and cancer."
