rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
1,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,LPS treatment of the RAW264.7 cells and mouse primary bone-marrow-derived macrophages (BMMs) upregulated the expression of the HDAC2 mRNA within 1 h of stimulation.,,LPS,yes->no: evidence does not name the gene
2,PMC6359123,Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,success,no,,,,
3,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,,
4,PMC11221109,Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,success,no,Our findings revealed an obvious increase of HDAC10 mRNA levels in LPS-exposed ALI mice lung tissues compared to those of normal controls (Fig. 1A).,,LPS,yes->no: evidence does not name the gene
5,PMC13493966,Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,success,no,"Western blot analysis also showed a pronounced elevation of HDC protein in norepinephrine-treated cells (Fig. 4F, G).",Hdc,,yes->no: evidence does not name LPS or infection
6,PMC10096759,Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,success,no,,,,
7,PMC5763578,Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,success,no,,,,
8,PMC7573361,HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,success,no,,,,
9,PMC6821885,Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,success,yes,Quantitative RT-PCR analysis demonstrated that the endogenous Hdc mRNA level was increased 6.1-fold in the lung at 4 hours after LPS administration (L33).,Hdc,LPS,
10,PMC7497259,Histamine and histidine decarboxylase: Immunomodulatory functions and regulatory mechanisms,success,no,"We found that the GFP-positive histamine-producing neutrophils were dramatically increased in lung and circulating peripheral blood under septic conditions (Takai et al., 2019).",,septic,yes->no: evidence does not name the gene
11,PMC7725280,Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,success,no,,,,
12,PMC12539210,Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,success,no,,,,
13,PMC10316655,HDAC3 promotes macrophage pyroptosis via regulating histone deacetylation in acute lung injury,success,no,"As shown in Figures 1A and 1B, compared with the baseline status, both the protein and mRNA expression levels of HDAC3 were obviously increased in lung tissues from LPS-treated mice.",,LPS,yes->no: evidence does not name the gene
14,PMC2588973,The regulation of histidine decarboxylase gene expression.,success,no,,,,
15,PMC4568921,Histone deacetylase 5 regulates the inflammatory response of macrophages,success,no,"Kinetics over 7 hrs revealed a significant decrease of HDAC5 expression by about 70% (Fig.1D), which appeared to revert to the level of non-activated cells after 24 hrs (Fig.1C).",,,yes->no: evidence does not name the gene
16,PMC9672892,Histamine Signaling Is Essential for Tissue Macrophage Differentiation and Suppression of Bacterial Overgrowth in the Stomach,success,no,,,,
17,PMC10682073,Role of histamine-mediated macrophage differentiation in clearance of metastatic bacterial infection,success,no,,,,
18,PMC12395717,HDAC2 mediates the activation of macrophage in sepsis induced lung injury via regulating the acetylation of SOX2 and the transcription of STAMP2,success,no,"For in vitro experiments, lipopolysaccharide (LPS)-induced macrophages were employed to model SLI.",,lipopolysaccharide;LPS,yes->no: evidence does not name the gene
19,PMC5535887,The Novel HDAC8 Inhibitor WK2-16 Attenuates Lipopolysaccharide-Activated Matrix Metalloproteinase-9 Expression in Human Monocytic Cells and Improves Hypercytokinemia In Vivo,success,no,,,,
20,PMC6830127,Targeting Histone Deacetylases in Myeloid Cells Inhibits Their Maturation and Inflammatory Function With Limited Effects on Atherosclerosis,success,no,,,,
21,PMC12925555,HDAC1 and SATB1 positively regulate immune responses in chicken macrophages,success,no,"Under these conditions, HDAC1 and SATB1 transcripts were significantly upregulated (Fig. 1C; P < 0.05 and P < 0.001, respectively), implicating both factors in the HD11 response to LPS.",,LPS,yes->no: evidence does not name the gene
22,PMC7730296,Anti-Allergic Potential of Cinnamaldehyde via the Inhibitory Effect of Histidine Decarboxylase (HDC) Producing Klebsiella pneumonia,success,no,,,,
23,PMC8358884,Histone deacetylase 9 deficiency exaggerates uterine M2 macrophage polarization,success,no,,,,
24,PMC12035888,HDC/histamine Signaling Axis Drives Macrophage Reprogramming to Promote Angiogenesis in Hindlimb-Ischemic Mice,success,no,,,,
25,PMC6026695,Degradation of histone deacetylase 4 via the TLR4/JAK/STAT1 signaling pathway promotes the acetylation of high mobility group box 1 (HMGB1) in lipopolysaccharide‐activated macrophages,success,no,"As shown Fig. 3A, the protein expression of HDAC4 decreased in a time-dependent manner after LPS treatment, which was reversed by MG132, a proteasome inhibitor (Fig. 3B), suggesting that LPS treatment enhanced HDAC4 loss by proteasome-dependent degradation.",,LPS,yes->no: evidence does not name the gene
