rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2213356,Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function,success,yes,"However, after LPS stimulation of ex vivo peritoneal macrophages, correct upregulation of transgene mRNA (15) and of protein production (not shown) could be demonstrated.",,
2,PMC3654183,Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo,success,yes,"The TNF mRNA analysis showed that the major source of the cytokine was the liver and not blood, and that the H4R antagonist only reduced the expression levels in the liver.",,
3,PMC6990626,Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,success,yes,"The gel image (Figure 2C) revealed a distinct band corresponding to transmembrane TNFα around 750 bp in 100 ng/mL LPS-treated macrophages, while there was no amplification in the untreated ones.",,
4,PMC2119110,Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,success,yes,"Quantities of LPS that are insufficient to induce the production and release of TNF-ol from normal, unprimed M~b, can trigger IFN- ""y-primed M~k to produce significant quantities of TNF-ot (12, 28).",,
5,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,Preculture of thioglycollate-elicited C3HeB/FeJ mouse peritoneal macrophages in vitro with subthreshold stimulatory concentrations of lipopolysaccharide (LPS) can induce hyporesponsiveness (desensitization) to both tumor necrosis factor alpha (TNF-alpha) and nitric oxide (NO) production when these cells are subsequently stimulated with 100 ng/ml of LPS.,,
6,PMC2190998,"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",success,yes,"The tumor necrosis factor (TNF-alpha or TNF) gene is activated by both lipopolysaccharide (LPS) and cycloheximide in RAW 264.7 macrophages, whereas neither stimulus activates the gene in 3T3 fibroblasts.",,
7,PMC6234144,LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,success,yes,"After 1-h of LPS stimulation, TNF̑± mRNA expression increased (7.0-fold) significantly",,
8,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,"To capture distinct macrophage subpopulations upon activation with LPS we measured protein expression of three cytokines, TNF, pro-IL-1̣β and IL-6, and one intracellular pro-inflammatory protein NOS2, an enzyme that catalyzes nitric oxide formation.",,
9,PMC4575053,AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,success,yes,"In the current study, our results demonstrated that AS-703026, a novel MEK/ERK inhibitor, suppressed LPS-induced TNF́̕α mRNA expression and protein secretion in RAW 264.7 murine macrophages, and in murine bone marrow-derived macrophages (BMDMs).",,
10,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,yes,"LPS increased mRNA levels of TNF, COX2, GM-CSF, INF̹ and IL12b up to 311, 418, 11, 9 and 4 fold, respectively.",,
11,PMC8716064,Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction,success,yes,"In order to assess the validity of LysMCre driven TNF-̑a deletion, we challenged a subset TNF-̑aF/F,LyzMCre, and TNF-̑aF/F mice with LPS. Similar to the results of others, mice with LyzMCre deletion of TNF-̑a displayed a significantly reduced TNF-̑a response to the LPS challenge (P < .05) (Figure S1).",,
12,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,"Primary macrophages accumulate large amounts of TNF-alpha mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNF-alpha gene (2, 3, 10, 20).",,
13,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,"L15: Upon activation, IκB kinase (IKK) targets IκB for degradation[3],[4], allowing NF-κB to translocate to the nucleus. There, NF-κB induces the transcription of genes such as tumor necrosis factor (TNF), a cytokine that mediates inflammation and pathogen clearance[5]–[7].",,
14,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.",,
15,PMC11373197,Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies,success,yes,"Ten years after its discovery in 1975 [1], early Tumor Necrosis Factor (TNF) secretion following injection of lipopolysaccharide (LPS) or live Escherichia coli was found to be associated with mortality in two studies conducted by Cerami’s team [2, 3].",,
16,PMC1079929,Unaltered TNF-α production by macrophages and monocytes in diet-induced obesity in the rat,success,yes,Ex vivo LPS-stimulation of full blood preparations resulted in a dose-dependent increase in the production of TNF-Α (Fig. 3).,,
17,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,"In a similar way NFkappaBi is responsible for a 30% and 70% reduction in TNFalpha gene transcription at 5 and 6 hours, respectively, following treatment with LPS (Figure 1B).",,
18,PMC3153254,Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α,success,yes,Rat sinusoidal endothelial cells expressed TNF-̕α mRNA after i.v. injection of plasmid DNA attached to a cationic liposome complex (lipoplex) [29].,,
19,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,yes,"In the present study, it is demonstrated that cytoplasmatic RNA extracted from rat macrophages stimulated with Escherichia coli lipopolysaccharide (LPS), referred to as L-RNA, induced the release of TNF-\u03b1 and IL-1 from monolayers of peritoneal resident macrophages.",,
20,PMC2410250,Lipopolysaccharide-mediated signal transduction: Stabilization of TNF-alpha mRNA contributes to increased lipopolysaccharide-stimulated TNF-alpha production by Kupffer cells after chronic ethanol feeding,success,yes,"Kupffer cells isolated from rats fed ethanol for 4 weeks accumulated 2-fold higher concentration of TNF-alpha in their media in response to challenge with LPS, with no difference in TNF-alpha accumulation between the pair- and ethanol-fed groups when cells were not treated with LPS (basal) [9,19].",,
21,PMC3892557,CD14 Mediates Binding of High Doses of LPS but Is Dispensable for TNF-α Production,success,yes,"Activation of macrophages with lipopolysaccharide (LPS) involves a sequential engagement of serum LPS-binding protein (LBP), plasma membrane CD14, and TLR4/MD-2 signaling complex. We analyzed participation of CD14 in TNF-Α production stimulated with 1–1000 ng/mL of smooth or rough LPS (sLPS or rLPS) and in sLPS binding to RAW264 and J744 cells.",,
22,PMC1440772,Lead Increases Lipopolysaccharide-Induced Liver Injury through Tumor Necrosis Factor-α Overexpression by Monocytes/Macrophages: Role of Protein Kinase C and p42/44 Mitogen-Activated Protein Kinase,success,yes,"L11: LPS, a component of the outer membrane of gram-negative bacteria, plays a major role in inducing septic shock and is a potent inducer of TNF-̕ͷá in vivo and in vitro (Goldfeld et al. 1990; Ulich et al. 1991).",,
23,PMC2211976,Tumor Necrosis Factor (TNF) Receptor Shedding Controls Thresholds of Innate Immune Activation That Balance Opposing TNF Functions in Infectious and Inflammatory Diseases,success,yes,"After LPS induction, mRNA levels in wild-type macrophages rapidly increase to a peak at 1 h and slowly return to baseline between 3 and 6 h.",,
24,PMC11506017,Catecholamines Attenuate LPS-Induced Inflammation through β2 Adrenergic Receptor Activation- and PKA Phosphorylation-Mediated TLR4 Downregulation in Macrophages,success,yes,"TNFα expression was clearly enhanced from 1 h after LPS treatment, with a peak at 2 h, then gradually diminishing at both the mRNA and protein levels (Figure 1).",,
25,PMC7725547,Apigenin-7-Glucuronide from Urera aurantiaca Inhibits Tumor Necrosis Factor Alpha and Total Nitrite Release in Lipopolysaccharide-Activated Macrophages,success,yes,"In the TNF-a model, the extract at 500 and 1000 ΓΘ/mL reduced LPS-augmented TNF-Α by 13.5% and 93.9%, respectively; meanwhile, A7G reduced it by 26.2% and 83.8% at 5 and 10 ΓΘ/mL, respectively.",,
