rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC13149992,ADAMTS4 elicits myeloid-derived immune cell recruitment and liver fibrogenesis in metabolic dysfunction-associated steatotic liver disease,success,no,no,,,,,
2,bio_aec0e8f76c09,Effect of Thrombospondin-4 on Pro-inflammatory Phenotype Differentiation and Apoptosis in Macrophages,success,no,no,,,,,
3,PMC6978349,Effects of thrombospondin-4 on pro-inflammatory phenotype differentiation and apoptosis in macrophages,success,no,no,,,,,
4,PMC5617887,Critical Role of ADAMTS-4 in the Development of Sporadic Aortic Aneurysm and Dissection in Mice,success,no,no,,,,,
5,PMC10671186,A Disintegrin and Metalloproteinase with Thrombospondin Motifs 4 Regulates Pulmonary Vascular Hyperpermeability through Destruction of Glycocalyx in Acute Respiratory Distress Syndrome,success,yes,yes,"We also confirmed via quantitative PCR analysis that the mRNA expression of ADAMTS4 was significantly induced following both LPS and poly (I:C) stimulation, which was consistent with the results of the microarray analysis (Figure 1C).","Quantitative PCR analysis of ADAMTS4 gene expression of HMVEC-Ls (C), HUVECs (D), and mouse VEC cell line UV♀2 (E) following stimulation of LPS or poly (I:C) for 4 h.",Adamts4;ADAMTS4,LPS,
6,PMC3779352,"Regulation of ADAMTS-1, -4 and -5 expression in human macrophages: Differential regulation by key cytokines implicated in atherosclerosis and novel synergism between TL1A and IL-17☆",success,no,no,,,,,
7,PMC11418412,A Disintegrin and Metalloproteinase with Thrombospondin Motifs-4 Levels in Chondrocytes of Different Morphology within Nondegenerate and Early Osteoarthritic Human Femoral Head Cartilage,success,no,no,,,,,
8,PMC3081072,"The expression of a disintegrin and metalloproteinase with thrombospondin motifs 4 in human macrophages is inhibited by the anti-atherogenic cytokine transforming growth factor-β and requires Smads, p38 mitogen-activated protein kinase and c-Jun",success,no,no,,,,,
9,PMC4974561,Loss of ADAMTS4 reduces high fat diet-induced atherosclerosis and enhances plaque stability in ApoE−/− mice,success,no,no,,,,,
10,PMC3945733,Thrombospondin-1 triggers macrophage IL-10 production and promotes resolution of experimental lung injury,success,no,no,,,,,
11,PMC13443130,ADAMTS4 mediates LPS‐induced cardiac injury and myocardial fibrosis through proteolytic cleavage of TSP1,success,yes,yes,"Relative to saline-administered control mice, ADAMTS4 protein and mRNA were both increased in LPS-treated hearts (Figure 1C,D).","To validate these transcriptomic findings, we challenged mice with 10 mg/kg LPS for 24 h and examined Adamts4 expression in cardiac tissue.",Adamts4;ADAMTS4,LPS,
12,PMC9507754,ADAM-10 Regulates MMP-12 during Lipopolysaccharide-Induced Inflammatory Response in Macrophages,success,no,no,,,,,
13,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
14,PMC13096709,"ADAMTS2 Modulates Inflammation, Autophagy, and Barrier Integrity Through PI3K/AKT/mTOR Signaling in LPS‐Induced Acute Respiratory Distress Syndrome",success,no,no,,,,,
15,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
16,PMC6120467,Interaction with macrophages attenuates equine fibroblast‐like synoviocyte ADAMTS5 (aggrecanase‐2) gene expression following inflammatory stimulation,success,yes,yes,"Maximum fold changes in mRNA levels of EFLS cultured independently and with DH82 cells respectively, were 10× (at 6 h) and 14× (at 3 h) for IL-1β mRNA, 50× (at 6 h), and 27× (at 6 h) for IL-6 mRNA, 18× (at 3 h) and 16× (at 3 h) for ADAMTS4 mRNA, and 4× (at 6 h) and 1.4× (at 6 h) for ADAMTS5 mRNA.","EFLS cultured independently demonstrated rapid increases in IL-1β, IL-6, ADAMTS4, and ADAMTS5 mRNAs in response to 10 µg/ml LPS (Fig. 3A).",Adamts4;ADAMTS4,LPS,
17,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
18,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
19,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
20,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
21,PMC2359863,The Activation of Macrophage and Upregulation of CD40 Costimulatory Molecule in Lipopolysaccharide-Induced Acute Lung Injury,success,no,no,,,,,
22,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
23,PMC10439713,Inhibition of the extracellular enzyme A disintegrin and metalloprotease with thrombospondin motif 4 prevents cardiac fibrosis and dysfunction,success,no,no,,,,,
24,PMC8486773,Spatiotemporal proteomic profiling of the pro-inflammatory response to lipopolysaccharide in the THP-1 human leukaemia cell line,success,no,no,,,,,
25,PMC4264871,Thrombospondin-1 Production Is Enhanced by Porphyromonas gingivalis Lipopolysaccharide in THP-1 Cells,success,no,no,,,,,
