rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2817383,Comparative Analyses of Transcriptional Profiles in Mouse Organs Using a Pneumonic Plague Model after Infection with Wild-Type Yersinia pestis CO92 and Its Braun Lipoprotein Mutant,success,yes,yes,"Also upregulated in WT Y. pestis-infected mice were the IFN-g-regulated serine proteases Serpina3g and Serpina3n (Supplementary, Table 2), which can inhibit caspase-independent death [32] and assist in the development of memory CD8 T cells [33].","We employed Murine GeneChips to delineate the global transcriptional profiles of the livers, lungs, and spleens in a mouse pneumonic plague infection model with wild-type (WT) Y. pestis CO92 and its Braun lipoprotein (\u0394l p p) mutant with reduced virulence.",Serpina3g,infected;infection,
2,bio_582891fd6ece,Adventitial macrophage accumulation impairs perivascular nerve function in mesenteric arteries with inflammatory bowel disease,success,no,no,,,,,
3,bio_182dc4406e54,The renal inflammatory network of nephronophthisis,success,no,no,,,,,
4,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
5,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
6,PMC3654373,Hepatic Gene Expression Profiling in Nrf2 Knockout Mice after Long-Term High-Fat Diet-Induced Obesity,success,no,no,,,,,
7,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,no,,,,,
8,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
9,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
10,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
11,PMC9979126,N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice,success,yes,yes,"Moreover, LPS upregulated Spi2a expression in macrophages in a dose-dependent manner at both mRNA and protein levels (Fig. 1b, c and S1d, e), indicating Spi2a might play a critical role in activated macrophages upon LPS treatment.",,Spi2A,LPS,
12,PMC6406460,"Relationship between Circulating Serpina3g, Matrix Metalloproteinase-9, and Tissue Inhibitor of Metalloproteinase-1 and -2 with Chronic Obstructive Pulmonary Disease Severity",success,no,no,,,,,
13,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
14,PMC3589482,The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,success,no,no,,,,,
15,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
16,PMC7481448,Serine Supports IL-1β Production in Macrophages Through mTOR Signaling,success,no,no,,,,,
17,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
18,PMC6667695,Cooperative and distinct functions of MK2 and MK3 in the regulation of the macrophage transcriptional response to lipopolysaccharide,success,yes,yes,"Using this threshold, the heat maps further suggested that the regulatory pattern (wt > MK2−/−, MK2/3−/− > MK2−/−) observed for Ifnb1 is not only the case for Ifnb1, but also for other genes including genes like Ccl12, Iigp1, Serpina3f and Serpina3g (Supplemental Fig. S2g).","Bone marrow-derived macrophages (BMDM) were isolated from wild-type (wt), MK2-deficient (MK2−/−) and MK2/3-double-deficient (MK2/3−/−) mice and treated with 100 ng/ml LPS for 2 (a) or 6 (b) h.",Serpina3g,LPS,
19,PMC4470529,Macrophage phenotype in sepsis immunosuppression,success,no,no,,,,,
20,bio_8463ddc16c3c,Semaphorin 3G exacerbates joint inflammation through the accumulation and proliferation of macrophages in the synovium,success,no,no,,,,,
21,PMC4446742,Endotoxin-Binding Peptides Derived from Casein Glycomacropeptide Inhibit Lipopolysaccharide-Stimulated Inflammatory Responses via Blockade of NF-κB activation in macrophages,success,no,no,,,,,
22,bio_78de31c56fc5,Sex differences in nociceptor translatomes contribute to divergent prostaglandin signaling in male and female mice,success,no,no,,,,,
23,PMC12149117,Endogenous SLPI contributes to the regulation of inflammatory responses in peritoneal macrophages by modulating MMP-9 production,success,no,no,,,,,
24,PMC13062519,Serglycin modulates inflammation and metabolism in macrophages,success,no,yes,"Among 1,507 quantified proteins, 53 were significantly differentially abundant in wild-type vs. SRGN-KO cells (adjusted p-value <0.05) (Figure 4A and Table S11). As expected, serglycin was the most downregulated protein in the secretome of knockout cells. Enrichment analysis revealed that proteins associated with IFN-γ and -α and TNF-α signaling via NF-κB (SERPINB2, TNFAIP2, IL6, SERPINB8, TNFAIP8) were upregulated in the secretome of SRGN-KO macrophages, i.e., in analogy with the findings from the RNA-Seq approach (Figure S3A).","THP-1 monocytes were differentiated into macrophage-like cells using 150 ng/mL phorbol 12- myristate 13-acetate (PMA; Sigma-Aldrich, Cat. No. P8139) for 24 hours, followed by a 24- hour recovery period in PMA-free medium. Cells were then polarized to either an M0 (resting) or M1 (proinflammatory) state by culturing in RPMI medium containing either vehicle (M0) or 20 ng/mL IFN-γ (PeproTech, Cat. No. 300-02) and 100 ng/mL LPS (Sigma-Aldrich, Cat. No. L2630).",,LPS,yes->no: evidence does not name the gene
25,PMC5613137,Recombinant Trichinella pseudospiralis Serine Protease Inhibitors Alter Macrophage Polarization In Vitro,success,no,no,,,,,
