rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC3653827,Macrophage Migration and Invasion Is Regulated by MMP10 Expression,success,yes,yes,MMP13 | no effect | ↑***,"Primary BMDM and Raw264.7 macrophages were cultured with 100 ng/mL LPS for 24 h prior to RNA extraction, reverse transcription and qRT-PCR analysis.",Mmp13;MMP13,LPS,
2,PMC6873576,Proinflammatory cytokines and lipopolysaccharides up regulate MMP-3 and MMP-13 production in Asian elephant (Elephas maximus) chondrocytes: attenuation by anti-arthritic agents,success,yes,yes,The results show that LPS at a 0.125 ΓΑ̇g/mL concentration significantly increased MMP3 and MMP13 mRNA levels as well as the levels of IL1B and IL6 while increasing the expression of the TNF-Α gene (TNFA) at a concentration of only 0.25 ΓΑ̇g/mL (Fig. 5).,"The chondrocytes were treated with LPS at various concentrations (0.125–1 ΓΑ̇g/mL) for 24 h, then mRNA levels were assessed by real-time RT-PCR.",Mmp13;MMP13,LPS,
3,PMC6249951,Regulation of matrix metalloproteinase-3 gene expression in inflammation: A molecular study,success,no,no,,,,,
4,PMC3411745,Classical Macrophage Activation Up-Regulates Several Matrix Metalloproteinases through Mitogen Activated Protein Kinases and Nuclear Factor-κB,success,no,no,,,,,
5,PMC5405711,Sirtuin 1 regulates matrix metalloproteinase-13 expression induced by Porphyromonas endodontalis lipopolysaccharide via targeting nuclear factor–κB in osteoblasts,success,yes,yes,"L36: P.e LPS significantly increased the expression of MMP-13 mRNA in a dose-dependent and time-dependent manner, as determined by real-time PCR (Figures 1(a) and (b)).",L37: Figure 1.: Matrix metalloproteinase-13 (MMP-13) expression is increased in MC3T3-E1 cells induced by Porphyromonas endodontalis lipopolysaccharide (P.e LPS).,MMP-13,LPS;Porphyromonas;lipopolysaccharide,
6,PMC3721470,Matrix metalloproteinase 13 modulates intestinal epithelial barrier integrity in inflammatory diseases by activating TNF,success,yes,yes,"Early after endotoxemia induction, we observed strong up-regulation of MMP13 in all tested organs (Fig 1A–D).","A–D. MMP13 gene expression analysis in ileum (A), liver (B) lung (C), and kidney (D) 0, 1, 4, 6, 8, and 12 h after LPS challenge (n = 5).",Mmp13;MMP13,endotoxemia;LPS,
7,PMC7451043,LPS stimulation during HCV infection induces MMP/TIMP1 imbalance in macrophages,success,no,no,,,,,
8,PMC6642645,Osteoarthritis patients with high haemoglobin A1c have increased Toll-like receptor 4 and matrix metalloprotease-13 expression in the synovium,success,yes,yes,MMP13 mRNA and MMP13 protein levels in SYN cells were significantly higher following stimulation with LPS compared to vehicle.,"SYN cells were exposed to 1000 μL of 0 (α-MEM), 100 or 1000 ng/mL LPS (Sigma, St. Louis, MO, USA) for 24 h.",Mmp13;MMP13,LPS,
9,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,yes,A comparison of LPS and vehicle-stimulated RAW 264.7 cultures showed that LPS treatment led to a general increase in MMP RNA expression with few exceptions (Figure 2).,"The mouse-derived macrophage cell line RAW 264.7 was propagated in culture medium defined as DMEM, containing 10% FCS and 1% Penicillin-Streptomycin (Sigma-Aldrich, Brøndby, Denmark). Experimental cell cultures were set up in 6-well culture plates by seeding 5 × 105 cells in 4 mL culture medium in each well. The following day, the culture medium was exchanged with serum-free DMEM. After 4 hours, vehicle (PBS) or LPS (Sigma-Aldrich, Brøndby, Denmark) was added to appropriate cultures to a final concentration of 100 ng/mL.",,LPS,yes->no: evidence does not name the gene
10,PMC5857518,Biochemical alterations in inflammatory reactive chondrocytes: evidence for intercellular network communication,success,no,no,,,,,
11,PMC2949711,"Suppression of LPS-induced matrix-metalloproteinase responses in macrophages exposed to phenytoin and its metabolite, 5-(p-hydroxyphenyl-), 5-phenylhydantoin",success,no,no,,,,,
12,PMC9507754,ADAM-10 Regulates MMP-12 during Lipopolysaccharide-Induced Inflammatory Response in Macrophages,success,no,no,,,,,
13,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,no,,,,,
14,PMC3979078,Collagenase-3 (MMP-13) deficiency protects C57BL/6 mice from antibody-induced arthritis,success,no,no,,,,,
15,PMC11104344,TPX2 upregulates MMP13 to promote the progression of lipopolysaccharide-induced osteoarthritis,success,yes,yes,"In our study, WB analysis revealed that LPS treatment upregulated MMP13 protein expression in C28/I2 cells and correspondingly diminished extracellular matrix (ECM) markers (Collagen II and Aggrecan).","For lipopolysaccharide (LPS) treatment, 5 × 105 cells were removed to 6-well plates, and various doses of LPS (0, 1, 5, and 10 μg/mL) were applied for 24 h.",Mmp13;MMP13,LPS;lipopolysaccharide,
16,PMC3672752,MMP13 is a critical target gene during the progression of osteoarthritis,success,no,no,,,,,
17,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
