title,authors,id,source,date,url,abstract
The pro‐inflammatory signature of lipopolysaccharide in spontaneous contracting embryoid bodies differentiated from mouse embryonic stem cells,Jennifer Scharmacher; Maria Wartenberg; Heinrich Sauer,Matched: Differentiation of leukocytes in embryoid bodies following treatment w,cat /papers/PMC10339090/content.lines --lines 42-43,2023-06-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10339090/,"Embryoid bodies from mouse embryonic stem cells were treated with lipopolysaccharide (LPS) to model inflammation. LPS induced a pro-inflammatory response, including cardiac cell activation and inflammasome signaling, suggesting embryoid bodies are a useful model for inflammation research."
T Cell Stimulation In Vivo by Lipopolysaccharide (LPS),David F. Tough; Siquan Sun; Jonathan Sprent,Matched: Discussion,cat /papers/PMC2196347/content.lines --lines 43-46,1997-06-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2196347/,"LPS injection in vivo stimulates CD4 and CD8 T cells, with proliferation limited to CD44hi CD8+ cells. This response is indirect, mediated by APCs and type I interferon, and may explain memory CD8+ cell proliferation."
Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),Yazhen Hu; Xiaolei Wei; Zhiwei Liao; Yu Gao; Xiaoling Liu; Jianguo Su; Gailing Yuan,Matched: 3. Discussion,cat /papers/PMC6274997/content.lines --lines 36-38,2018-11-12,https://doi.org/10.3390/ijms19113562,"This study analyzed the transcriptomes of resting and LPS-activated grass carp macrophages. Four novel cell surface markers and two chemokines were identified as potential macrophage markers, with others indicating activation."
Attenuation of lung inflammation and fibrosis in CD69-deficient mice after intratracheal bleomycin,Keita Yamauchi; Yoshitoshi Kasuya; Fuminobu Kuroda; Kensuke Tanaka; Junichi Tsuyusaki; Shunsuke Ishi...,Matched: Predominant localization of CD69 in lung,cat /papers/PMC3198935/content.lines --lines 59-60,2011-10-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3198935/,CD69-deficient mice were studied for their response to bleomycin-induced lung injury. These mice showed significantly reduced lung inflammation and fibrosis compared to wild-type mice.
"Corydalis decumbens Alleviates the Migration, Phagocytosis, and Inflammatory Response of Macrophages",Shanmin Huang; Xuehua Zheng; Weiguo Dong; Yao Lin; Shu Jiang; Haiyin Zheng; Changhui Qian,Matched: 3.2. CD Suppresses the Migration and Phagocytic Capacity of Macrophage,cat /papers/PMC9977534/content.lines --lines 46-47,2023-02-22,https://doi.org/10.1155/2023/7000477,"Corydalis decumbens (CD) was studied for its effects on LPS-stimulated macrophages. CD inhibits macrophage migration and phagocytosis, promotes M2 polarization, and inactivates the RhoA signaling pathway, thereby alleviating inflammatory responses."
"Triggering of human monocyte activation through CD69, a member of the natural killer cell gene complex family of signal transducing receptors",,PMC2191715,PMC,1994-11-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2191715/,"CD69 expression on human monocytes was studied, and its cross-linking was found to trigger calcium influx, lipid mediator release, and nitric oxide production. This CD69 activation enhances monocyte cytotoxicity."
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 3. Discussion,cat /papers/PMC9456100/content.lines --lines 44-46,2022-09-02,https://doi.org/10.3390/ijms231710011,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",Matched: Introduction,cat /papers/PMC4378362/content.lines --lines 10-11,2014-08-01,https://doi.org/10.1189/jlb.6HI0313-169R,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Discussion,cat /papers/PMC3660024/content.lines --lines 61-62,2013-05-05,,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
CD169+ macrophage intrinsic IL-10 production regulates immune homeostasis during sepsis,Stephen T. Yeung; Luis J. Ovando; Ashley J. Russo; Vijay A. Rathinam; Kamal M. Khanna,Matched: CD169+ macrophages closely associate with LPS and regulate LPS clearan,cat /papers/PMC10123955/content.lines --lines 17,2023-03-02,https://doi.org/10.1016/j.celrep.2023.112171,CD169+ macrophages were studied for their role in regulating immune responses during sepsis. Their intrinsic IL-10 production is essential for survival and preventing excessive inflammation in this condition.
