title,authors,id,source,date,url,abstract
ADAMTS4 elicits myeloid-derived immune cell recruitment and liver fibrogenesis in metabolic dysfunction-associated steatotic liver disease,Jeongwoo Park; Taeeung Kim; Wan Seob Shim; Sung Eun Hong; Miso Park; Seungseok Oh; Bo Kyung Koo; Don...,"Matched: Versikine, produced by ADAMTS4, recruits pro-inflammatory macrophages",cat /papers/PMC13149992/content.lines --lines 37,2026-05-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13149992/,"A disintegrin and metalloproteinase with thrombospondin motifs 4 (ADAMTS4) has been implicated in arthritis and lung fibroblast activation; however, its role in liver homeostasis and fibrogenesis rema"
Effect of Thrombospondin-4 on Pro-inflammatory Phenotype Differentiation and Apoptosis in Macrophages,"Mohammed Tanjimur Rahman, Santoshi Muppala, Jiahui Wu, Irene Krukovets, Dmitry Solovjev, Dmitriy Ver...",Matched: LPS Induced peritonitis,cat /papers/bio_aec0e8f76c09/content.lines --lines 22,2019-05-09,,"Thrombospondin-4 (TSP4) was studied for its effects on macrophage inflammation and apoptosis. TSP4 promotes pro-inflammatory macrophage differentiation, accumulation, and apoptosis, with the P387 variant being more active."
Effects of thrombospondin-4 on pro-inflammatory phenotype differentiation and apoptosis in macrophages,Mohammed Tanjimur Rahman; Santoshi Muppala; Jiahui Wu; Irene Krukovets; Dmitry Solovjev; Dmitriy Ver...,Matched: LPS-induced peritonitis,cat /papers/PMC6978349/content.lines --lines 19,2020-01-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6978349/,"Thrombospondin-4 (TSP-4) was studied for its effects on macrophage phenotype and apoptosis. TSP-4 promotes pro-inflammatory macrophage differentiation and apoptosis, with the P387 variant being more active."
Critical Role of ADAMTS-4 in the Development of Sporadic Aortic Aneurysm and Dissection in Mice,Pingping Ren; Michael Hughes; Swapna Krishnamoorthy; Sili Zou; Lin Zhang; Darrell Wu; Chen Zhang; Jo...,Matched: ADAMTS-4 deficiency in mice decreases inflammatory cell infiltration i,cat /papers/PMC5617887/content.lines --lines 28-30,2017-09-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5617887/,This study investigated the role of ADAMTS-4 in a mouse model of sporadic aortic aneurysm and dissection. ADAMTS-4 deficiency significantly reduced aneurysm development and aortic rupture by preventing smooth muscle cell apoptosis and matrix degradation.
A Disintegrin and Metalloproteinase with Thrombospondin Motifs 4 Regulates Pulmonary Vascular Hyperpermeability through Destruction of Glycocalyx in Acute Respiratory Distress Syndrome,Makiko Konda; Masahiro Kitabatake; Noriko Ouji-Sageshima; Rei Tonomura; Ryutaro Furukawa; Shota Sono...,Matched: 2.1. Stimulation with LPS or Poly (I:C) in Pulmonary VECs Increases AD,cat /papers/PMC10671186/content.lines --lines 18,2023-11-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10671186/,"This study investigated ADAMTS4's role in ARDS-induced pulmonary vascular hyperpermeability. ADAMTS4 promotes hyperpermeability by degrading the glycocalyx, suggesting it's a potential therapeutic target."
"Regulation of ADAMTS-1, -4 and -5 expression in human macrophages: Differential regulation by key cytokines implicated in atherosclerosis and novel synergism between TL1A and IL-17☆",Tim G. Ashlin; Alvin P.L. Kwan; Dipak P. Ramji,"Matched: Macrophage differentiation induced the expression of ADAMTS-1, -4 and",cat /papers/PMC3779352/content.lines --lines 32-34,2013,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3779352/,"This study investigated how cytokines affect ADAMTS protease expression in human macrophages. Key cytokines differentially regulate ADAMTS-1, -4, and -5, with TL1A and IL-17A showing novel synergistic effects."
A Disintegrin and Metalloproteinase with Thrombospondin Motifs-4 Levels in Chondrocytes of Different Morphology within Nondegenerate and Early Osteoarthritic Human Femoral Head Cartilage,Arthur O. F. Herren; Anish K. Amin; Andrew C. Hall,PMC11418412,PMC,2023-06-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11418412/,
"The expression of a disintegrin and metalloproteinase with thrombospondin motifs 4 in human macrophages is inhibited by the anti-atherogenic cytokine transforming growth factor-β and requires Smads, p38 mitogen-activated protein kinase and c-Jun",Rebecca C. Salter; Konstantinos Arnaoutakis; Daryn R. Michael; Nishi N. Singh; Tim G. Ashlin; Melani...,Matched: Introduction,cat /papers/PMC3081072/content.lines --lines 9-11,2011,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3081072/,"Transforming growth factor-β was studied for its effect on ADAMTS-4 expression in human macrophages. This cytokine inhibits ADAMTS-4 expression via Smads, p38 MAPK, and c-Jun, contributing to anti-atherogenic effects."
Loss of ADAMTS4 reduces high fat diet-induced atherosclerosis and enhances plaque stability in ApoE−/− mice,Saran Kumar; Mo Chen; Yan Li; Fiona H. S. Wong; Chung Wee Thiam; Md Zakir Hossain; Kian Keong Poh; S...,Matched: Loss of ADAMTS4 influences the proliferation/apoptosis of intra-plaque,cat /papers/PMC4974561/content.lines --lines 35,2016-08-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4974561/,ADAMTS4's role in diet-induced atherosclerosis was studied in ApoE-/- mice. Loss of ADAMTS4 reduced plaque burden and increased plaque stability.
Thrombospondin-1 triggers macrophage IL-10 production and promotes resolution of experimental lung injury,Yani Zhao; Zeyu Xiong; Elizabeth J. Lechner; Philip A. Klenotic; Brian J. Hamburg; Mei Hulver; Anupr...,Matched: LPS-induced lung inflammation and injury model,cat /papers/PMC3945733/content.lines --lines 42,2013-09-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3945733/,"Thrombospondin-1's role in macrophage IL-10 production during lung injury resolution was studied. Thrombospondin-1 is crucial for triggering IL-10 production by macrophages upon recognizing apoptotic cells, aiding inflammation resolution."
ADAMTS4 mediates LPS‐induced cardiac injury and myocardial fibrosis through proteolytic cleavage of TSP1,Zhe‐Wei Zhang; Shi‐Yan Wan; Wen Li; Xiao Lu; Rong Chen; Xin Xing; Wei Lai; Shu‐Yang Sheng; M. M. Mos...,Matched: ADAMTS4 expression is significantly increased in LPS‐treated hearts an,cat /papers/PMC13443130/content.lines --lines 24-25,2026-08-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13443130/,"Septic cardiomyopathy is characterized by acute cardiac dysfunction, while sustained inflammatory and extracellular matrix remodeling may contribute to subsequent myocardial fibrosis and impaired card"
ADAM-10 Regulates MMP-12 during Lipopolysaccharide-Induced Inflammatory Response in Macrophages,Yan Jiang; Qiming Gong; Jinmei Huang; Yuanxun Gong; Qiang Tang; Dalong Wei; Qianli Tang; Jingjie Zha...,Matched: 3.4. ADAM-10 Overexpression Increases LPS-Induced Macrophage Activatio,cat /papers/PMC9507754/content.lines --lines 51-52,2022-09-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9507754/,"This study investigated ADAM-10's role in macrophage inflammation. ADAM-10 regulates MMP-12 expression, impacting inflammatory pathways and macrophage viability."
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Adipose macrophages,cat /papers/PMC13372918/content.lines --lines 90-91,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
"ADAMTS2 Modulates Inflammation, Autophagy, and Barrier Integrity Through PI3K/AKT/mTOR Signaling in LPS‐Induced Acute Respiratory Distress Syndrome",Song Gao; Ting Lyu; Youhong Quan; Yaling Tao; Wenjin Wang; Xi Xu,Matched: ADAMTS2 Knockdown Mitigates LPS‐Induced Epithelial Injury and Barrier,cat /papers/PMC13096709/content.lines --lines 77-78,2026-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13096709/,ADAMTS2 is elevated in ARDS and promotes inflammation and barrier dysfunction in lung cells. Silencing ADAMTS2 reduces inflammation and improves barrier integrity by modulating autophagy and PI3K/AKT/mTOR signaling. This suggests ADAMTS2 is a potential therapeutic target for ARDS.
A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,Diletta Ami; Ana Rita Franco; Valentina Artusa; Paolo Mereghetti; Francesco Peri; Antonino Natalello,Matched: 1. Introduction,cat /papers/PMC9656053/content.lines --lines 10-12,2022-11-03,https://doi.org/10.3390/ijms232113447,"Fourier transform infrared microspectroscopy analyzed THP-1 derived macrophages treated with LPS. The study identified spectral markers in lipids, proteins, and sulfated sugars, highlighting their role in inflammation."
Interaction with macrophages attenuates equine fibroblast‐like synoviocyte ADAMTS5 (aggrecanase‐2) gene expression following inflammatory stimulation,Rhiannon E. Morgan; Peter D. Clegg; John A. Hunt; John F. Innes; Simon R. Tew,Matched: LPS Stimulated EFLS Secreted Increased Levels of ADAMTS5 Protein,cat /papers/PMC6120467/content.lines --lines 51-52,2018-04-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6120467/,Equine fibroblast-like synoviocytes were co-cultured with macrophages to study inflammatory gene expression. Macrophages significantly reduced the induction of ADAMTS5 in synoviocytes following inflammatory stimulation.
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",Matched: 2.1. RAW 264.7 Cells,cat /papers/PMC3317238/content.lines --lines 17,2012-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3317238/,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,"Akane Tanaka, Joyce To, Bronwyn O’Brien, Sheila Donnelly, Maria Lund",PMC5627409,biomedrxiv,2017-10-03,https://doi.org/10.1186/s12865-017-0223-y,"This study assessed the stability of eight common reference genes in LPS-stimulated murine macrophages. It found that some traditional genes are unreliable, and identified two new, stable reference genes for accurate gene expression analysis."
The Activation of Macrophage and Upregulation of CD40 Costimulatory Molecule in Lipopolysaccharide-Induced Acute Lung Injury,Liang Dong; Shujuan Wang; Ming Chen; Hongjia Li; Wenxiang Bi,Matched: 3.2. TLR4 expresses in macrophages,cat /papers/PMC2359863/content.lines --lines 35,2008-04-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2359863/,"This study investigated macrophage activation and CD40 expression in an LPS-induced acute lung injury model. Macrophage activation and CD40 upregulation were found to induce inflammatory cytokine release, contributing to ALI development."
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Regulation of innate immunity by LPS as an environmental agent,cat /papers/PMC11994614/content.lines --lines 29-31,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
