title,authors,id,source,date,url,abstract
Pentraxin-3 modulates hepatocyte ferroptosis and the innate immune response in LPS-induced liver injury,Huitong Wang; Zhaojie Su; Yunyun Qian; Baojie Shi; Hao Li; Wenbin An; Yi Xiao; Cheng Qiu; Zhixiang G...,Matched: PTX3 can suppress M1 macrophage polarization,cat /papers/PMC11638432/content.lines --lines 37,2024-12-12,https://doi.org/10.1186/s43556-024-00227-6,This study investigated pentraxin-3's role in LPS-induced liver injury. PTX3 deficiency ameliorated liver damage by modulating hepatocyte ferroptosis and promoting M1 macrophage recruitment.
Pentraxin 3(PTX 3): An Endogenous Modulator of the Inflammatory Response,P. Kunes; Z. Holubcova; M. Kolackova; J. Krejsek,Matched: 5. Regulation of Pentraxin 3 Production,cat /papers/PMC3337627/content.lines --lines 22,2012-04-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3337627/,"This paper reviews pentraxin 3's role in inflammatory responses, particularly in coronary artery disease and Aspergillus fumigatus infection. Evidence suggests PTX3's impact is context-dependent, potentially exhibiting anti-inflammatory properties."
Pentraxin 3 promotes the expression of pro-inflammatory cytokines and the migration of macrophages in myocarditis,Tianyu Zhu; Ying Ding; Xiaohui Wu; Yan Li; Guanliang Cheng; Ning Wang; Quan Yang; Wenchao Zhang; Xue...,Matched: Upregulated expression of PTX3 and NLRP3 in LPS-stimulated cardiomyocy,cat /papers/PMC12060373/content.lines --lines 50-51,2025-05-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12060373/,Pentraxin 3 (PTX3) and NLRP3 expression were studied in myocarditis. PTX3 promotes pro-inflammatory cytokines and macrophage migration by activating NLRP3.
Pentraxin-3 regulates the inflammatory activity of macrophages,Aya Shiraki; Norihiko Kotooka; Hiroshi Komoda; Tetsuaki Hirase; Jun-ichi Oyama; Koichi Node,Matched: Silencing PTX3 and inducing apoptosis in THP-1 cells,cat /papers/PMC5600337/content.lines --lines 36,2016-01-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5600337/,"Pentraxin-3 (PTX3) was studied for its role in regulating macrophage inflammatory activity. PTX3 reduces pro-inflammatory cytokine production and enhances phagocytosis, suggesting it resolves inflammation."
Unraveling Secretory Mechanisms that Control Pentraxin 3 Secretion in Adipocytes During Inflammation,Te-Yueh Lin; XiaoLi Chen,Matched: Abstract,cat /papers/PMC8089539/content.lines --lines 1-5,2021-05-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8089539/,"This study investigated how adipocytes secrete Pentraxin 3 (PTX3) during inflammation. PTX3 secretion is controlled by the Golgi apparatus and mitochondria, and also occurs via exosomes."
Soluble PTX3 of Human Umbilical Cord Blood-Derived Mesenchymal Stem Cells Attenuates Hyperoxic Lung Injury by Activating Macrophage Polarization in Neonatal Rat Model,Miyeon Kim; Ji Hye Kwon; Yun Kyung Bae; Gee-Hye Kim; Soyoun Um; Jueun Ha; Soo Jin Choi; Wonil Oh; Hy...,Matched: 3.4. PTX3 Augments the Macrophage Polarization Effect by Activating De,cat /papers/PMC7204119/content.lines --lines 38,2020-01-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7204119/,Human umbilical cord blood-derived MSCs attenuate hyperoxic lung injury by promoting M2 macrophage polarization. Soluble PTX3 secreted by MSCs is a key mediator of this effect and a potential therapeutic biomarker.
Long Pentraxin 3: Experimental and Clinical Relevance in Cardiovascular Diseases,Fabrizia Bonacina; Andrea Baragetti; Alberico Luigi Catapano; Giuseppe Danilo Norata,Matched: 4.2. PTX3 and Atherosclerosis,cat /papers/PMC3649691/content.lines --lines 37-39,2013-04-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3649691/,"This paper reviews the role of Pentraxin 3 (PTX3) in cardiovascular diseases. PTX3 appears to have a protective effect, potentially by modulating inflammation and limiting damage."
Silencing of PTX3 alleviates LPS-induced inflammatory pain by regulating TLR4/NF-κB signaling pathway in mice,Shuang Qi; Feng Zhao; Zinan Li; Feng Liang; Shanshan Yu,Matched: LPS-induced inflammatory pain was relieved in PTX3 knockout mice,cat /papers/PMC7000368/content.lines --lines 37-38,2020-02-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7000368/,PTX3's role in inflammatory pain was investigated using LPS-induced mouse models. Silencing PTX3 alleviates inflammatory pain by regulating the TLR4/NF-κB signaling pathway.
PTX3 in Granuloma Formation and Sarcoidosis: Helping Macrophages Accept a “Complement”,Genta Ishikawa; Erica L. Herzog,PMC9704837,PMC,2022-07-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9704837/,
Pathogen Recognition by the Long Pentraxin PTX3,Federica Moalli; Sebastien Jaillon; Antonio Inforzato; Marina Sironi; Barbara Bottazzi; Alberto Mant...,Matched: 4.1. Gene Organization and Expression,cat /papers/PMC3118294/content.lines --lines 21-23,2011-06-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3118294/,This review examines the long pentraxin PTX3 as a pattern recognition molecule in innate immunity. PTX3 plays a critical role in pathogen recognition and interacts with other innate immune components.
High PTX3 expression is associated with a poor prognosis in diffuse large B‐cell lymphoma,Joaquim Carreras; Yara Yukie Kikuti; Shinichiro Hiraiwa; Masashi Miyaoka; Sakura Tomita; Haruka Ikom...,Matched: INTRODUCTION,cat /papers/PMC8748251/content.lines --lines 42-45,2021-11-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8748251/,This study characterized the tumor microenvironment in diffuse large B-cell lymphoma (DLBCL). High expression of PTX3 in DLBCL is associated with a poor prognosis and identifies it as a new prognostic biomarker.
"PTX3 mediates the infiltration, migration, and inflammation‐resolving‐polarization of macrophages in glioblastoma",Hao Zhang; Yifan Wang; Yihan Zhao; Tao Liu; Zeyu Wang; Nan Zhang; Ziyu Dai; Wantao Wu; Hui Cao; Song...,Matched: Results,cat /papers/PMC9532932/content.lines --lines 15,2022-07-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9532932/,"This study investigated the role of Pentraxin 3 (PTX3) in glioblastoma. PTX3 promotes macrophage infiltration, migration, and inflammation-resolving polarization, contributing to an immunosuppressive tumor microenvironment."
Early persisting elevation of plasma Pentraxin 3 is associated with mortality and with coagulation impairment in severe sepsis and septic shock,A Coppadoro; T Mauri; G Bellani; N Patroniti; M Cugno; A Grassi; G Iapichino; L Gattinoni; A Mantova...,Matched: Introduction,cat /papers/PMC2934436/content.lines --lines 8,2010-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2934436/,
A Proteomics-Based Assessment of Inflammation Signatures in Endotoxemia,Sean A. Burnap; Ursula Mayr; Manu Shankar-Hari; Friederike Cuello; Mark R. Thomas; Ajay M. Shah; Ian...,Matched: MPO and Nox2 Are Not Required for PTX3 Multimer Formation,cat /papers/PMC7950208/content.lines --lines 51-52,2021-02-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7950208/,"This study analyzed plasma and aortic proteomes in endotoxemia models to understand inflammation. Multimeric pentraxin-3 (PTX3) increases in plasma and deposits in the aorta, correlating with neutrophil activation, but its multimerization is independent of MPO and myeloid Nox2."
Inactivation of pentraxin 3 suppresses M2-like macrophage activity and immunosuppression in colon cancer,Feng-Wei Chen; Yung-Ling Wu; Chao-Chun Cheng; Yu-Wei Hsiao; Jhih-Ying Chi; Liang-Yi Hung; Chih-Peng ...,Matched: PTX3 promotes M2-like macrophage polarization,cat /papers/PMC10799366/content.lines --lines 77,2024-01-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10799366/,"Pentraxin 3 (PTX3) was studied in colon cancer to understand its role in the tumor microenvironment. Inactivating PTX3 suppresses M2 macrophage activity and immunosuppression, suggesting it as a potential therapeutic target."
High Plasma Level of Long Pentraxin 3 (PTX3) Is Associated with Fatal Disease in Bacteremic Patients: A Prospective Cohort Study,Reetta Huttunen; Mikko Hurme; Janne Aittoniemi; Heini Huhtala; Risto Vuento; Janne Laine; Juulia Jyl...,Matched: PTX3 values in bacteremic patients,cat /papers/PMC3053378/content.lines --lines 72,2011-03-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3053378/,Plasma PTX3 levels were measured in bacteremic patients. High PTX3 levels in the first few days after diagnosis are associated with fatal disease and are a better predictor than CRP.
The Long Pentraxin PTX3 Controls Klebsiella Pneumoniae Severe Infection,Fatemeh Asgari; Domenico Supino; Raffaella Parente; Nadia Polentarutti; Matteo Stravalaci; Remi Port...,Matched: Production of PTX3 by Fibroblasts,cat /papers/PMC8173212/content.lines --lines 42,2021-05-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8173212/,"This study investigated the role of PTX3 in controlling Klebsiella pneumoniae infections using knockout mice. PTX3 deficiency led to increased bacterial burden, mortality, and severe lung damage, indicating PTX3 is crucial for managing this infection."
Host-protective effect of circulating pentraxin 3 (PTX3) and complex formation with neutrophil extracellular traps,Kenji Daigo; Takao Hamakubo,Matched: Function,cat /papers/PMC3521240/content.lines --lines 127-143,2012-12-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3521240/,"PTX3 was studied for its role in innate immunity and its interaction with neutrophil extracellular traps (NETs). PTX3 forms complexes with NET components, potentially enhancing pathogen clearance and serving as a diagnostic marker for sepsis."
Monocyte differentiation and macrophage priming are regulated differentially by pentraxins and their ligands,Darrell Pilling; Elkin Galvis-Carvajal; Tejas R. Karhadkar; Nehemiah Cox; Richard H. Gomer,Matched: Discussion,cat /papers/PMC5472910/content.lines --lines 72-74,2017-06-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5472910/,Pentraxins and their ligands were studied for their effects on monocyte differentiation and macrophage polarization. These molecules differentially regulate specific macrophage receptors and CRP can induce anti-inflammatory IL-10.
Pentraxin-3 Serum Levels Are Associated with Disease Severity and Mortality in Patients with Systemic Inflammatory Response Syndrome,Simone Bastrup-Birk; Mikkel-Ole Skjoedt; Lea Munthe-Fog; Jens J. Strom; Ying Jie Ma; Peter Garred,Matched: Introduction,cat /papers/PMC3767672/content.lines --lines 10-13,2013-09-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3767672/,Serum pentraxin-3 (PTX3) levels were measured in intensive care unit patients with systemic inflammatory response syndrome (SIRS). Higher PTX3 levels correlated with increased disease severity and a greater risk of 90-day mortality.
"The Long Pentraxin PTX3 as a Link Between Innate Immunity, Tissue Remodeling, and Cancer",Andrea Doni; Matteo Stravalaci; Antonio Inforzato; Elena Magrini; Alberto Mantovani; Cecilia Garland...,Matched: Role of PTX3 in Cancer,cat /papers/PMC6459138/content.lines --lines 43-46,2019-04-04,https://doi.org/10.3389/fimmu.2019.00712,"This paper reviews the long pentraxin PTX3's roles in innate immunity, tissue repair, and cancer. PTX3 links these processes by recognizing microbes and damaged tissues, influencing inflammation and remodeling."
