rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC10339090,The pro‐inflammatory signature of lipopolysaccharide in spontaneous contracting embryoid bodies differentiated from mouse embryonic stem cells,success,yes,yes,L42: Our data demonstrated that LPS treatment from Day 9 to Day 15 of embryoid body cell culture dose-dependent increased protein expression of CD68 (Figure 3A) and CD69 (Figure 3C).,L43: FIGURE 3: Expression of CD68 and CD69 in embryoid bodies treated with LPS.,Cd69;CD69,LPS,
2,PMC2196347,T Cell Stimulation In Vivo by Lipopolysaccharide (LPS),success,yes,yes,"First, high doses of LPS caused upregulation of CD69 not only on CD8+ cells and B cells (as expected from the BrdU labeling studies) but also on CD4+ cells.","In both experiments, PBS or LPS was injected intravenously into B6 mice, and LN and spleen cells were analyzed 1 d later.",Cd69;CD69,LPS,
3,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,yes,yes,"When macrophages were activated by the treatment with LPS, the mRNA expression level of CD69 was increased.","To obtain activated phenotype (M(LPS)), the remaining macrophages were stimulated with 5 μg/mL LPS at the same time under the same conditions.",Cd69;CD69,LPS,
4,PMC3198935,Attenuation of lung inflammation and fibrosis in CD69-deficient mice after intratracheal bleomycin,success,no,no,,,,,
5,PMC9977534,"Corydalis decumbens Alleviates the Migration, Phagocytosis, and Inflammatory Response of Macrophages",success,no,no,,,,,
6,PMC2191715,"Triggering of human monocyte activation through CD69, a member of the natural killer cell gene complex family of signal transducing receptors",success,no,no,,,,,
7,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
8,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
9,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
10,PMC10123955,CD169+ macrophage intrinsic IL-10 production regulates immune homeostasis during sepsis,success,no,no,,,,,
11,PMC2234390,Ginger extract inhibits LPS induced macrophage activation and function,success,no,no,,,,,
12,PMC11422137,Establishment and characterization of an immortalized red river hog blood-derived macrophage cell line,success,no,no,,,,,
13,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,success,no,no,,,,,
14,PMC3484127,CD69 Does Not Affect the Extent of T Cell Priming,success,yes,yes,"CD69 was upregulated on GM-CSF BMDC when we treated them with Lipopolysaccharide (LPS) (Fig. 2A) and on Flt3l BMDC when we treated them with CpG (Fig. 2D), in both cases in a dose dependent manner (Fig. 2B, E).",CD69+/+ or CD69−/− GM-CSF BMDC were treated with LPS at different conditions of time and dose.,Cd69;CD69,Lipopolysaccharide;LPS,
15,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
16,PMC8994779,ICA69 aggravates ferroptosis causing septic cardiac dysfunction via STING trafficking,success,no,yes,"L17: Twelve hours after LPS challenge, the protein expression level and the level of ICA69 mRNA in the LPS group increased notably in comparison with that in the sham group (Fig. 1A, B).",L18: Fig. 1: LPS increased ICA69 in vivo while in vitro. A The protein levels of ICA69 in mouse hearts stimulated by LPS (10 mg/kg) or PBS for 12 h.,,LPS,yes->no: evidence does not name the gene
17,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,no,,,,,
18,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
20,PMC6333739,Expression of Tmem119/Sall1 and Ccr2/CD69 in FACS-Sorted Microglia- and Monocyte/Macrophage-Enriched Cell Populations After Intracerebral Hemorrhage,success,no,no,,,,,
21,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,no,,,,,
22,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
23,PMC4779537,CD97/ADGRE5 Inhibits LPS Induced NF-κB Activation through PPAR-γ Upregulation in Macrophages,success,no,no,,,,,
24,PMC7887231,89Zr anti-CD44 immuno-PET monitors CD44 expression on splenic myeloid cells and HT29 colon cancer cells,success,no,no,,,,,
25,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
