rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC9077289,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",success,no,no,,,,,
2,PMC2766614,Differential gene expression in LPS/IFNγ activated microglia and macrophages: in vitro versus in vivo,success,no,no,,,,,
3,PMC12151196,Proinflammatory macrophages release CXCL5 to regulate T cell function and limit effects of αPD-1 in steatosis-driven liver cancer,success,no,no,,,,,
4,PMC8776070,"CXCL1 : Gene, Promoter, Regulation of Expression, mRNA Stability, Regulation of Activity in the Intercellular Space",success,no,no,,,,,
5,PMC7714238,A biomathematical model of immune response and barrier function in mice with pneumococcal lung infection,timeout,,,,,,,
6,bio_e45382736c86,TET1 controls  Cxcl1  induction by DNA demethylation and promotes neutrophil recruitment during acute lung injury,success,yes,yes,"L71: Upon LPS stimulation, the total level of CXCL1 protein was significantly repressed in the BAL fluid obtained from Tet1-/- mice as compared to that from WT and Tet1+/- controls ( Fig. 6B ), which is consistently with the essential role of TET1 in the regulation of Cxcl1 induction.","L70: Figure 6. Defective neutrophil recuriment and Cxcl1 production in BAL fluid of Tet1-/- mice in LPS-induced acute lung injury. (A) WT and Tet1-/- mice were intranasally injected with LPS (0.5mg/kg) for 4 hr, and Bronchoalveolar lavage (BAL) fluids were collected and analyzed by flow cytometry.",Cxcl1;CXCL1,LPS,
7,PMC5818454,"Transcriptional and translational‐uncoupling in regulation of the CXCL12 and its receptors CXCR4, 7 in THP‐1 monocytes and macrophages",success,no,no,,,,,
8,PMC5207674,CXCL10/IP-10 Neutralization Can Ameliorate Lipopolysaccharide-Induced Acute Respiratory Distress Syndrome in Rats,success,no,no,,,,,
9,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,"The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",Mouse Chemokines and Receptors RT2 Profiler PCR arrays were used to explore the global gene expression patterns in LPS-stimulated LA4 cells.,Cxcl1;CXCL1,LPS,
10,PMC7576310,LKB1‐MARK2 signalling mediates lipopolysaccharide‐induced production of cytokines in mouse macrophages,success,no,yes,"After transfection into RAW264.7 cells and LPS stimulation, CXCL15 luciferase activity was elevated by MARK2WT (Figure 3B), which is in line with the previous siRNA results (Figure 2A; Table S3).",Transfected RAW264.7 cells were stimulated with LPS (100 ng/mL) for 2 hours.,,LPS,yes->no: evidence does not name the gene
11,PMC6219809,Prevention of lipopolysaccharide-induced preterm labor by the lack of CX3CL1-CX3CR1 interaction in mice,success,no,yes,L72: LPS treatment enhanced Cx3cl1 gene expression in the gestational tissues of pregnant WT mice at gestational day (gd) 15.5 (Fig 2A).,,,LPS,yes->no: evidence does not name the gene
12,PMC7833212,Advanced glycation end-products reduce lipopolysaccharide uptake by macrophages,success,no,no,,,,,
13,PMC6274997,Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),success,no,no,,,,,
14,PMC12847948,CX3CL1 deficiency ameliorates acute kidney injury by inhibiting macrophage mitochondrial dysfunction and mtDNA-cGAS-STING signaling,success,no,yes,L18: This study showed that CX3CL1 is strongly upregulated in LPS-stimulated macrophages and during AKI.,"L32: To simulate the AKI inflammatory environment in vitro, RAW264.7 cells were stimulated with 1 ΓΕg/mL LPS for 12 h.",,LPS,yes->no: evidence does not name the gene
15,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
16,PMC13243519,Temporal expression of CXCR2 ligands in a rat model of LPS—induced pulpitis,success,yes,yes,"In the LPS group, significant differences [p = 0.018] in CXCL1 gene expression were observed from 24 h and up to 72 h, compared with expression levels at 120 h (Fig. 5Q).","Lipopolysaccharide (LPS) from Escherichia coli O111:B4 (L2630, Sigma-Aldrich, Munich, Germany) was applied to the exposed pulp tissue at a concentration of 10 mg/mL or phosphate-buffered saline (PBS) for 1 min using 0.5 mm-diameter microbrushes (Microbrush international, Grafton, WI, USA).",Cxcl1;CXCL1,LPS;Lipopolysaccharide;Escherichia,
17,PMC12255738,CX3CL1 promotes M1 macrophage polarization and osteoclast differentiation via NSUN5-mediated m5C modification,success,no,yes,The experimental data demonstrated a marked increase in both transcriptional activity and protein abundance of CX3CL1 in stimulated RAW 264.7 cells (Fig. 1A-D).,(A-B) CX3CL1 expression was assessed in LPS-stimulated RAW 264.7 cells after 24-h treatment using qPCR for mRNA levels and Western blot analysis for protein expression.,,LPS,yes->no: evidence does not name the gene
18,PMC8778739,C-X-C receptor 7 agonist acts as a C-X-C motif chemokine ligand 12 inhibitor to ameliorate osteoclastogenesis and bone resorption,success,no,no,,,,,
19,PMC7476967,CXCL13 Is Involved in the Lipopolysaccharide-Induced Hyperpermeability of Umbilical Vein Endothelial Cells,success,no,no,,,,,
20,PMC6597445,Potential Roles of Innate Immune Chemokine and Cytokine Network on Lipopolysaccharide-Based Therapeutic Approach in Ovarian Cancer,success,yes,yes,"High expression of LPS-induced chemokine signature in an innate immune system showed as follows: CCL3, CCL4, and CXCL10 in dendritic cells (DCs); CCL3, CCL4, CCL20, CXCL1, CXCL2, CXCL3, CXCL8, and CXCL10 in macrophages (Mͦ); and CCL3, CCL4, CXCL1, and CXCL8 in neutrophils (Fig. 5).","Figure 5: LPS-induced chemokine signatures in DC, Mͦ, and neutrophils. Con, control.",Cxcl1;CXCL1,LPS,
21,PMC12847007,Macrophage TRIM21 lactylation exacerbates infection-induced orchitis through enhancing STAT1-mediated CXCL9 and CXCL10 production,success,no,no,,,,,
22,PMC6874098,XIAOPI Formula Inhibits Breast Cancer Stem Cells via Suppressing Tumor-Associated Macrophages/C-X-C Motif Chemokine Ligand 1 Pathway,success,no,no,,,,,
23,PMC6679226,Differential Protein Expression Profiles of Bronchoalveolar Lavage Fluid Following Lipopolysaccharide-Induced Direct and Indirect Lung Injury in Mice,success,no,yes,"Cxcl15 was up-regulated by I.T. LPS but down-regulated by I.P. LPS, further supporting the suppression of lung innate immunity by LPS-induced systemic inflammation.","Mice were challenged with intratracheal (I.T.) LPS at 0.1 mg/kg (n = 6) or intraperitoneal (I.P.) LPS at 5 mg/kg (n = 6) to model direct and indirect lung injury, respectively.",,LPS,yes->no: evidence does not name the gene
24,PMC9820720,"The Potential Importance of CXCL1 in the Physiological State and in Noncancer Diseases of the Cardiovascular System, Respiratory System and Skin",success,no,no,,,,,
25,PMC7524372,Cathelicidin-mediated lipopolysaccharide signaling via intracellular TLR4 in colonic epithelial cells evokes CXCL8 production,success,yes,yes,"CXCL1 secretions were increased in colonic epithelial cells (Figure 2b) and leukocytes from the lamina propria (Fig S1 F) of infected mice compared to uninfected controls; however, only in colonic epithelium was the amount of CXCL1 statistically significantly higher in infected Camp+/+ mice compared to Camp−/− (Figure 2b).","Colons were cut-open longitudinally, sectioned (2-cm pieces) and suspended into isolation buffer containing EDTA (5 mM; 15575020, ThermoFisher Scientific) and DTT (0.324 M; D0632, Sigma-Aldrich) in 10 mL PBS.",Cxcl1;CXCL1,infected,
