rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2213356,Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function,success,yes,"Compared with background-matched wild-type control mice, LTα knockout mice show severely reduced accumulation of TNF protein in both sera and macrophage exudates (Fig. 4), indicating that in addition to the LTα null mutation, this strain of mice may show further complications due to inherent defects in the neighboring TNF gene expression.",Tnf,
2,PMC3654183,Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo,success,yes,"The TNF mRNA analysis showed that the major source of the cytokine was the liver and not blood, and that the H4R antagonist only reduced the expression levels in the liver.",Tnf,
3,PMC6990626,Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics,success,yes,"The gel image (Figure 2C) revealed a distinct band corresponding to transmembrane TNFα around 750 bp in 100 ng/mL LPS-treated macrophages, while there was no amplification in the untreated ones.",Tnf,
4,PMC2119110,Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,success,yes,"In acute GVH-reactive mice, injection of LPS 7 d after transplantation induced serum TNF levels of 14,759 U/ml.",Tnf,
5,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,Preculture of thioglycollate-elicited C3HeB/FeJ mouse peritoneal macrophages in vitro with subthreshold stimulatory concentrations of lipopolysaccharide (LPS) can induce hyporesponsiveness (desensitization) to both tumor necrosis factor alpha (TNF-alpha) and nitric oxide (NO) production when these cells are subsequently stimulated with 100 ng/ml of LPS.,Tnf;tumor necrosis factor;TNF-alpha,
6,PMC2190998,"Extinction of the tumor necrosis factor locus, and of genes encoding the lipopolysaccharide signaling pathway",success,yes,Both LPS and cycloheximide readily induced TNF gene expression in RAW 264.7 cells (Fig. 2).,Tnf,
7,PMC6234144,LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,success,yes,"After 1-h of LPS stimulation, TNF̐α mRNA expression increased (7.0-fold) significantly (Fig. 3A).",Tnf,
8,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,"To capture distinct macrophage subpopulations upon activation with LPS we measured protein expression of three cytokines, TNF, pro-IL-1̢ and IL-6, and one intracellular pro-inflammatory protein NOS2, an enzyme that catalyzes nitric oxide formation.",Tnf,
9,PMC4575053,AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,success,yes,"In the current study, our results demonstrated that AS-703026, a novel MEK/ERK inhibitor, suppressed LPS-induced TNFα mRNA expression and protein secretion in RAW 264.7 murine macrophages, and in murine bone marrow-derived macrophages (BMDMs).",Tnf,
10,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,yes,"LPS rapidly increased mRNA levels of TNF by 12, 71, 82, 196, 311, 113 and 215 fold after 5, 10, 20, 50, 100, 500 and 1000 ng/mL treatment for 2 h, respectively (Fig. 3A).",Tnf,
11,PMC5918604,Augmentation and Suppression of Release of Tumor Necrosis Factor from Macrophages by Negatively Charged Phospholipids,success,yes,"Ten to 20 ΓΙg/ml of cardiolipin, which is a suboptimal concentration for macrophage growth‐stimulation, augmented macrophage TNF release triggered by lipopolysaccharide (LPS) in vitro.",Tnf,
12,PMC8716064,Macrophage tumor necrosis factor-alpha deletion does not protect against obesity-associated metabolic dysfunction,success,yes,"In order to assess the validity of LysMCre driven TNF-̑a deletion, we challenged a subset TNF-̑aF/F,LyzMCre, and TNF-̑aF/F mice with LPS. Similar to the results of others, [13] mice with LyzMCre deletion of TNF-̑a displayed a significantly reduced TNF-̑a response to the LPS challenge (P < .05) (Figure S1).",Tnf,
13,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,"Primary macrophages accumulate large amounts of TNF-alpha mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNF-alpha gene (2, 3, 10, 20).",Tnf;TNF-alpha,
14,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,"Pretreatment of cells with IL-10, prior to treatment with LPS, diminished the average intracellular TNF protein expression measured at 3 h post-stimulation (hps), although TNF distributions across IL-10 doses were broad and overlapping (Fig. 1b, Supplementary Fig. 1a).",Tnf,
15,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,yes,"Notably, the percentage of TNF-positive BMDMs peaked at 4h post stimulation, demonstrating a faster TNF response in BMDMs in comparison to RAW264.7 cells.",Tnf,
16,PMC11373197,Divergent effects of tumor necrosis factor (TNF) in sepsis: a meta-analysis of experimental studies,success,no,,,
17,PMC2819999,Signaling pathways involved in LPS induced TNFalpha production in human adipocytes,success,yes,"In a similar way NFkappaBi is responsible for a 30% and 70% reduction in TNFalpha gene transcription at 5 and 6 hours, respectively, following treatment with LPS (Figure 1B).",TNFalpha,
18,PMC3153254,Differential Cell Sensitivity between OTA and LPS upon Releasing TNF-α,success,yes,"After 24 h of LPS exposure, TNF-\u03b1 concentrations reached 2600 \u00b1 250 pg/mL.",Tnf,
19,PMC2365439,RNA from LPS-stirnulated macrophages induces the release of tumour necrosis factor-α and interleukin-1 by resident macrophages,success,yes,"In the present study, it is demonstrated that cytoplasmatic RNA extracted from rat macrophages stimulated with Escherichia coli lipopolysaccharide (LPS), referred to as L-RNA, induced the release of TNF-\u03b1 and IL-1 from monolayers of peritoneal resident macrophages. (L6)",Tnf,
