rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,filtered_out,no,,,
2,PMC7905073,Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,success,yes,,,
3,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,,,
4,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,,,
5,PMC7851796,Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,success,yes,,,
6,PMC4049611,A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6,success,yes,,,
7,PMC12592619,Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,success,yes,,,
8,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,,,
9,PMC2365621,Modulation of nitric oxide synthase activity in macrophages,filtered_out,no,,,
10,PMC3891534,Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription,success,yes,,,
11,PMC1698482,Inhibition of inducible Nitric Oxide Synthase by a mustard gas analog in murine macrophages,success,yes,,,
12,PMC10898816,Internal ribosomal entry site-mediated translational activity of nitric oxide synthase 2,filtered_out,no,,,
13,PMC9368968,Hypoxia Aggravates Inhibition of Alveolar Epithelial Na-Transport by Lipopolysaccharide-Stimulation of Alveolar Macrophages,success,yes,,,
14,PMC5751240,"Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b",success,yes,,,
15,PMC5955621,Mannan-induced Nos2 in macrophages enhances IL-17–driven psoriatic arthritis by innate lymphocytes,filtered_out,no,,,
16,PMC2811838,The inhibitory effect of quercitrin gallate on iNOS expression induced by lipopolysaccharide in Balb/c mice,success,yes,,,
17,PMC2191051,Promoter of the mouse gene encoding calcium-independent nitric oxide synthase confers inducibility by interferon gamma and bacterial lipopolysaccharide,success,yes,,,
18,PMC4191211,Nitric Oxide Synthase: Non-Canonical Expression Patterns,filtered_out,no,,,
19,PMC13029237,Formulation of Gamma-Oryzanol Encapsulated Nanoparticles and Their Modulation Effects on Inducible Nitric Oxide Synthase and Nitric Oxide in LPS-Stimulated RAW 264.7 Macrophages,success,yes,,,
20,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,,,
21,PMC4088763,Nitric oxide synthase 2-derived NO in endotoxemia is not sufficient to cause hemodynamic effects,filtered_out,no,,,
22,PMC5967330,Macrophage inducible nitric oxide synthase circulates inflammation and promotes lung carcinogenesis,success,yes,,,
23,PMC6920088,Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level,success,yes,,,
24,PMC12572803,Nitroalkene inhibition of pro-inflammatory macrophage effector function via modulation of signaling metabolite levels,success,yes,,,
25,PMC4577833,NOS1-derived nitric oxide promotes NF-κB transcriptional activity through inhibition of suppressor of cytokine signaling-1,filtered_out,no,,,
