rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
2,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,no,no,,,,,
3,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,no,no,,,,,
4,PMC6369361,RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,success,no,no,,,,,
5,PMC10068263,LPS inhibits TRIM65 expression in macrophages and C57BL/6J mouse by activating the ERK1/2 signaling pathway,success,no,no,,,,,
6,PMC7607666,Tripartite Motif Containing 52 Positively Regulates NF-κB Signaling by Promoting IκBα Ubiquitination in Lipopolysaccharide-Treated Microglial Cell Activation,success,no,no,,,,,
7,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
8,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
9,PMC3377094,Regulation of innate immune signalling pathways by the tripartite motif (TRIM) family proteins,success,no,no,,,,,
10,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
11,PMC4035330,Correction: Tripartite Motif-Containing Protein 30 Modulates TCR-Activated Proliferation and Effector Functions in CD4+ T Cells,success,no,yes,"For detection of cytokine expression, Trim30 +/+ and Trim30 −/− BMDMs were pretreated for 18 hr with LPS (LSP pre) and then restimulated with LPS (LPS re) indicated time or stimulated with poly(I:C) and transcripts for indicated cytokines were quantified by quantitative RT-PCR.","(F) BMDMs were stimulated with LPS (200 ng/ml) or poly(I:C) (5 %%µg/ml), and Trim30 transcripts were quantified by quantitative RT-PCR.",,LPS,yes->no: evidence does not name the gene
12,PMC5354896,Macrophage production and activation are dependent on TRIM33,success,no,no,,,,,
13,PMC3995923,Tripartite Motif-Containing Protein 30 Modulates TCR-Activated Proliferation and Effector Functions in CD4+ T Cells,success,no,yes,"The challenge with TLR ligands induced TRIM30 strongly only in wild-type cells, but there was no discernable difference in the expression of the major cytokines (IL-6, TNF̕α, IL-12 p40, IFNα, IFNβ) (Figure 1F).","BMDMs were stimulated with LPS (200 ng/ml) or poly(I:C) (5 µg/ml), and Trim30 transcripts were quantified by quantitative RT-PCR.",,LPS,yes->no: evidence does not name the gene
14,PMC7173094,InTRIMsic immunity: Positive and negative regulation of immune signaling by tripartite motif proteins,success,no,no,,,,,
15,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
16,PMC4320810,Expression and regulation of long noncoding RNAs in TLR4 signaling in mouse macrophages,success,no,no,,,,,
17,PMC12283963,The Trim32-DPEP2 axis is an inflammatory switch in macrophages during intestinal inflammation,success,no,no,,,,,
18,PMC7011629,TRIM21 controls Toll‐like receptor 2 responses in bone‐marrow‐derived macrophages,success,no,no,,,,,
19,PMC3384629,DOK3 Negatively Regulates LPS Responses and Endotoxin Tolerance,success,no,no,,,,,
20,PMC7418211,Knockdown of TRIM52 alleviates LPS-induced inflammatory injury in human periodontal ligament cells through the TLR4/NF-κB pathway,success,no,no,,,,,
21,PMC8548118,The Emerging Roles of Tripartite Motif Proteins (TRIMs) in Acute Lung Injury,success,no,no,,,,,
22,PMC5314404,Expression profiling of TRIM protein family in THP1-derived macrophages following TLR stimulation,success,no,no,,,,,
23,PMC12847098,E3 ubiquitin ligase trim36 targets ddx3x for degradation to reprogram macrophage polarization and ameliorate tubal factor infertility in rats,success,no,no,,,,,
24,PMC12551140,TRIM16 Inhibits Inflammation by Interacting With and Ubiquitinating TRAF2 in a Colitis Model,success,no,no,,,,,
25,PMC2654144,Human TRIM Gene Expression in Response to Interferons,success,no,no,,,,,
