rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC11638432,Pentraxin-3 modulates hepatocyte ferroptosis and the innate immune response in LPS-induced liver injury,success,yes,yes,"The ELISA results revealed that the serum levels of proinflammatory factors such as TNF-\u03alpha (P = 0.0002 and P < 0.0001, respectively) and IL-1\u03b2 (P = 0.0002) were significantly lower in Ptx3\u2212/\u2212 mice than in WT mice (Fig. 1g and h), which was consistent with the trend observed for PTX3 levels (P = 0.0373 and P = 0.0050, respectively) (Fig. 1i).","(g-i) TNF-\u03alpha, IL-1\u03b2 and PTX3 levels of Ptx3\u2212/\u2212 and WT mice in serum and liver tissue at 0 h and 72 h after injection with 10 mg/kg LPS (n = 3 mice per group).",Ptx3;PTX3,LPS,
2,PMC3337627,Pentraxin 3(PTX 3): An Endogenous Modulator of the Inflammatory Response,success,no,no,,,,,
3,PMC12060373,Pentraxin 3 promotes the expression of pro-inflammatory cytokines and the migration of macrophages in myocarditis,success,yes,yes,"Our results demonstrated that LPS stimulation significantly increased the expression of PTX3 compared to the control group, with statistical significance observed both at the gene level (P = 0.0132) and protein level (P < 0.0001).","H9C2 cardiomyocytes were divided into five groups: Control, Lipopolysaccharide (LPS), LPS + PTX3 overexpression, LPS + small interfering RNA targeting PTX3 (si-PTX3), and LPS + PTX3 overexpression + si-NLRP3.",Ptx3;PTX3,LPS;Lipopolysaccharide,
4,PMC5600337,Pentraxin-3 regulates the inflammatory activity of macrophages,success,no,no,,,,,
5,PMC8089539,Unraveling Secretory Mechanisms that Control Pentraxin 3 Secretion in Adipocytes During Inflammation,success,yes,yes,"Upon 6h treatment of LPS, PTX3 expression and secretion were significantly induced in 3T3-L1 and stromal-vascular (SV) differentiated adipocytes, but to a lesser extent in SV cells or 3T3-L1 fibroblasts.",,Ptx3;PTX3,LPS,
6,PMC7204119,Soluble PTX3 of Human Umbilical Cord Blood-Derived Mesenchymal Stem Cells Attenuates Hyperoxic Lung Injury by Activating Macrophage Polarization in Neonatal Rat Model,success,yes,yes,"The level of PTX3 was increased under inflammation conditions in all four UCB-MSC lots tested, with increases observed in the secretion of MSC1 (10-fold), MSC2 (9-fold), MSC3 (3.5-fold), and MSC4 (3-fold), as shown in Figure 2(d).",Biotin label-based antibody array analysis using conditioned medium collected from UCB-MSCs alone versus UCB-MSCs cocultured with LPS-licensed NR8383 cells.,Ptx3;PTX3,LPS,
7,PMC3649691,Long Pentraxin 3: Experimental and Clinical Relevance in Cardiovascular Diseases,success,no,no,,,,,
8,PMC7000368,Silencing of PTX3 alleviates LPS-induced inflammatory pain by regulating TLR4/NF-κB signaling pathway in mice,success,yes,yes,"As shown in Figure 1A, the expression of PTX3 on 1, 3, 5 and 7 days after injection of LPS was significantly decreased compared with the control group, and the lowest on 3 day after injection of LPS (Figure 1A,B).","We established the inflammatory pain model through injecting LPS into mice hind paw, including PTX3 knockout mice and WT mice. Firstly, we analyzed the expression of PTX3 by qRT-PCR in the WT mice model.",Ptx3;PTX3,LPS,
9,PMC9704837,PTX3 in Granuloma Formation and Sarcoidosis: Helping Macrophages Accept a “Complement”,success,no,no,,,,,
10,PMC3118294,Pathogen Recognition by the Long Pentraxin PTX3,success,no,no,,,,,
11,PMC8748251,High PTX3 expression is associated with a poor prognosis in diffuse large B‐cell lymphoma,success,no,no,,,,,
12,PMC9532932,"PTX3 mediates the infiltration, migration, and inflammation‐resolving‐polarization of macrophages in glioblastoma",success,no,no,,,,,
13,PMC2934436,Early persisting elevation of plasma Pentraxin 3 is associated with mortality and with coagulation impairment in severe sepsis and septic shock,success,no,no,,,,,
14,PMC7950208,A Proteomics-Based Assessment of Inflammation Signatures in Endotoxemia,success,yes,yes,"Western blot analysis of murine plasma confirmed a rapid time-dependent increase in the abundance of multimeric PTX3 in response to LPS injection (Fig. 3A, left panel).","Mice were injected with LPS (9 mg/kg, i.p.) and harvested at hourly time points (1, 2, 3, and 4 h), whereas control mice were injected with saline.",Ptx3;PTX3,LPS,
15,PMC10799366,Inactivation of pentraxin 3 suppresses M2-like macrophage activity and immunosuppression in colon cancer,success,no,no,,,,,
16,PMC3053378,High Plasma Level of Long Pentraxin 3 (PTX3) Is Associated with Fatal Disease in Bacteremic Patients: A Prospective Cohort Study,success,no,yes,L71: The median plasma PTX3 value in the acute phase (maximum value 1 to 4 days after blood culture) was 7.8 ng/ml (interquartile range 3.7–17.5 ng/ml) and 3.0 ng/ml on days 13–18 after blood culture (interquartile range 1.2–6.6 ng/ml).,"L26: The study material comprised 132 adult patients with bacteremia admitted to Tampere University Hospital, Tampere, Finland, from June 1999 to February 2004 (Table 1).",Ptx3;PTX3,,yes->no: evidence does not name LPS or infection
17,PMC8173212,The Long Pentraxin PTX3 Controls Klebsiella Pneumoniae Severe Infection,timeout,,,,,,,
18,PMC3521240,Host-protective effect of circulating pentraxin 3 (PTX3) and complex formation with neutrophil extracellular traps,success,no,no,,,,,
19,PMC5472910,Monocyte differentiation and macrophage priming are regulated differentially by pentraxins and their ligands,success,no,no,,,,,
20,PMC3767672,Pentraxin-3 Serum Levels Are Associated with Disease Severity and Mortality in Patients with Systemic Inflammatory Response Syndrome,success,no,yes,"Increased serum concentrations of PTX3 were observed in the patients with a positive blood culture taken at admission (Mann-Whitney, p = 0.018) (Table 2).","Assessed by ROC analysis, serum concentrations of PTX3 at time of admission were sufficiently specific (85.0%) and sensitive (89.1%) to discriminate between healthy controls and SIRS (area under the curve (AUC) 0.922 (95% CI 0.892 to 0.946, p<0.0001).",Ptx3;PTX3,,yes->no: evidence does not name LPS or infection
21,PMC6459138,"The Long Pentraxin PTX3 as a Link Between Innate Immunity, Tissue Remodeling, and Cancer",success,no,no,,,,,
22,PMC5656716,Prenatal Exposure to Lipopolysaccharide Induces PTX3 Expression and Results in Obesity in Mouse Offspring,success,yes,yes,"L67: Our results show that the levels of mRNA and protein expression of PTX3 in the adipose tissue were significantly increased in the offspring mice of the LPS group at all weeks of age (p < 0.05) (Fig. 5a, b).","L56: Fig. 1: Characterization of maternal inflammation during pregnancy on the fat development and adipose distribution of offspring mice. Pregnant mice were administered intraperitoneally (i.p) with saline (NS group) or LPS (0.79 mg/kg, LPS group) at gestational 11 days.",Ptx3;PTX3,LPS,
23,PMC2118544,The humoral pattern recognition receptor PTX3 is stored in neutrophil granules and localizes in extracellular traps,success,yes,yes,FACS analysis showed that the relative intracellular level of PTX3 decreased upon 2 h of stimulation with 10 ͕g/ml Staphylococcus aureus and Escherichia coli (Fig. 3 A).,L30: Figure 3.: Secretion of PTX3 by activated neutrophils. (A and B) FACS analysis of intracellular PTX3 expression in neutrophils stimulated for 2 h with 10 ͕g/ml S. aureus or 10 ͕g/ml FITC-labeled E. coli (A) or in DCs stimulated or not for 8 h with 80 ng/ml LPS (B).,Ptx3;PTX3,Staphylococcus;Escherichia;S. aureus;E. coli;LPS,
24,PMC4741535,PTX3 orchestrates tissue repair,success,no,no,,,,,
25,PMC6317801,Role of a fluid-phase PRR in fighting an intracellular pathogen: PTX3 in Shigella infection,success,yes,yes,"BMDCs stimulated with iLPS and M90T \u0394msbB1 \u0394msbB2 LPS produced a lower level of PTX3 with respect to aLPS and E. coli LPS, consistent with the degree of lipid A acylation (Fig 4H).","For LPS stimulation BMDCs, cells were seeded on 12-well plates (5 x 105 cells/well). LPS stimulation was carried out with: LPS derived from intracellular shigellae (iLPS), shigellae grown in TSB medium (aLPS) and M90T \u0394msbB1msbB2 LPS, as described, [8] and commercial E. coli LPS (LPS ultrapure\u2013EB; InvivoGen) at the concentration of 1 and 10 ng/mL for 18 h.",Ptx3;PTX3,LPS;E. coli;lipid A,
