title,authors,id,source,date,url,abstract
An essential role for IFN-β in the induction of IFN-stimulated gene expression by LPS in macrophages,Faruk Sheikh; Harold Dickensheets; Ana M. Gamero; Stefanie N. Vogel; Raymond P. Donnelly,Matched: Introduction,cat /papers/PMC4163629/content.lines --lines 13,2014,https://doi.org/10.1189/jlb.2A0414-191R,This study investigated the role of IFN-β in LPS-induced gene expression in macrophages. IFN-β was found to be essential for activating ISGF3 and inducing interferon-stimulated genes.
Full Spectrum of LPS Activation in Alveolar Macrophages of Healthy Volunteers by Whole Transcriptomic Profiling,Miguel Pinilla-Vera; Zeyu Xiong; Yutong Zhao; Jing Zhao; Michael P. Donahoe; Suchitra Barge; William...,Matched: Interferon Regulatory factor 7 is the top upstream regulator in the ea,cat /papers/PMC4951018/content.lines --lines 99-101,2016-07-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4951018/,"Human alveolar macrophages were studied for their response to LPS activation using transcriptomic profiling. LPS induced a type I interferon signature, with IRF-7 and USP18 potentially fine-tuning IL-10 production."
Six Interferon-Stimulated Genes as Biomarkers of M1 Macrophage Polarization in Psoriasis,Sha Wu; Yan Mao; Lidan Hu; Haixia Ji; Xing Liu; Guolan Ma; Chen Chen; Chuang Xiao; Dan Xu; Weimin Ya...,Matched: LPS Stimulation Promotes M1 Polarization and Hub Gene Expression in RA,cat /papers/PMC12518975/content.lines --lines 88-89,2025-10-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12518975/,"Six interferon-stimulated genes were identified as potential biomarkers for M1 macrophage polarization in psoriasis. These genes, including ISG15 and RSAD2, were validated experimentally and may offer new therapeutic targets."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",Matched: DISCUSSION,cat /papers/PMC4378362/content.lines --lines 69-70,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
"Type I Interferon, Induced by Adenovirus or Adenoviral Vector Infection, Regulates the Cytokine Response to Lipopolysaccharide in a Macrophage Type-Specific Manner",Mareike D. Maler; Sophie Zwick; Carsten Kallfass; Peggy Engelhard; Hexin Shi; Laura Hellig; Pang Zhe...,Matched: Ad Infection Converts Marginal Zone Macrophages to IFN-β-Producing Cel,cat /papers/PMC11023693/content.lines --lines 59-60,2024-03-25,https://doi.org/10.1159/000538282,"Adenovirus infection was studied for its effect on macrophage cytokine response to lipopolysaccharide. Type I interferon, induced by adenovirus, enhances LPS-induced TNF-α and IL-6 in a macrophage type-specific manner."
Single cell analysis of docosahexaenoic acid suppression of sequential LPS-induced proinflammatory and interferon-regulated gene expression in the macrophage,Kathryn A. Wierenga; Frank M. Riemers; Bart Westendorp; Jack R. Harkema; James J. Pestka,Matched: LPS-induced cellular pathways promoting transcription precede inflamma,cat /papers/PMC9669445/content.lines --lines 100,2022-11-03,https://doi.org/10.3389/fimmu.2022.993614,"Single-cell RNA sequencing studied docosahexaenoic acid's effects on LPS-induced gene expression in macrophages. DHA suppressed both proinflammatory and interferon-regulated genes, and downregulated NF-κB targets."
Forced IFIT-2 expression represses LPS induced TNF-alpha expression at posttranscriptional levels,Susanne Berchtold; Birgit Manncke; Juliane Klenk; Julia Geisel; Ingo B Autenrieth; Erwin Bohn,Matched: IFIT-2 selectively inhibits LPS induced protein expression,cat /papers/PMC2632614/content.lines --lines 18-20,2008-12-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2632614/,Forced IFIT-2 expression was studied in macrophages stimulated with LPS. IFIT-2 selectively represses LPS-induced TNF-α expression at posttranscriptional levels by reducing mRNA stability.
IFIT1 Exerts Opposing Regulatory Effects on the Inflammatory and Interferon Gene Programs in LPS-Activated Human Macrophages,Sinu P. John; Jing Sun; Rebecca J. Carlson; Binh Cao; Clinton J. Bradfield; Jian Song; Margery Smelk...,Matched: Dual luciferase assay of THP1 B5 human macrophage cells,cat /papers/PMC6492923/content.lines --lines 65,2019-03-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6492923/,"IFIT1's role in LPS-activated macrophages was studied. IFIT1 negatively regulates inflammatory genes while positively regulating interferon genes, acting as a reciprocal modulator."
Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,"Akane Tanaka, Joyce To, Bronwyn O’Brien, Sheila Donnelly, Maria Lund",PMC5627409,biomedrxiv,2017-10-03,https://doi.org/10.1186/s12865-017-0223-y,"This study assessed the stability of eight common reference genes in LPS-stimulated murine macrophages. It found that some traditional genes are unreliable, and identified two new, stable reference genes for accurate gene expression analysis."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
"Effect of LPS, dsRNA or interferons on the phagocytosis of dying cells or mycobacteria by macrophages",Frederic Vanzembergh; Greet Brouckaert; Florence Nazé; Steven Van Gucht; Tom Vanden Berghe; Dmitri K...,PMC3019512,BMC Proceedings,2011-01-10,https://doi.org/10.1186/1753-6561-5-S1-P82,
