title,authors,id,source,date,url,abstract
Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,Rachel Young; Stephen J. Bush; Lucas Lefevre; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriu...,Matched: RNA-seq analysis of genes involved in arginine metabolism,cat /papers/PMC6245571/content.lines --lines 33-34,2018-11-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6245571/,"This study analyzed gene expression related to nitric oxide production in macrophages from various species. Macrophage responses to LPS stimulation, including NOS2 induction, are not conserved across species and may be influenced by retrotransposon insertions."
FOCIS abstract supplement,Gail Bast,PMC7128890,PMC,2005-04-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7128890/,
The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,Mengjie Yang; Xiaowei Chen; Xiran Hu; Hexiang Li; Hao Huang; Yingzhe Fang; Jue Jiang; Hudan Liu; Yua...,Matched: RELA directly activates Slc7a11 transcription in M1 macrophages,cat /papers/PMC12268560/content.lines --lines 32-33,2025-06-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12268560/,"This study investigated the mechanisms behind M1 macrophage ferroptosis resistance. It found that the NF-κB-SLC7A11 pathway increases cystine uptake and glutathione synthesis, making M1 macrophages resistant to ferroptosis."
Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,Junghwan Lee; Sung-Gwon Lee; Kee K. Kim; Yun-Ji Lim; Ji-Ae Choi; Soo-Na Cho; Chungoo Park; Chang-Hwa...,Matched: Discussion,cat /papers/PMC6411972/content.lines --lines 48-49,2019-03-11,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6411972/,Macrophages infected with virulent or attenuated *Mycobacterium tuberculosis* were analyzed using RNA-Seq. Increased expression of SLC7A2 in response to the attenuated strain was found to be important for controlling intracellular bacterial survival.
Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,Kiavash Hushmandi; Behzad Einollahi; Seyed Hassan Saadat; E. Hui Clarissa Lee; Marzieh Ramezani Fara...,Matched: SLC7A2,cat /papers/PMC11112377/content.lines --lines 42-43,2024-05-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11112377/,"This review examines amino acid transporters (SLCs) and their role in cancer progression. Dysregulated SLCs are crucial for tumor growth, offering potential therapeutic targets."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,Jun Liang; Yingli Cai; Yiming Shao,Matched: LPS Induces M1 Polarization and Inflammatory Response in RAW264.7 Macr,cat /papers/PMC13199726/content.lines --lines 100-101,2026-05-20,https://doi.org/10.2147/IDR.S590998,"Gram-negative bacterial infection is a major cause of severe inflammatory disorders and cellular damage, with lipopolysaccharide (LPS) as a key pathogenic trigger. Macrophages are central players in L"
Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,Daniel P. Barry; Mohammad Asim; Brooks P. Scull; M. Blanca Piazuelo; Thibaut de Sablet; Nuruddeen D....,Matched: Discussion,cat /papers/PMC3237590/content.lines --lines 62,2011-12-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3237590/,"Cationic amino acid transporter 2 (CAT2) was studied in mice infected with *Helicobacter pylori*. CAT2 enhances innate immunity, as its absence leads to increased bacterial colonization and altered immune responses."
l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,Abhishek Mandal; Sushmita Das; Ajay Kumar; Saptarshi Roy; Sudha Verma; Ayan Kumar Ghosh; Ruby Singh;...,Matched: Leishmania Infection Upregulates l-Arginine Transport through CAT-2 Tr,cat /papers/PMC5526900/content.lines --lines 57-60,2017-07-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5526900/,"This study investigated how *Leishmania donovani* survives inside macrophages. Parasite survival is enhanced by increased *l*-arginine uptake via CAT-2, which boosts arginase-mediated polyamine synthesis."
“Of Mice and Men”: Arginine Metabolism in Macrophages,Anita C. Thomas; Joshua T. Mattila,PMC4188127,PMC,2014-10-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4188127/,
