rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12904459,Csep1P protein from Campylobacter concisus induces a chemokine-dominant inflammatory state in macrophages and enhances proinflammatory response to gut bacteria,success,yes,yes,"In both THP-1-derived and human primary macrophages, Csep1P significantly increased the production of IL-8 and CCL4, while IL-1̢β and TNF-α were below the limit of detection. (b) LPS significantly increased the production of all four cytokines in THP-1-derived macrophages.","The levels of chemokines IL-8 and CCL4, and proinflammatory cytokines IL-1̢β and TNF-α in the supernatants of THP-1-derived macrophages stimulated with PMA for 2 days and primary human macrophages following incubation with Csep1P (10 μg/ml) or LPS (100 ng/ml) were measured using ELISA.",Ccl4;CCL4,LPS,
2,PMC4995753,Emerging role of chemokine CC motif ligand 4 related mechanisms in diabetes mellitus and cardiovascular disease: friends or foes?,success,yes,yes,"Furthermore, LPS-induced CCL4 production from human monocytes was significantly and positively correlated with the total and LDL cholesterol concentration (L64).",CCL4 was first isolated from the culture medium of LPS-activated macrophages (L16).,Ccl4;CCL4,LPS,
3,PMC2196157,C–C Chemokines Released by Lipopolysaccharide (LPS)-stimulated Human Macrophages Suppress HIV-1 Infection in Both Macrophages and T Cells,success,no,yes,"Table 3 shows that addition of LPS resulted in vigorous production of these C–C chemokines by MDM, both uninfected and infected in vitro with HIV.",Uninfected or HIV-1Ba-L-infected MDM were cultured in the presence or absence of LPS (1 Γ΄g/ml).,,LPS;infected,yes->no: evidence does not name the gene
4,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
5,PMC6154519,TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,success,no,no,,,,,
6,PMC9133420,CCR4 and CCR5 Involvement in Monocyte-Derived Macrophage Migration in Neuroinflammation,success,no,yes,"Expression levels of six chemokines, namely, CXCL10, CCL2, CCL3/4, CCL9/10, CCL5, and CCL12 were significantly higher in BV2 CML than in BV2 CM (Figure 1D).","After LPS (1 ng/ml) treatment in BV2 (microglia cell line) and J774 (monocyte/macrophage cell line) cells, BV2 migration was approximately two-fold more enhanced compared to J774 migration.",,LPS,yes->no: evidence does not name the gene
7,PMC13180550,Exhausted CD4+T cells are associated with CCL4-driven immunosuppressive macrophage accumulation in enzootic bovine leukosis,success,no,no,,,,,
8,PMC7883330,CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,success,yes,yes,"Moreover, levels of CCL3, CCL4, and CCL5 were also elevated in the LPS-injected group at P1 and P3 (Fig. 3b).","B CCL3, CCL4, and CCL5 levels in rat lung tissues.",Ccl4;CCL4,LPS,
9,PMC13108475,Genetic and Experimental Evidence Implicates CCL4 in Severe Sepsis Risk and Phase-Dependent Immune Dynamics,success,yes,yes,"In lung tissues, protein levels of IL-1̢ and Caspase1 were increased (Figure 5H), and immunohistochemistry revealed a marked upregulation of CCL4 expression (Figure 5I).","Sepsis was induced via standardized CLP to replicate human polymicrobial sepsis. [16],[28] Following an 8-hour fast (with free access to water), rats were transferred to a sterile surgical bench.",Ccl4;CCL4,Sepsis;CLP,
10,PMC13297423,Association of Circulating C-C Motif Chemokine Ligand 4 to Disease Severity and Clinical Outcomes in Sepsis: A Prospective Observational Study,success,no,no,,,,,
11,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
12,PMC8052121,LXA4 Inhibits Lipopolysaccharide-Induced Inflammatory Cell Accumulation by Resident Macrophages in Mice,success,no,no,,,,,
13,PMC7555143,"CCL4 Inhibition in Atherosclerosis: Effects on Plaque Stability, Endothelial Cell Adhesiveness, and Macrophages Activation",success,no,no,,,,,
14,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
15,PMC2193157,A Key Role for Cc Chemokine Receptor 4 in Lipopolysaccharide-Induced Endotoxic Shock,success,no,no,,,,,
16,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,no,,,,,
17,PMC3257836,Macrophage Phenotype Modulation by CXCL4 in Atherosclerosis,success,no,no,,,,,
18,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
19,PMC9225349,Anti-Inflammatory Effects of Cicadidae Periostracum Extract and Oleic Acid through Inhibiting Inflammatory Chemokines Using PCR Arrays in LPS-Induced Lung inflammation In Vitro,success,yes,yes,"The mRNA expression levels of chemokines CCL20, CXCL5, CXCL1, CCL2, CXCL10, CXCL11, CCL7, IL-6, CXCL3, CCL17 CXCL2, CCL8, CCRL2, TLR2, PPBP (CXCL7), CCL4, CCL5, and CCL9 were significantly increased in the LPS-stimulated group compared with the normal group.",Mouse Chemokines and Receptors RT2 Profiler PCR arrays were used to explore the global gene expression patterns in LPS-stimulated LA4 cells.,Ccl4;CCL4,LPS,
20,PMC6974874,Phenylbutyrate facilitates homeostasis of non-resolving inflammatory macrophages,success,no,no,,,,,
21,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
22,PMC11071541,Genetic variation in IL-4 activated tissue resident macrophages alters the epigenetic state to determine strain specific synergistic responses to LPS,success,no,no,,,,,
23,PMC11018209,Effect of connexin 43 in LPS/IL-4-induced macrophage M1/M2 polarization: An observational study,success,no,no,,,,,
24,PMC8406035,Redox-sensitive activation of CCL7 by BRG1 in hepatocytes during liver injury,success,no,no,,,,,
25,PMC3300654,The role of CC-chemokine receptor 4 in murine polymicrobial sepsis,success,no,yes,"After sepsis induction, CR4 is massively downregulated, whereas expression of the ligands seems to be not severely affected.",We performed 16 G CASP operations in CCR4 KO mice or wild-type (WT) controls.,,sepsis,yes->no: evidence does not name the gene
