title,authors,id,source,date,url,abstract
NF-κB p65 and TCF-4 interactions are associated with LPS-stimulated IL-6 secretion of macrophages,Ji-Youn Kim; Hyeon-Gun Jee; Ju Yeong Kim; Tai-Soon Yong; Soung-Hoo Jeon,Matched: Establishment of an in vitro macrophage model with LPS stimulation,cat /papers/PMC10859262/content.lines --lines 43-44,2024-02-06,https://doi.org/10.1016/j.bbrep.2024.101659,This study investigated the interaction between NF-κB and TCF-4 in LPS-stimulated macrophages. The findings indicate that NF-κB p65 and TCF-4 interaction is associated with increased IL-6 secretion.
In Vitro Study of Interleukin-6 when Used at Low Dose and Ultra-Low Dose in Micro-Immunotherapy,Camille Jacques; Flora Marchand; Mathias Chatelais; Adrien Brulefert; Mathieu Riffault; Ilaria Flori...,Matched: 3.5. The ULD-IL-6-Containing Capsule of the Complex Micro-Immunotherap,cat /papers/PMC10971188/content.lines --lines 51-52,2024-03-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10971188/,"This study investigated the in vitro immune-modulatory effects of low and ultra-low dose Interleukin-6 in micro-immunotherapy. Results indicate IL-6 at these doses can activate immune cells and influence macrophage differentiation, while a complex formulation inhibited mast cell degranulation and IL-6 release."
Anxiolytic-like effects of hochuekkito in lipopolysaccharide-treated mice involve interleukin-6 inhibition,Soichiro Ushio; Yudai Wada; Mizuki Nakamura; Daiki Matsumoto; Kota Hoshika; Shoya Shiromizu; Naohiro...,Matched: Effect of HET on LPS-induced IL-6 secretion by macrophages,cat /papers/PMC9411515/content.lines --lines 61-62,2022-08-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9411515/,"Hochuekkito (HET) was studied for its effects on anxiety-like behavior induced by lipopolysaccharide (LPS) in mice. HET administration prevented anxiety-like behavior and reduced interleukin-6 (IL-6) levels, suggesting IL-6 inhibition is a key mechanism."
The Uremic Toxin Indoxyl Sulphate Enhances Macrophage Response to LPS,Simona Adesso; Ada Popolo; Giuseppe Bianco; Rosalinda Sorrentino; Aldo Pinto; Giuseppina Autore; Ste...,Matched: TNF-α and IL-6 determination,cat /papers/PMC3786936/content.lines --lines 30,2013-09-30,https://doi.org/10.1371/journal.pone.0076778,"Indoxyl sulphate was studied for its effects on macrophage activation by LPS. IS enhances macrophage inflammatory responses to LPS, increasing ROS, NO, and pro-inflammatory cytokine production."
Interleukin-6 signaling promotes alternative macrophage activation to limit obesity-associated insulin resistance and endotoxemia,Jan Mauer; Bhagirath Chaurasia; Julia Goldau; Merly C. Vogt; Johan Ruud; Khoa D. Nguyen; Sebastian T...,Matched: LPS-endotoxemia,cat /papers/PMC4161471/content.lines --lines 65,2014-03-30,https://doi.org/10.1038/ni.2865,"This study investigated the role of IL-6 signaling in myeloid cells during diet-induced obesity. IL-6 signaling is crucial for alternative macrophage activation, which limits insulin resistance and endotoxemia."
CEACAM1 regulates the IL-6 mediated fever response to LPS through the RP105 receptor in murine monocytes,Zhifang Zhang; Deirdre La Placa; Tung Nguyen; Maciej Kujawski; Keith Le; Lin Li; John E. Shively,Matched: LPS distribution after i.p. Injection and IL-6 mRNA expression in mous,cat /papers/PMC6345024/content.lines --lines 24-26,2019-01-23,https://doi.org/10.1186/s12865-019-0287-y,"CEACAM1 regulates IL-6 fever response to LPS in murine monocytes via the RP105 receptor. CEACAM1 negatively controls RP105 signaling, impacting IL-6 production and fever."
COVID-19 virtual patient cohort reveals immune mechanisms driving disease outcomes,"Adrianne L. Jenner, Rosemary A. Aogo, Sofia Alfonso, Vivienne Crowe, Amanda P. Smith, Penelope A. Mo...",Matched: S4.2.3. *Production of IL-6 by alveolar macrophages*,cat /papers/bio_f7b8d9ca6e0e/content.lines --lines 678-681,2021-01-05,,A mathematical model and virtual patient cohort were used to study immune responses to SARS-CoV-2. Low early interferon production and high IL-6 were linked to severe COVID-19 phenotypes and CD8+ T cell depletion.
Interleukin-6 Contributes to Age-Related Alteration of Cytokine Production by Macrophages,Christian R. Gomez; John Karavitis; Jessica L. Palmer; Douglas E. Faunce; Luis Ramirez; Vanessa Nome...,Matched: 1. Introduction,cat /papers/PMC2910493/content.lines --lines 13-14,2010-07-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2910493/,Splenic macrophages from aged mice showed decreased proinflammatory cytokine production compared to young mice. This age-related defect was ameliorated in the absence of Interleukin-6.
MicroRNA-181b regulates endotoxin tolerance by targeting IL-6 in macrophage RAW264.7 cells,Wenjun Zhang; Xiaojun Shen; Luyang Xie; Maoping Chu; Yanmei Ma,Matched: Conclusions,cat /papers/PMC4355005/content.lines --lines 80-81,2015-03-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4355005/,"This study investigated microRNA-181b's role in endotoxin tolerance in macrophages. Upregulated miR-181b targets IL-6, inducing tolerance by fine-tuning IL-6 expression."
Interleukin 6-regulated macrophage polarization controls atherosclerosis-associated vascular intimal hyperplasia,Jiaquan Chen; Weilun Wang; Qihong Ni; Lan Zhang; Xiangjiang Guo,Matched: Suppression of Il6 induced M2a-like polarization in M1/M2b macrophages,cat /papers/PMC9363591/content.lines --lines 38-39,2022-07-27,https://doi.org/10.3389/fimmu.2022.952164,This study analyzed gene expression differences between CD11c+ and CD11c- plaque macrophages in vascular intimal hyperplasia. Interleukin 6 (IL-6) was identified as a key regulator of macrophage polarization that drives vascular intimal hyperplasia and atherosclerosis progression.
Production and Characterization of IgY Polyclonal Antibodies Specific to Human Interleukin-6 and Their Neutralization Potential for Anti-inflammatory Responses,Pacharaporn Khumpim; Charin Thawornkuno; Surapon Piboonpocanun; Wongsakorn Wongwadhunyoo; Promsin Ma...,Matched: Anti-IL6 IgY neutralize IL6 from LPS stimulated cell,cat /papers/PMC12782472/content.lines --lines 54-56,2025,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12782472/,"Anti-human IL-6 IgY antibodies were produced in chicken eggs. These antibodies effectively neutralized IL-6 in cell culture, showing potential for therapeutic use."
CD80 Expression Correlates with IL-6 Production in THP-1-Like Macrophages Costimulated with LPS and Dialyzable Leukocyte Extract (Transferon®),Alexis P. Jiménez-Uribe; Hugo Valencia-Martínez; Gregorio Carballo-Uicab; Luis Vallejo-Castillo; Emi...,Matched: 1. Introduction,cat /papers/PMC6481127/content.lines --lines 15-16,2019-04-10,https://doi.org/10.1155/2019/2198508,"Transferon® and LPS co-stimulation increased CD80, CD86, and IL-6 in THP-1 macrophages. CD80 expression correlated with IL-6 production, suggesting Transferon® enhances macrophage activation."
IRF3 Promotes Production of IL-6 and Nitric Oxide but Represses CCL22 in RAW264.7 Macrophage Cells Exposed to Lipopolysaccharides in Culture,Tyler C Moore; Terrence Scott Pinkerton; Thomas M Petro,Matched: Conventional Pg LPS Preparations Significantly Enhance the Macrophage,cat /papers/PMC11784258/content.lines --lines 41-43,2025-01-27,https://doi.org/10.2147/JIR.S496930,IRF3's role in macrophage responses to LPS was studied. IRF3 promotes IL-6 and NO production while repressing CCL22.
Direct and Indirect Suppression of Interleukin-6 Gene Expression in Murine Macrophages by Nuclear Orphan Receptor REV-ERBα,Shogo Sato; Takuya Sakurai; Junetsu Ogasawara; Ken Shirato; Yoshinaga Ishibashi; Shuji Oh-ishi; Kazu...,Matched: 3.1. REV-ERBα Agonists Suppress il6 Induction following LPS Stimulatio,cat /papers/PMC4220616/content.lines --lines 41,2014-10-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4220616/,"REV-ERB α was studied for its role in regulating interleukin-6 gene expression in macrophages. REV-ERB α directly and indirectly suppresses interleukin-6 expression, acting as an anti-inflammatory receptor."
Mouse Ocilrp2/Clec2i negatively regulates LPS-mediated IL-6 production by blocking Dap12-Syk interaction in macrophage,Mingya Cao; Lina Ma; Chenyang Yan; Han Wang; Mengzhe Ran; Ying Chen; Xiao Wang; Xiaonan Liang; Lihui...,Matched: The expression of IL-6 was associated with Syk activation in LPS-induc,cat /papers/PMC9589251/content.lines --lines 56,2022-10-10,https://doi.org/10.3389/fimmu.2022.984520,Ocilrp2 expression in macrophages was studied in response to LPS. Silencing Ocilrp2 increased IL-6 production by promoting Syk binding to Dap12.
"Type I Interferon, Induced by Adenovirus or Adenoviral Vector Infection, Regulates the Cytokine Response to Lipopolysaccharide in a Macrophage Type-Specific Manner",Mareike D. Maler; Sophie Zwick; Carsten Kallfass; Peggy Engelhard; Hexin Shi; Laura Hellig; Pang Zhe...,Matched: Expression of IL-10R and the Downregulation of the IL-6 Response to LP,cat /papers/PMC11023693/content.lines --lines 71,2024-03-25,https://doi.org/10.1159/000538282,"Adenovirus infection was studied for its effect on macrophage cytokine response to lipopolysaccharide. Type I interferon, induced by adenovirus, enhances LPS-induced TNF-α and IL-6 in a macrophage type-specific manner."
"The Pro-Inflammatory Cytokine, Interleukin-6, Enhances the Polarization of Alternatively Activated Macrophages",Maria Ruweka Fernando; Jose Luis Reyes; Jordan Iannuzzi; Gabriella Leung; Derek Mark McKay,Matched: Human Macrophage Culture,cat /papers/PMC3988054/content.lines --lines 18,2014-04-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3988054/,"Interleukin-6 was studied for its effect on macrophage polarization. IL-6 enhances alternatively activated macrophage (AAM) polarization, promoting anti-inflammatory and wound healing functions."
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/PMC9411976/content.lines --lines 78-79,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
Isocorydine Ameliorates IL-6 Expression in Bone Marrow-Derived Macrophages and Acute Lung Injury Induced by Lipopolysaccharide,Yifan Tu; Xiaodong Li; Yuanzheng Fu; Yunyun Chen; Hui Fang; Yuan Li; Ying Gu; Jiawei Zhang,Matched: 2.2. ICD Inhibits IL-6 Expression in LPS-Induced Macrophage Activation,cat /papers/PMC10003757/content.lines --lines 19-20,2023-02-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10003757/,Isocorydine was studied for its effects on IL-6 expression in macrophages and acute lung injury. Isocorydine reduces IL-6 expression and protects against lung injury by modulating inflammatory signaling pathways.
Curcumin suppresses the production of interleukin-6 in Prevotella intermedia lipopolysaccharide-activated RAW 264.7 cells,Sung-Jo Kim,Matched: LPS isolation,cat /papers/PMC3139050/content.lines --lines 26,2011-06-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3139050/,Curcumin was studied for its effects on interleukin-6 production in macrophage cells stimulated with Prevotella intermedia LPS. Curcumin suppressed IL-6 production by inhibiting NF-κB and STAT1 signaling pathways.
Astragalus membranaceus Injection Suppresses Production of Interleukin-6 by Activating Autophagy through the AMPK-mTOR Pathway in Lipopolysaccharide-Stimulated Macrophages,Xiaoyan Zhang; Taigang Liang; Wanxia Yang; Lanfang Zhang; Shuting Wu; Chaoqun Yan; Qingshan Li,Matched: 3.1. AM Could Inhibit the Production of the LPS-Induced IL-6,cat /papers/PMC7364262/content.lines --lines 32,2020-07-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7364262/,Astragalus membranaceus injection was studied in lipopolysaccharide-stimulated macrophages. It suppresses interleukin-6 production by activating autophagy via the AMPK-mTOR pathway.
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
"Diphlorethohydroxycarmalol Inhibits Interleukin-6 Production by Regulating NF-κB, STAT5 and SOCS1 in Lipopolysaccharide-Stimulated RAW264.7 Cells",Na-Jin Kang; Sang-Chul Han; Gyeoung-Jin Kang; Dong-Hwan Koo; Young-Sang Koh; Jin-Won Hyun; Nam-Ho Le...,Matched: 2.1. DPHC Selectively Inhibits LPS-Induced IL-6 Production in RAW264.7,cat /papers/PMC4413204/content.lines --lines 18-19,2015-04-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4413204/,"Diphlorethohydroxycarmalol (DPHC) was studied for its anti-inflammatory effects in LPS-stimulated macrophages. DPHC inhibits IL-6 production by regulating NF-κB, STAT5, and SOCS1 pathways."
IL-21 Modulates Release of Proinflammatory Cytokines in LPS-Stimulated Macrophages through Distinct Signaling Pathways,Su-nan Li; Wei Wang; Shou-peng Fu; Jian-fa Wang; Hong-mei Liu; Shan-shan Xie; Bing-run Liu; Yang Li;...,Matched: 2.5. ELISA Analysis,cat /papers/PMC3888770/content.lines --lines 24,2013-12-26,https://doi.org/10.1155/2013/548073,IL-21 was studied for its effect on LPS-stimulated macrophages. It was found to suppress proinflammatory cytokines and shift macrophages towards an M2 phenotype.
The p38 MAPK inhibitor SB203580 differentially modulates LPS-induced interleukin 6 expression in macrophages,"Qinghai Shi, Liping Cheng, Zhengxiang Liu, Keyan Hu, Jihua Ran, Di Ge, Jianfeng Fu",Matched: Discussion,cat /papers/PMC4655375/content.lines --lines 39-40,2015-10-15,https://doi.org/10.5114/ceji.2015.54586,"This study investigated how the p38 MAPK inhibitor SB203580 affects LPS-induced cytokine production in different macrophage types. SB203580 blocked TNF-α and IL-6 production in RAW264.7 cells but only TNF-α in peritoneal macrophages, with regulation occurring post-transcriptionally."
