title,authors,id,source,date,url,abstract
"Regulation of Macrophage, Dendritic Cell, and Microglial Phenotype and Function by the SOCS Proteins",Sarah M. McCormick; Nicola M. Heller,Matched: SOCS3 Regulates M1 Macrophage Polarization,cat /papers/PMC4621458/content.lines --lines 16-17,2015-10-27,https://doi.org/10.3389/fimmu.2015.00549,"This review summarizes research on how SOCS proteins regulate macrophage, dendritic cell, and microglial phenotypes. SOCS proteins are crucial for controlling immune cell function and preventing disease, with microRNAs also playing a regulatory role."
SOCS Proteins in Macrophage Polarization and Function,Heather M. Wilson,Matched: SOCS3,cat /papers/PMC4112788/content.lines --lines 18-19,2014-07-28,https://doi.org/10.3389/fimmu.2014.00357,
SOCS3,Christine A White; Nicos A Nicola,Matched: Macrophage/neutrophil-specific Socs3 deletion (LysM-Cre),cat /papers/PMC3876435/content.lines --lines 37-39,2013-06-11,https://doi.org/10.4161/jkst.25045,"Conditional deletion of SOCS3 in mice revealed its non-redundant roles in inhibiting cytokine signaling across various physiological and disease contexts. SOCS3 is crucial for fertility, development, immunity, and malignancy."
"Suppressor of Cytokine Signaling 3 Derived Peptide as a Therapeutic for Inflammatory, and Oxidative Stress Induced Damage to the Retina","Chulbul M. Ahmed, Anil P. Patel, Howard M. Johnson, Cristhian J. Ildefonso, Alfred S. Lewin *",Matched: R9-SOCS3-KIR protects against the inflammatory damage caused by LPS,cat /papers/bio_a7f4b83d6e8b/content.lines --lines 73-74,2023-09-04,,"A peptide derived from Suppressor of Cytokine Signaling 3 was tested for its therapeutic potential against retinal damage. The peptide effectively reduced inflammation and oxidative stress, protecting retinal cells and integrity."
"SOCS3 Expression Correlates with Severity of Inflammation, Expression of Proinflammatory Cytokines, and Activation of STAT3 and p38 MAPK in LPS-Induced Inflammation In Vivo",João Antônio Chaves de Souza; Andressa Vilas Boas Nogueira; Pedro Paulo Chaves de Souza; Yeon Jung K...,Matched: 3.4. SOCS3 Physically Interacts with STAT3 in LPS-Stimulated Macrophag,cat /papers/PMC3775441/content.lines --lines 42-43,2013-09-02,https://doi.org/10.1155/2013/650812,"This study investigated SOCS3 expression in LPS-induced inflammation in rats and macrophages. SOCS3 expression correlated with inflammation severity, cytokine levels, and STAT3/p38 MAPK activation."
The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,Areerat Kunanopparat; Asada Leelahavanichkul; Peerapat Visitchanakun; Patipark Kueanjinda; Pornpimol...,Matched: 2.4. A Possible Impact of Inhibitory Socs3 and Cell Energy Status in E,cat /papers/PMC10049283/content.lines --lines 25-26,2023-03-10,https://doi.org/10.3390/ijms24065363,This study investigated the role of Ezh2 in macrophage responses to LPS. Loss of Ezh2 in macrophages leads to less severe LPS-induced inflammation and reduced LPS tolerance.
Anti-inflammatory mechanisms of suppressors of cytokine signaling target ROS via NRF-2/thioredoxin induction and inflammasome activation in macrophages,Ga-Young Kim; Hana Jeong; Hye-Young Yoon; Hye-Min Yoo; Jae Young Lee; Seok Hee Park; Choong-Eun Lee,Matched: SOCS3 exhibits similar inhibitory effects on LPS-induced ROS and infla,cat /papers/PMC7781909/content.lines --lines 24-25,2020-12-31,https://doi.org/10.5483/BMBRep.2020.53.12.161,"SOCS1 and SOCS3 were studied for their anti-inflammatory mechanisms in macrophages. They suppress inflammation by inducing thioredoxin via NRF-2, reducing ROS and inflammasome activation."
"SOCS3, a Major Regulator of Infection and Inflammation",Berit Carow; Martin E. Rottenberg,Matched: SOCS3 and STAT3,cat /papers/PMC3928676/content.lines --lines 83-85,2014-02-19,https://doi.org/10.3389/fimmu.2014.00058,"This review examines SOCS3's role in infection and inflammation. SOCS3 regulates cytokine signaling, often inhibiting STAT3 activation, to control immune homeostasis."
Lack of SOCS3 increases LPS-induced murine acute lung injury through modulation of Ly6C(+) macrophages,Zhilong Jiang; Zhihong Chen; Liyang Li; Wenjun Zhou; Lei Zhu,Matched: Lack of SOCS3 expression increased Ly6C(+) macrophage phenotype in LPS,cat /papers/PMC5747159/content.lines --lines 65,2017-12-29,https://doi.org/10.1186/s12931-017-0707-6,"SOCS3 deficiency in myeloid cells exacerbates LPS-induced acute lung injury in mice. This is due to increased Ly6C(+) monocyte infiltration and activation, leading to greater inflammation."
SOCS3 Protein Mediates the Therapeutic Efficacy of Mesenchymal Stem Cells against Acute Lung Injury,Young Eun Kim; Dong Kyung Sung; Yuna Bang; Se In Sung; Misun Yang; So Yoon Ahn; Yun Sil Chang,Matched: 2.3. MSC Transcriptome Analyses after LPS Induction,cat /papers/PMC10179427/content.lines --lines 22,2023-05-04,https://doi.org/10.3390/ijms24098256,This study investigated how mesenchymal stem cells (MSCs) treat acute lung injury by modulating macrophages. SOCS3 protein in MSCs is crucial for their ability to shift macrophages towards an anti-inflammatory state and reduce lung injury.
Paeoniflorin inhibits the macrophage-related rosacea-like inflammatory reaction through the suppressor of cytokine signaling 3-apoptosis signal-regulating kinase 1-p38 pathway,Zijing Liu; Jiawen Zhang; Peiyu Jiang; Zhi Yin; Yunyi Liu; Yixuan Liu; Xiaoyan Wang; Liang Hu; Yang ...,Matched: SOCS3 siRNA inhibits the expression of inflammatory factors induced by,cat /papers/PMC7837818/content.lines --lines 62-63,2021-01-22,https://doi.org/10.1097/MD.0000000000023986,Paeoniflorin was studied for its effects on rosacea-like inflammation in macrophages. It was found to inhibit this inflammation by targeting the SOCS3-ASK1-p38 pathway.
Resveratrol decreases CD45+CD206− subtype macrophages in LPS‐induced murine acute lung injury by SOCS3 signalling pathway,Lu Hu; Zhihong Chen; Liyang Li; Zhilong Jiang; Lei Zhu,Matched: INTRODUCTION,cat /papers/PMC6850919/content.lines --lines 12,2019-09-27,https://doi.org/10.1111/jcmm.14680,"Resveratrol treatment reduced acute lung injury severity in mice by decreasing pro-inflammatory macrophages. This effect is mediated by the SOCS3 signaling pathway, which promotes alternatively activated macrophages."
Pre-Treatment of Recombinant Mouse MFG-E8 Downregulates LPS-Induced TNF-α Production in Macrophages via STAT3-Mediated SOCS3 Activation,Monowar Aziz; Asha Jacob; Akihisa Matsuda; Rongqian Wu; Mian Zhou; Weifeng Dong; Weng-Lang Yang; Pin...,Matched: In vivo LPS exposure augments STAT3 and SOCS3 in mouse peritoneal cell,cat /papers/PMC3217009/content.lines --lines 56-57,2011-11-15,https://doi.org/10.1371/journal.pone.0027685,"Recombinant mouse MFG-E8 was studied for its effect on LPS-induced TNF-α production in macrophages. Pre-treatment with MFG-E8 downregulated TNF-α by activating STAT3-mediated SOCS3, which negatively regulates TLR4 signaling."
Suppressor of Cytokine Signaling 3 in Macrophages Prevents Exacerbated Interleukin-6-Dependent Arginase-1 Activity and Early Permissiveness to Experimental Tuberculosis,Erik Schmok; Mahin Abad Dar; Jochen Behrends; Hanna Erdmann; Dominik Rückerl; Tanja Endermann; Lisa ...,Matched: Macrophage-Specific SOCS3-Deficient Mice Are Highly Susceptible to Mtb,cat /papers/PMC5686055/content.lines --lines 22-23,2017-11-10,https://doi.org/10.3389/fimmu.2017.01537,"This study investigated the role of SOCS3 in macrophages during experimental tuberculosis. Macrophage-specific SOCS3 deficiency leads to increased bacterial load and exacerbated inflammation, primarily due to early, IL-6-driven arginase-1 activity."
Interleukin-6 deficiency modulates testicular function by increasing the expression of suppressor of cytokine signaling 3 (SOCS3) in mice,Thaís Alves-Silva; Geanne Arantes Freitas; Talita Guerreiro Rodrigues Húngaro; Adriano Cleis Arruda;...,Matched: LPS Injection,cat /papers/PMC8169872/content.lines --lines 68,2021-06-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8169872/,This study investigated the effects of interleukin-6 deficiency on mouse testicles. IL6 deficiency increases sperm production and androgen levels by upregulating testicular SOCS3.
Macrophage Deletion of SOCS1 Increases Sensitivity to LPS and Palmitic Acid and Results in Systemic Inflammation and Hepatic Insulin Resistance,Nirupa Sachithanandan; Kate L. Graham; Sandra Galic; Jane E. Honeyman; Stacey L. Fynch; Kimberly A. ...,Matched: Macrophages from SOCS1 LysM-Cre mice are hypersensitive to the inflamm,cat /papers/PMC3142066/content.lines --lines 57-58,2011-07-18,https://doi.org/10.2337/db11-0259,Deletion of SOCS1 in macrophages increases sensitivity to inflammatory stimuli like LPS and palmitic acid. This leads to systemic inflammation and hepatic insulin resistance in mice.
SOCS2 Influences LPS Induced Human Monocyte-Derived Dendritic Cell Maturation,Jin Hu; Ola Winqvist; Amilcar Flores-Morales; Ann-Charlotte Wikström; Gunnar Norstedt,Matched: Gene expression of SOCS family members during maturation of human mono,cat /papers/PMC2744869/content.lines --lines 19-20,2009-09-25,https://doi.org/10.1371/journal.pone.0007178,"This study investigated the role of SOCS2 in human monocyte-derived dendritic cell maturation. SOCS2 is essential for proper TLR4 signaling during DC maturation, influencing both MyD88-dependent and -independent pathways."
A critical role for suppressor of cytokine signalling 3 in promoting M1 macrophage activation and function in vitro and in vivo,Christina E Arnold; Claire S Whyte; Peter Gordon; Robert N Barker; Andrew J Rees; Heather M Wilson,│ assessed by linear regression analysis. Values of P < 0,05 were considered significant.,2013-12-10,https://doi.org/10.1111/imm.12173,This study investigated the role of SOCS3 in M1 macrophage activation. SOCS3 promotes M1 macrophage pro-inflammatory responses by regulating NF-κB and PI3K pathways.
Negative regulation of cytokine signaling and immune responses by SOCS proteins,Akihiko Yoshimura; Hitomi Nishinakamura; Yumiko Matsumura; Toshikatsu Hanada,Matched: SOCS3,cat /papers/PMC1174965/content.lines --lines 23-24,2005-03-30,https://doi.org/10.1186/ar1741,"This review examines CIS/SOCS proteins, which regulate cytokine signaling via JAK/STAT pathways. These proteins are key physiological regulators of immune homeostasis and inflammatory diseases."
Role of Macrophage Socs3 in the Pathogenesis of Aortic Dissection,Satoko Ohno‐Urabe; Hiroki Aoki; Michihide Nishihara; Aya Furusho; Saki Hirakata; Norifumi Nishida; S...,Matched: Introduction,cat /papers/PMC5850160/content.lines --lines 24,2018-01-17,https://doi.org/10.1161/JAHA.117.007389,"This study investigated the role of macrophage Socs3 in aortic dissection (AD) pathogenesis. Macrophage-specific deletion of Socs3 led to AD progression by promoting inflammation and tissue destruction, while its presence facilitated healing."
Reducing Suppressors of Cytokine Signaling-3 (SOCS3) Expression Promotes M2 Macrophage Polarization and Functional Recovery After Intracerebral Hemorrhage,Xin-Chao Ji; Ya-Jun Shi; Yan Zhang; Ming-Ze Chang; Gang Zhao,Matched: Animals,cat /papers/PMC7688919/content.lines --lines 15,2020-11-12,https://doi.org/10.3389/fneur.2020.586905,Reducing SOCS3 expression in a rat model of intracerebral hemorrhage shifted macrophages to an M2 phenotype. This M2 polarization improved neuroprotection and functional recovery after the hemorrhage.
Rapid Inflammation in Mice Lacking Both SOCS1 and SOCS3 in Hematopoietic Cells,Takashi Ushiki; Nicholas D. Huntington; Stefan P. Glaser; Hiu Kiu; Angela Georgiou; Jian-Guo Zhang; ...,Matched: Introduction,cat /papers/PMC5008821/content.lines --lines 14-15,2016-09-01,https://doi.org/10.1371/journal.pone.0162111,"Mice lacking SOCS1 and SOCS3 in hematopoietic cells were studied to investigate their roles in inflammation. Loss of both SOCS1 and SOCS3 accelerated inflammatory disease, suggesting independent and cooperative roles in regulating immune cell responses."
Macrophage/microglial Ezh2 facilitates autoimmune inflammation through inhibition of Socs3,Xingli Zhang; Yan Wang; Jia Yuan; Ni Li; Siyu Pei; Jing Xu; Xuan Luo; Chaoming Mao; Junli Liu; Tao Y...,Matched: Inhibition of Socs3 restores autoimmune inflammation in Ezh2-deficient,cat /papers/PMC5940261/content.lines --lines 42-43,2018-05-07,https://doi.org/10.1084/jem.20171417,"Ezh2 in macrophages/microglia was studied for its role in autoimmune inflammation. Ezh2 facilitates autoimmune inflammation by inhibiting Socs3, thereby promoting TLR-induced NF-κB activation."
SOCS Proteins as Regulators of Inflammatory Responses Induced by Bacterial Infections: A Review,Skyla A. Duncan; Dieudonné R. Baganizi; Rajnish Sahu; Shree R. Singh; Vida A. Dennis,Matched: Gram-negative bacteria and SOCS proteins,cat /papers/PMC5733031/content.lines --lines 39-40,2017-12-12,https://doi.org/10.3389/fmicb.2017.02431,"This review examines how SOCS proteins regulate inflammatory responses to bacterial infections. SOCS proteins are key inhibitors of JAK/STAT signaling, controlling immune responses and influencing bacterial pathogenesis."
Socs3b regulates the development and function of innate immune cells in zebrafish,Mohamed L. Sobah; Aimee C. Scott; Miranda Laird; Cassandra Koole; Clifford Liongue; Alister C. Ward,Matched: Introduction,cat /papers/PMC10030509/content.lines --lines 17-19,2023-03-08,https://doi.org/10.3389/fimmu.2023.1119727,"Zebrafish *socs3b* knockout embryos showed altered neutrophil and macrophage responses. The absence of *socs3b* leads to reduced neutrophil numbers but enhanced macrophage activity, impacting survival and causing eye pathology."
