title,authors,id,source,date,url,abstract
Direct binding of polymeric GBP1 to LPS disrupts bacterial cell envelope functions,Miriam Kutsch; Linda Sistemich; Cammie F Lesser; Marcia B Goldberg; Christian Herrmann; Jörn Coers,Matched: Discussion,cat /papers/PMC7327485/content.lines --lines 54-55,2020-06-08,https://doi.org/10.15252/embj.2020104926,"Polymeric guanylate binding protein-1 (GBP1) directly binds to lipopolysaccharide (LPS) on gram-negative bacteria. This binding disrupts the bacterial cell envelope, leading to increased susceptibility to antibiotics and impaired function."
Molecular mechanisms and functions of guanylate-binding protein 2 in inflammation and cancer (Review),Zeyu Liu; Shijun Peng; Jia Ouyang,Matched: Introduction,cat /papers/PMC12486372/content.lines --lines 10-12,2025-09-18,https://doi.org/10.3892/ol.2025.15280,"This review summarizes research on guanylate-binding protein 2 (GBP2) in inflammation and cancer. GBP2 regulates inflammasomes in inflammation and has context-dependent roles in cancer, influencing progression and prognosis."
Extracellular vesicle-packaged GBP2 from macrophages aggravates sepsis-induced acute lung injury by promoting ferroptosis in pulmonary vascular endothelial cells,Zhixi Li; Yue Bu; Cheng Wang; Yongjing Yu; Lei Han; Chang Liu; Guangmin Chen; Chenglong Li; Yan Zhan...,Matched: GBP2 in SMφ-derived EVs is a potential mediator of pulmonary endotheli,cat /papers/PMC11994402/content.lines --lines 100,2025-03-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11994402/,"Macrophage-derived EVs containing GBP2 were studied for their role in sepsis-induced lung injury. These EVs promote ferroptosis in lung endothelial cells by targeting the GBP2-OTUD5-GPX4 axis, suggesting a therapeutic target."
Bacterial factors drive the differential targeting of Guanylate Binding Proteins to  Francisella  and  Shigella,"Stanimira V. Valeva, Fanny Michal, Manon Degabriel, John R. Rohde, Felix Randow, Robert K. Ernst, Br...",Matched: Recruitment of GBP2 to  F. novicida  depends on GBP1,cat /papers/bio_c14a021b71b1/content.lines --lines 38,2021-06-16,,"Guanylate-Binding Proteins (GBPs) were studied for their differential targeting of *Francisella* and *Shigella*. Bacterial factors, including lipid A structure, and GBP-intrinsic features dictate which GBPs target specific bacteria."
Interferon-induced guanylate-binding proteins: Guardians of host defense in health and disease,Kyle Tretina; Eui-Soon Park; Agnieszka Maminska; John D. MacMicking,Matched: GBPs in antibacterial defense,cat /papers/PMC6400534/content.lines --lines 70-71,2019-03-04,https://doi.org/10.1084/jem.20182031,"Guanylate-binding proteins (GBPs) are interferon-induced proteins crucial for host defense against pathogens. They play multifaceted roles in immunity, impacting cellular processes and contributing to disease pathogenesis."
Inhibitory effects of polysaccharides from Korean ginseng berries on LPS-induced RAW264.7 macrophages,Weerawan Rod-in; Utoomporn Surayot; SangGuan You; Woo Jung Park,Matched: GBPs inhibit surface molecule expression,cat /papers/PMC10684074/content.lines --lines 61-63,2023-11-28,https://doi.org/10.1371/journal.pone.0294675,"Korean ginseng berry polysaccharides (GBPs) were tested for anti-inflammatory effects in LPS-stimulated macrophages. All GBP fractions reduced inflammation by inhibiting NO production and inflammatory gene expression via MAPK and NF-κB pathways, with GBP-F1 being most effective."
Inflammasome Activation by Bacterial Outer Membrane Vesicles Requires Guanylate Binding Proteins,Ryan Finethy; Sarah Luoma; Nichole Orench-Rivera; Eric M. Feeley; Arun K. Haldar; Masahiro Yamamoto;...,Matched: GBP2 but not GBP5 controls caspase-11-dependent pyroptosis and interle,cat /papers/PMC5626967/content.lines --lines 29-32,2017-10-03,https://doi.org/10.1128/mBio.01188-17,This study investigated the role of guanylate binding proteins (GBPs) in inflammasome activation by bacterial outer membrane vesicles (OMVs). GBPs are required for inflammasome activation and subsequent inflammation and sepsis in mice exposed to LPS or OMVs.
Role of Gate-16 and Gabarap in Prevention of Caspase-11-Dependent Excess Inflammation and Lethal Endotoxic Shock,Naoya Sakaguchi; Miwa Sasai; Hironori Bando; Youngae Lee; Ariel Pradipta; Ji Su Ma; Masahiro Yamamot...,Matched: GBP2 Aggregation by GABARAP Deficiency Enhances Caspase-11-Induced Res,cat /papers/PMC7522336/content.lines --lines 32-33,2020-09-15,https://doi.org/10.3389/fimmu.2020.561948,"Gate-16 and Gabarap were studied for their role in regulating caspase-11-dependent inflammation. Their absence leads to increased caspase-11 activation and severe septic shock, which can be mitigated by reducing GBP2."
"From mechanisms to therapies: the multifaceted roles of guanylate-binding protein 2 in immunity, cancer, and beyond",Wenqi Cui; Tianlu Wang; Juan Feng,Matched: Structure of GBP2,cat /papers/PMC12571816/content.lines --lines 13-14,2025-10-16,https://doi.org/10.3389/fimmu.2025.1708319,Guanylate-binding protein 2 (GBP2) is studied for its roles in immunity and cancer. GBP2's context-dependent functions offer potential as a biomarker and therapeutic target.
RNA-Binding Proteins in the Control of LPS-Induced Macrophage Response,"Dirk H. Ostareck, Antje Ostareck-Lederer",Matched: KH Domain Protein hnRNP K Modulates mRNA Translation,cat /papers/PMC6369361/content.lines --lines 38-39,2019-02-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6369361/,"This review examines RNA-binding proteins (RBPs) like TTP, HUR, TIAR, and hnRNP K in LPS-induced macrophage responses. These RBPs globally regulate inflammation-related gene expression, impacting signaling and cytokine production."
