rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC4143924,RasGRP3 limits Toll-like receptor-triggered inflammatory response in macrophages by activating Rap1 small GTPase,success,yes,yes,"In addition, we found that RasGRP2 and RasGRP4 were downregulated while RasGRP1 was upregulated by LPS, Poly (I:C) or CpG ODN (Supplementary Fig. 1).","By examining the expression profiles of RasGRP1–4 in mouse peritoneal macrophages and mouse bone marrow-derived macrophages, we found that RasGRP3 showed the highest expression level, sequentially followed by RasGRP2 or RasGRP4 (Fig. 1a,b).",Rasgrp1;RASGRP1,LPS,
2,bio_eb63fe517001,Ras guanine nucleotide exchange factor RasGRP1 promotes acute inflammatory response and restricts inflammation-contributed cancer cell growth,success,yes,yes,"To determine whether RasGRP1 is coexpressed with IL-6 during acute inflammatory response, we treated mouse peritoneal macrophages with gradient doses of LPS and observed that RasGRP1 and IL-6 were significantly upregulated in a dose-dependent manner ( Fig. 2a ).","Quantitative PCR (Q-PCR) analysis of IL-6 and RasGRP1 mRNA expression in peritoneal macrophages treated with different doses of LPS (0, 1, 10 or 100 ng/ml) ( a ), Poly (I:C) (0, 5, 20 or 80 μg/ml) ( b ), or CpG ODN (0, 1, 3 or 9 μg/ml) ( c ) for 6h.",Rasgrp1;RASGRP1,LPS,
3,PMC8860163,RasGRP Exacerbates Lipopolysaccharide-Induced Acute Kidney Injury Through Regulation of ERK Activation,success,yes,yes,"We found that after LPS stimulation, the level of RasGRP continued to increase over time in mouse macrophages (Figure 1C and 1D).","C, The mRNA level of RasGRP in bone marrow–derived macrophages (BMDMs) stimulated with lipopolysaccharide (LPS) (100 ng/mL) was detected by qPCR for the indicated time points (n = 6).",RASGRP,LPS;lipopolysaccharide,
4,PMC7329810,Nurr1 performs its anti-inflammatory function by regulating RasGRP1 expression in neuro-inflammation,success,yes,yes,"Among several candidates that showed a significant correlation in the ChIP sequencing data, RasGRP1 was transcriptionally upregulated in the LPS (1 ΓΓg/ml) treated BV2 cells for 6 h in a serum free condition (Fig. 2A, B).",BV2 cells expressing GFP or GFP-tagged Nurr1 were treated with LPS (1 ΓΓg/ml) or saline for 6 h.,Rasgrp1;RASGRP1,LPS,
5,PMC5743190,Lipopolysaccharide-induced inflammation in monocytes/macrophages is blocked by liposomal delivery of Gi-protein inhibitor,success,no,no,,,,,
6,PMC10638313,Transcriptomic analysis reveals that RasGEF1b deletion alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses in macrophages,success,no,no,,,,,
7,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
8,PMC10530606,Citri Reticulatae Pericarpium Limits TLR-4-Triggered Inflammatory Response in Raw264.7 Macrophages by Activating RasGRP3,success,no,no,,,,,
9,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,no,no,,,,,
10,PMC9669001,RasGRP1 promotes the acute inflammatory response and restricts inflammation-associated cancer cell growth,success,yes,yes,"To explore the relationship of Rasgrp1 and Il6 during the acute inflammatory response, we treated mouse peritoneal macrophages with a range of doses of LPS and observed that the expression of Rasgrp1 and Il6 was significantly upregulated in a dose-dependent manner (Fig. 2a).","Quantitative PCR (Q-PCR) analysis of Il6 and Rasgrp1 mRNA expression in peritoneal macrophages treated with different doses of lipopolysaccharide (LPS; 0, 1, 10 or 100 ng/ml) (a), polyinosinic-polycytidylic acid (poly(I:C); 0, 5, 20 or 80 ̴g/ml) (b), or CpG oligodeoxynucleotide (0, 1, 3 or 9 ̴g/ml) (c) for 6 h.",Rasgrp1;RASGRP1,LPS;lipopolysaccharide,
11,PMC4794117,CD117+ Dendritic and Mast Cells Are Dependent on RasGRP4 to Function as Accessory Cells for Optimal Natural Killer Cell-Mediated Responses to Lipopolysaccharide,success,no,no,,,,,
12,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
13,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
14,bio_13d78d916c10,Mechanistic characterization of  RASGRP1  variants identifies an hnRNP K-regulated transcriptional enhancer contributing to SLE susceptibility,success,no,no,,,,,
15,PMC5612941,Transcriptomic analysis of the role of RasGEF1B circular RNA in the TLR4/LPS pathway,success,no,no,,,,,
16,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,no,,,,,
17,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
18,PMC13240410,RASGRP1 Deficiency Manifesting as Severe Vasculopathy and Fatal Autoimmune Hemolytic Anemia,success,no,no,,,,,
19,PMC3373593,Regulation of RasGRP1 Function in T Cell Development and Activation by Its Unique Tail Domain,success,no,no,,,,,
20,PMC3836764,Critical Role of Regulator G-Protein Signaling 10 (RGS10) in Modulating Macrophage M1/M2 Activation,success,no,no,,,,,
21,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
22,PMC2192101,Activation of Raf-1 and mitogen-activated protein kinase in murine macrophages partially mimics lipopolysaccharide-induced signaling events,success,no,no,,,,,
23,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
24,PMC10352603,Targeting RAS guanyl releasing protein 1 promotes T lymphocytes infiltrations and improves anti‐programmed death receptor ligand 1 therapy response of triple‐negative breast cancer,success,no,no,,,,,
25,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,no,,,,,
