rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC9161769,Essential role of Rnd1 in innate immunity during viral and bacterial infections,success,yes,,,
2,PMC3420873,Rho GTPase Expression in Human Myeloid Cells,filtered_out,no,,,
3,PMC6696182,The RND1 Small GTPase: Main Functions and Emerging Role in Oncogenesis,filtered_out,no,,,
4,PMC4777421,Deletion of Rac1GTPase in the Myeloid Lineage Protects against Inflammation-Mediated Kidney Injury in Mice,filtered_out,no,,,
5,PMC2132722,"A New Member of the Rho Family, Rnd1, Promotes Disassembly of Actin Filament Structures and Loss of Cell Adhesion",filtered_out,no,,,
6,PMC8575873,RvD1 accelerates the resolution of inflammation by promoting apoptosis of the recruited macrophages via the ALX/FasL-FasR/caspase-3 signaling pathway,filtered_out,no,,,
7,PMC3296313,Macrophage Migration and Its Regulation by CSF-1,filtered_out,no,,,
8,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,filtered_out,no,,,
9,PMC3333514,Monocyte normal immune response to LPS stimulation,filtered_out,no,,,
10,PMC6531833,"Data in support of Rap2a GTPase expression, activation and effects in LPS-mediated innate immune response and NF-κB activation",filtered_out,no,,,
11,PMC2196359,Mice Genetically Hyporesponsive to Lipopolysaccharide (LPS) Exhibit a Defect in Endocytic Uptake of LPS and Ceramide,filtered_out,no,,,
12,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,filtered_out,no,,,
13,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,filtered_out,no,,,
14,PMC12402336,Macrophages form dendrite-like pseudopods to enhance bacterial ingestion,filtered_out,no,,,
15,PMC5743190,Lipopolysaccharide-induced inflammation in monocytes/macrophages is blocked by liposomal delivery of Gi-protein inhibitor,filtered_out,no,,,
16,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,filtered_out,no,,,
17,PMC9066768,"Rho family GTPase 1 (RND1), a novel regulator of p53, enhances ferroptosis in glioblastoma",filtered_out,no,,,
18,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",filtered_out,no,,,
19,PMC6909656,Role and mechanism of miR-144-5p in LPS-induced macrophages,filtered_out,no,,,
20,PMC3764041,Differential Regulation of Rab GTPase Expression in Monocyte-Derived Dendritic Cells upon Lipopolysaccharide Activation: A Correlation to Maturation-Dependent Functional Properties,filtered_out,no,,,
21,bio_eb0530776e54,Dynamic nucleosome redistribution and increases in nucleosome sensitivity underpin THP-1 macrophage response to LPS,filtered_out,no,,,
22,PMC10857877,RND3 Potentiates Proinflammatory Activation through NOTCH Signaling in Activated Macrophages,filtered_out,no,,,
23,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,filtered_out,no,,,
24,PMC3214256,Impaired Rho GTPase activation abrogates cell polarization and migration in macrophages with defective lipolysis,filtered_out,no,,,
25,PMC8486773,Spatiotemporal proteomic profiling of the pro-inflammatory response to lipopolysaccharide in the THP-1 human leukaemia cell line,filtered_out,no,,,
