task_id,grader_slot,double_graded,gene,gene_names,rank,paper_id,link,title,quote_result,quote_context,grader,call,reason,where_in_paper,notes
T001,G1,,Adamts4,Adamts4; ADAM metallopeptidase with thrombospondin type 1 motif 4; aggrecanase-1; ADAM-TS4; ADAMTS4; ADAMTS-2; ADMP-1,16,PMC6120467,https://pmc.ncbi.nlm.nih.gov/articles/PMC6120467/,Interaction with macrophages attenuates equine fibroblast‐like synoviocyte ADAMTS5 (aggrecanase‐2) gene expression following inflammatory stimulation,"Maximum fold changes in mRNA levels of EFLS cultured independently and with DH82 cells respectively, were 10× (at 6 h) and 14× (at 3 h) for IL-1β mRNA, 50× (at 6 h), and 27× (at 6 h) for IL-6 mRNA, 18× (at 3 h) and 16× (at 3 h) for ADAMTS4 mRNA, and 4× (at 6 h) and 1.4× (at 6 h) for ADAMTS5 mRNA.","EFLS cultured independently demonstrated rapid increases in IL-1β, IL-6, ADAMTS4, and ADAMTS5 mRNAs in response to 10 µg/ml LPS (Fig. 3A).",,,,,
T002,G1,,Adamts4,Adamts4; ADAM metallopeptidase with thrombospondin type 1 motif 4; aggrecanase-1; ADAM-TS4; ADAMTS4; ADAMTS-2; ADMP-1,5,PMC10671186,https://pmc.ncbi.nlm.nih.gov/articles/PMC10671186/,A Disintegrin and Metalloproteinase with Thrombospondin Motifs 4 Regulates Pulmonary Vascular Hyperpermeability through Destruction of Glycocalyx in Acute Respiratory Distress Syndrome,"We also confirmed via quantitative PCR analysis that the mRNA expression of ADAMTS4 was significantly induced following both LPS and poly (I:C) stimulation, which was consistent with the results of the microarray analysis (Figure 1C).","Quantitative PCR analysis of ADAMTS4 gene expression of HMVEC-Ls (C), HUVECs (D), and mouse VEC cell line UV♀2 (E) following stimulation of LPS or poly (I:C) for 4 h.",,,,,
T046,G1,,Adamts4,Adamts4; ADAM metallopeptidase with thrombospondin type 1 motif 4; aggrecanase-1; ADAM-TS4; ADAMTS4; ADAMTS-2; ADMP-1,7,PMC11418412,https://pmc.ncbi.nlm.nih.gov/articles/PMC11418412/,A Disintegrin and Metalloproteinase with Thrombospondin Motifs-4 Levels in Chondrocytes of Different Morphology within Nondegenerate and Early Osteoarthritic Human Femoral Head Cartilage,,,,,,,
T071,G1,,Adamts4,Adamts4; ADAM metallopeptidase with thrombospondin type 1 motif 4; aggrecanase-1; ADAM-TS4; ADAMTS4; ADAMTS-2; ADMP-1,11,PMC13443130,https://pmc.ncbi.nlm.nih.gov/articles/PMC13443130/,ADAMTS4 mediates LPS‐induced cardiac injury and myocardial fibrosis through proteolytic cleavage of TSP1,"Relative to saline-administered control mice, ADAMTS4 protein and mRNA were both increased in LPS-treated hearts (Figure 1C,D).","To validate these transcriptomic findings, we challenged mice with 10 mg/kg LPS for 24 h and examined Adamts4 expression in cardiac tissue.",,,,,
T034,G1,,Ccl12,Ccl12; C-C motif chemokine ligand 12; MCP-5; Scya12; CCL8; C-C motif chemokine ligand 8; MCP-2; HC14; SCYA8,1,PMC9077289,https://pmc.ncbi.nlm.nih.gov/articles/PMC9077289/,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",LPS induced CXCL12 RNA and protein levels significantly and specifically in myometrium compared with controls (3‐fold and 3.5‐fold respectively).,L51: The increase in CXCL12 protein levels in the uterus of LPS‐treated mice was further confirmed by IHC staining as shown in Figure 2A.,,,,,
T049,G1,,Ccl12,Ccl12; C-C motif chemokine ligand 12; MCP-5; Scya12; CCL8; C-C motif chemokine ligand 8; MCP-2; HC14; SCYA8,22,PMC10167364,https://pmc.ncbi.nlm.nih.gov/articles/PMC10167364/,CCL12 induces trabecular bone loss by stimulating RANKL production in BMSCs during acute lung injury,"Of these, CCL2, 12, and 17 and CXCL1 and 9 were increased in response to LPS administration compared with baseline (Day 0, without LPS) (Fig. 2a).","An antibody array was conducted to investigate the temporal secretion of 11 chemokines, including CCL2, 5, 11, 12, 17, and 24 and CXCL1, 4, 5, 9, and 13, in the serum of LPS- and saline-treated mice.",,,,,
T085,G1,,Ccl12,Ccl12; C-C motif chemokine ligand 12; MCP-5; Scya12; CCL8; C-C motif chemokine ligand 8; MCP-2; HC14; SCYA8,16,PMC5436279,https://pmc.ncbi.nlm.nih.gov/articles/PMC5436279/,SCRG1 suppresses LPS-induced CCL22 production through ERK1/2 activation in mouse macrophage Raw264.7 cells,Ccl12 | Chemokine (C-C motif) ligand 12 | 929.29 | 749.61 | 70.521,"Raw264.7 cells were stimulated with 10 ng/ml LPS, 100 ng/ml rmSCRG1, or 10 ng/ml LPS plus 100 ng/ml rmSCRG1 for 6 h.",,,,,
T111,G1,,Ccl12,Ccl12; C-C motif chemokine ligand 12; MCP-5; Scya12; CCL8; C-C motif chemokine ligand 8; MCP-2; HC14; SCYA8,7,PMC4378362,https://pmc.ncbi.nlm.nih.gov/articles/PMC4378362/,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,,,,,,,
T106,G1,yes,Ccl17,Ccl17; C-C motif chemokine ligand 17; TARC; ABCD-2; Scya17; CCL17; SCYA17,3,PMC2193819,https://pmc.ncbi.nlm.nih.gov/articles/PMC2193819/,Compartmentalized Production of CCL17 In Vivo,L63: CCL17+ DCs were threefold more frequent among DCs of mLNs compared with those of saline injected mice (Fig. 8 A).,"L28: Mice were injected intraperitoneally or intravenously with a sublethal dose of 300 μg LPS (Sigma-Aldrich), or 20 nmol CpG-oligodeoxynucleotide (ODN) 1668 (Tib Molbiol) and Listeria monocytogenes (50,000 listeria/mouse), and organs or organ-derived DCs were analyzed 15 h (LPS and CpG-ODN) or 4 d (listeria) later.",,,,,
T040,G1,,Cxcl1,"Cxcl1; C-X-C motif chemokine ligand 1; Mgsa; Scyb1; Gro1; KC/GRO-alpha; CXCL1; SCYB1; GROa; MGSA-a; NAP-3; MGSA; GRO1; melanoma growth stimulating activity, alpha",16,PMC13243519,https://pmc.ncbi.nlm.nih.gov/articles/PMC13243519/,Temporal expression of CXCR2 ligands in a rat model of LPS—induced pulpitis,"In the LPS group, significant differences [p = 0.018] in CXCL1 gene expression were observed from 24 h and up to 72 h, compared with expression levels at 120 h (Fig. 5Q).","Lipopolysaccharide (LPS) from Escherichia coli O111:B4 (L2630, Sigma-Aldrich, Munich, Germany) was applied to the exposed pulp tissue at a concentration of 10 mg/mL or phosphate-buffered saline (PBS) for 1 min using 0.5 mm-diameter microbrushes (Microbrush international, Grafton, WI, USA).",,,,,
