rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC9077289,"Myometrial‐derived CXCL12 promotes lipopolysaccharide induced preterm labour by regulating macrophage migration, polarization and function in mice",success,no,yes,LPS induced CXCL12 RNA and protein levels significantly and specifically in myometrium compared with controls (3‐fold and 3.5‐fold respectively).,L51: The increase in CXCL12 protein levels in the uterus of LPS‐treated mice was further confirmed by IHC staining as shown in Figure 2A.,,LPS,yes->no: evidence does not name the gene
2,PMC6154519,TLR4/MyD88 -mediated CCL2 production by lipopolysaccharide (endotoxin): Implications for metabolic inflammation,success,no,no,,,,,
3,PMC5818454,"Transcriptional and translational‐uncoupling in regulation of the CXCL12 and its receptors CXCR4, 7 in THP‐1 monocytes and macrophages",success,no,yes,"LPS treatment of u‐THP‐1 or d‐THP‐1 significantly elevated CXCL12, IL‐1β, and IL‐6 mRNA levels (Fig. 1Sa‐c, Supplements).","L7: In the present study, regulation of this pathway was further examined using the in‐vitro model of undifferentiated human THP‐1 monocytes (u‐THP‐1) and phorbol 12‐myristate 13‐acetate (PMA)‐differentiated THP‐1 macrophages (d‐THP‐1), to assess the effects of differentiation and the TLR4 ligand lipopolysaccharide (LPS) on the pathway.",,LPS;lipopolysaccharide,yes->no: evidence does not name the gene
4,PMC2196157,C–C Chemokines Released by Lipopolysaccharide (LPS)-stimulated Human Macrophages Suppress HIV-1 Infection in Both Macrophages and T Cells,success,no,no,,,,,
5,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
7,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
8,PMC2905940,Rhizoma Coptidis Inhibits LPS-Induced MCP-1/CCL2 Production in Murine Macrophages via an AP-1 and NFκB-Dependent Pathway,success,no,yes,"Secretion of monocyte chemoattractant protein-1 by LPS-stimulated RAW 264.7 cells was also significantly reduced in a concentration- (Figure 6(a)) and time-dependent (Figure 6(b)) fashion, as evaluated by ELISAs of supernatants.","Supernatants from LPS-stimulated cells, with and without incubation with either Rhizoma coptidis, berberine (10−4 mol), statins (10−6 mol rosuvastatin, 10−6 mol fluvastatin), or angiotensin receptor blockers (10−5 mol telmisartan, 10−5 mol olmesartan) were obtained and stored at −80°C until use.",,LPS,yes->no: evidence does not name the gene
9,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
10,PMC2196159,Bacterial Lipopolysaccharide Rapidly Inhibits Expression of C–C Chemokine Receptors in Human Monocytes,success,no,no,,,,,
11,PMC8052121,LXA4 Inhibits Lipopolysaccharide-Induced Inflammatory Cell Accumulation by Resident Macrophages in Mice,success,no,no,,,,,
12,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
13,PMC3169595,A Novel Compound C12 Inhibits Inflammatory Cytokine Production and Protects from Inflammatory Injury In Vivo,success,no,no,,,,,
14,PMC11784258,IRF3 Promotes Production of IL-6 and Nitric Oxide but Represses CCL22 in RAW264.7 Macrophage Cells Exposed to Lipopolysaccharides in Culture,success,no,no,,,,,
15,PMC12800274,Bone marrow-derived CD169+ macrophages promote autoimmune hepatitis by recruiting CCR2+ monocytes via secreting CCL12,success,no,no,,,,,
16,PMC5436279,SCRG1 suppresses LPS-induced CCL22 production through ERK1/2 activation in mouse macrophage Raw264.7 cells,success,yes,yes,Ccl12 | Chemokine (C-C motif) ligand 12 | 929.29 | 749.61 | 70.521,"Raw264.7 cells were stimulated with 10 ng/ml LPS, 100 ng/ml rmSCRG1, or 10 ng/ml LPS plus 100 ng/ml rmSCRG1 for 6 h.",Ccl12,LPS,
17,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
18,PMC4682375,Investigation of microRNAs in mouse macrophage responses to lipopolysaccharide-stimulation by combining gene expression with microRNA-target information,success,no,no,,,,,
19,PMC10940789,LPS-Induced Modifications in Macrophage Transcript and Secretion Profiles Are Linked to Muscle Wasting and Glucose Intolerance,success,no,no,,,,,
20,PMC2196339,Selective Suppression of Interleukin-12 Induction after Macrophage Receptor Ligation,success,no,no,,,,,
21,PMC4470529,Macrophage phenotype in sepsis immunosuppression,success,no,no,,,,,
22,PMC10167364,CCL12 induces trabecular bone loss by stimulating RANKL production in BMSCs during acute lung injury,success,no,yes,"Of these, CCL2, 12, and 17 and CXCL1 and 9 were increased in response to LPS administration compared with baseline (Day 0, without LPS) (Fig. 2a).","An antibody array was conducted to investigate the temporal secretion of 11 chemokines, including CCL2, 5, 11, 12, 17, and 24 and CXCL1, 4, 5, 9, and 13, in the serum of LPS- and saline-treated mice.",,LPS,yes->no: evidence does not name the gene
23,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
25,PMC9159647,Deficiency of Lactoferrin aggravates lipopolysaccharide-induced acute inflammation via recruitment macrophage in mice,success,no,no,,,,,
