title,authors,id,source,date,url,abstract
Constitutive Androstane Receptor in Macrophages Regulates Toll‐Like Receptor 4‐Mediated Innate Immune Responses Against Endotoxemic Liver Injury,Renjie Cao; Tingting Zhao; Ying Wang; Shaofei Song; Yuan Li; Mengling Hou; Yanxin Zhang; Sengpeng Wo...,Matched: CAR Activation Reduces Proinflammatory Macrophages and Attenuates Infl,cat /papers/PMC12622418/content.lines --lines 25-26,2025-08-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12622418/,"Constitutive androstane receptor (CAR) in macrophages was studied for its role in endotoxemic liver injury. CAR activation in macrophages suppresses Toll-Like Receptor 4 (TLR4) signaling, reducing liver inflammation and damage."
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Introduction,cat /papers/PMC3660024/content.lines --lines 18-19,2013-05-05,,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,"Folami L. Powell, Amany Tawfik, Pachiappan Arjunan, Deeksha Gambhir Chopra, Mohamed Al-Shabrawey, Na...",Matched: Lipopolysaccharide (LPS)-induced uveitis,cat /papers/bio_24b6555f70b8/content.lines --lines 56,2021-03-15,,"HCAR2/GPR109A expression was studied in retinal cells and its role in immune regulation investigated. HCAR2/GPR109A activation promotes an immunoinhibitory retinal environment, potentially protecting against degenerative diseases."
Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,Rahul K Kollipara; Narayanan B Perumal,Matched: Classification of antibacterial and pro-inflammatory macrophage genes,cat /papers/PMC2949756/content.lines --lines 18-20,2010-09-21,https://doi.org/10.1186/1745-7580-6-5,"This study analyzed gene expression patterns in LPS-stimulated macrophages to identify pro-inflammatory and antibacterial genes. It found distinct transcription factor binding site motifs associated with each gene set, helping to distinguish their regulatory mechanisms."
Transcriptional profiling of the LPS induced NF-κB response in macrophages,Omar Sharif; Viacheslav N Bolshakov; Stephanie Raines; Peter Newham; Neil D Perkins,Matched: Analysis of LPS-induced gene expression in the THP-1 macrophage cell l,cat /papers/PMC1781469/content.lines --lines 26,2007-01-12,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,Keiko Tanoue; Manabu Kinoshita; Bradley M Kearney; Seigo Ito; Hiroyasu Goto; Aoi Yamashiro; Tsugumi ...,Matched: LPS preconditioning did not alter TLR2 expression on BMDM or TRM in th,cat /papers/PMC12035103/content.lines --lines 80-81,2025-04-17,https://doi.org/10.1177/17534259251335770,"Lipopolysaccharide preconditioning was studied for its effects on renal macrophages and acute kidney injury in mice infected with *Staphylococcus aureus*. Preconditioning enhanced renal macrophage antibacterial activity, reducing bacterial growth and ameliorating kidney injury."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: Introduction,cat /papers/PMC6543837/content.lines --lines 14-15,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,Chenming Wu; Ang Li; Jian Hu; Jiuhong Kang,"Matched: BMM adoptive transfer, LPS challenge and bacterial sepsis model",cat /papers/PMC7379312/content.lines --lines 61,2018-10-31,https://doi.org/10.1111/imcb.12203,"Histone deacetylase 2 (HDAC2) is essential for LPS-induced inflammatory responses in macrophages. HDAC2 regulates these responses by deacetylating c-Jun, which then represses pro-inflammatory gene transcription."
LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,Monira Obaid; S. M. Nashir Udden; Paromita Deb; Nadine Shihabeddin; Md. Hasan Zaki; Subhrangsu S. Ma...,Matched: Cell culture and treatment with Lipopolysaccharide (LPS),cat /papers/PMC6199307/content.lines --lines 12,2018-10-23,https://doi.org/10.1038/s41598-018-33722-2,LncRNA HOTAIR's role in LPS-induced inflammation in macrophages was studied. HOTAIR promotes NF-κB activation and cytokine expression by facilitating IκBα degradation.
Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,Zhou Sha; Kun Yang; Shoupeng Fu; Xiaoyong Tong; Hui Yang; Huiling Fang; Qianqian He; Ning Li; Xinyu ...,Matched: BHB promotes the survival of macrophages via HCAR2-mediated calcium in,cat /papers/PMC13253848/content.lines --lines 49-50,2026-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13253848/,"Acute central nervous system infection is highly lethal, yet the mechanisms by which intracellular bacteria infiltrate the brain remain unclear. Phagocytes are central to host defense, but how infecte"
HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,Qianyi Wu; Jiyuan Shi; Luojin Wu; Lingxi Li; Yong Ling; Liming Mao; Jie Zhang,Matched: 3.2. The Effect of HCX3 on Cell Viability of Macrophages,cat /papers/PMC12562522/content.lines --lines 43,2025-10-01,https://doi.org/10.3390/cimb47100809,"HCX3, a novel canthin-6-one derivative, was studied for its effects on LPS-induced inflammation in macrophages. HCX3 suppressed pro-inflammatory mediator release and NF-κB pathway activation, suggesting therapeutic potential for acute lung injury."
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/PMC9411976/content.lines --lines 78-79,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
Anti-inflammatory and polarization-modulating effects of Houttuynia cordata in LPS-stimulated RAW264.7 macrophages,Kuo-Liang Huang; Mei-Chen Yang; Yao-Kuang Wu; Meng-Jiun Wei; Hsiu-Fan Kang; Guan-Ting Liu; Chan-Yen ...,Matched: HC attenuates M1 surface marker expression in LPS-stimulated RAW264.7,cat /papers/PMC12957811/content.lines --lines 68-69,2025-05-27,https://doi.org/10.1016/j.jtcme.2025.05.001,"Houttuynia cordata extract reduces inflammatory cytokine production and modulates key signaling pathways in LPS-stimulated macrophages. It also shifts macrophages towards an anti-inflammatory phenotype, particularly when administered after inflammation begins. These findings suggest therapeutic potential for inflammatory diseases."
LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,Peng Yuan; Yukang Que; Yulei Liu; Peng He; Zehao Guo; Yong Hu,Matched: Effect of LPS and CD47mAb on macrophage activation,cat /papers/PMC10091190/content.lines --lines 52,2023-03-28,https://doi.org/10.3892/ol.2023.13777,"This study investigated the combined effect of LPS and CD47mAb on macrophage anti-osteosarcoma activity. The combination significantly enhanced macrophage phagocytosis, suppressed tumor growth and migration, and promoted apoptosis."
