title,authors,id,source,date,url,abstract
TL1A (TNFSF15) and DR3 (TNFRSF25): A Co-stimulatory System of Cytokines With Diverse Functions in Gut Mucosal Immunity,Vassilis Valatas; George Kolios; Giorgos Bamias,Matched: Tnfsf15 Polymorphisms Affect Susceptibility to Intestinal Diseases,cat /papers/PMC6445966/content.lines --lines 33-35,2019-03-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6445966/,"The TL1A/DR3 co-stimulatory system was studied for its diverse roles in gut mucosal immunity. This system critically influences both effector and regulatory T-cells, as well as innate lymphoid cells, impacting intestinal inflammation and repair."
Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,Xinliang Zhang; Shimin Dong,Matched: GDF15 expression,cat /papers/PMC9161903/content.lines --lines 94-97,2022-04-14,https://doi.org/10.1080/21655979.2022.2059903,"Growth differentiation factor 15 (GDF15) was studied for its protective effects in sepsis by regulating macrophage polarization. GDF15 activates the PI3K/Akt pathway, promoting M2 polarization, reducing inflammation, and improving survival in sepsis models."
Identification of a distinct cluster of GDF15 high  macrophages exhibiting anti-inflammatory activities,"Chaochao Dai, Hongyu Zhang, Zhijian Zheng, Chun Guang Li, Mingyuan Ma, Haiqing Gao, Qunye Zhang *, X...",Matched: GDF15 high  macrophages can produce anti-inflammatory effects via para,cat /papers/bio_7e979bb46c52/content.lines --lines 72,2024-01-11,,This study identified a distinct GDF15-high macrophage population. These macrophages exhibit anti-inflammatory properties and can suppress inflammation in other macrophages.
The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,"Jing Hou, Shin-ichi Ikeda, Kiwako Mori, Heonuk Jeong, Hidemasa Torii, Kazuno Negishi, Kazuo Tsubota ...",Matched: LPS treatment,cat /papers/bio_b06931d16f63/content.lines --lines 60,2023-06-12,,Choroidal macrophages were studied for their role in myopia development. Their polarization towards M1 or M2 phenotypes significantly influences choroidal thickness and myopia progression.
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Introduction,cat /papers/PMC3660024/content.lines --lines 18-19,2013-05-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3660024/,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",Albersy Armina-Rodriguez; Bianca N. Valdés Fernandez; Carlimar Ocasio-Malavé; Yadira M. Cantres Rosa...,Matched: 2.5. Measurement of TNF-α Levels in Supernatant of Culture from Bone M,cat /papers/PMC12294962/content.lines --lines 28,2025-07-18,https://doi.org/10.3390/ijms26146914,"Quantitative proteomics identified proteins downregulated by Fh15 in LPS-stimulated macrophages. Fh15 broadly targets multiple TLR4 downstream pathways, modulating inflammatory responses."
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 44-48,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,Sufei Wang; Dandan Xiang; Fangbing Tian; Ming Ni,Matched: Methodology,cat /papers/PMC8289208/content.lines --lines 13,2021-04-28,https://doi.org/10.1099/jmm.0.001352,Biofilm-forming *Pseudomonas aeruginosa* LPS was studied for its effect on macrophage polarization. This LPS induced hyperinflammatory responses and increased bacterial growth in macrophages compared to planktonic LPS.
Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,Kei Ishida; Takahiro Nagatake; Azusa Saika; Soichiro Kawai; Eri Node; Koji Hosomi; Jun Kunisawa,Matched: Photographs of each macrophage,cat /papers/PMC10167635/content.lines --lines 39,2023-04-21,https://doi.org/10.3389/fimmu.2023.1111729,"This study analyzed macrophages induced by simultaneous LPS and IL-4 stimulation. These macrophages exhibited unique properties, blending M1 and M2 characteristics with distinct energy metabolism."
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/PMC9411976/content.lines --lines 78-79,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Regulation of innate immunity by LPS as an environmental agent,cat /papers/PMC11994614/content.lines --lines 29-31,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 5. Conclusions,cat /papers/PMC9456100/content.lines --lines 70-73,2022-09-02,https://doi.org/10.3390/ijms231710011,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
