rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC11531657,"Immunometabolism: signaling pathways, homeostasis, and therapeutic targets",success,yes,yes,"LPS, cytokines IFN-Γ, TNF, and TLR agonists robustly upregulated the expression of ACOD1 in macrophages via TLR signaling.",Remarkably increased expression of ACOD1 was observed in models of Listeria monocytogenes and Toxoplasma gondii infection.,Acod1;ACOD1,LPS;Listeria;infection,
2,PMC13033549,ACOD1 regulates microglial arginine metabolism and inflammatory responses,success,yes,yes,Acod1 was one of the top upregulated genes in microglia of LPS-treated mice (Figure 1A).,"First, we validated that inflammation induces Acod1 expression in microglia.",Acod1;ACOD1,LPS,
3,bio_349c238c6ccf,Metabolic Reprogramming via targeting ACOD1 promotes polarization and anti-tumor activity of human CAR-iMACs in solid tumors,success,yes,yes,"L33: ""We then generated ACOD1-deleted THP-1 cells in which the mRNA expression was significantly lower ( Fig. 2a ), and the protein expression of ACOD1 was nearly blank in sg ACOD1 -2 and sg ACOD1 -3 THP-1 derived macrophages ( Fig. 2b ).""","L28: ""Fig.2 ACOD1 deletion promoted pro-inflammatory activation in tMACs. a, The relative expression of ACOD1 in WT and sgACOD1 transduced tMACs with LPS and IFN-γ stimulation at the indicated time points (n=3).""",Acod1;ACOD1,LPS,
4,PMC11967830,Elevated GFI1 in Alveolar Macrophages Suppresses ACOD1 Expression and Exacerbates Lipopolysaccharide‐Induced Lung Injury in Obesity,success,yes,yes,"ACOD1 mRNA and protein levels, along with its downstream metabolite itaconate, were significantly upregulated in both groups following LPS exposure.","LPS exposure was administered to induce acute lung injury as described throughout the experimental sections (e.g., L84).",Acod1;ACOD1,LPS,
5,bio_80a036707fd2,"A robust structural, kinetic and biophysical characterization of human ACOD1 to support novel chemotherapeutic development",success,no,no,,,,,
6,PMC8759771,The role of itaconate in host defense and inflammation,success,no,no,,,,,
7,PMC9920045,Cepharanthine Alleviates DSS-Induced Ulcerative Colitis via Regulating Aconitate Decarboxylase 1 Expression and Macrophage Infiltration,success,yes,yes,Cell RNA sequencing results suggested that the expression of ACOD1 in macrophages increased most significantly after LPS stimulation (Table 1).,RAW264.7 cells were used to determine the in vitro anti-inflammatory effects of CEP.,Acod1;ACOD1,LPS,
8,bio_e9fc7e337070,Human iPSC derived alveolar macrophages reveal macrophage subtype specific functions of itaconate in  M. tuberculosis  host defense,success,yes,yes,"ACOD1 was not detected in unstimulated macrophages of either type ( Figure 4A ), but LPS stimulation strongly induced ACOD1 protein expression.","Mature iPSC derived macrophages were treated with LPS (100ng/mL) for either four or six hours, Mtb (multiplicity of infection:10), or Mtb (multiplicity of infection:10) and LPS (100ng/mL) for four hours.",Acod1;ACOD1,LPS;infection,
9,PMC9234224,The STING1-MYD88 complex drives ACOD1/IRG1 expression and function in lethal innate immunity,success,yes,yes,"A qPCR analysis revealed that 3′3′-cGAMP alone cannot trigger Acod1 mRNA expression, but significantly increases LPS-induced Acod1 mRNA expression (Figure 1A).","RAW264.7 and THP1 cells were treated with LPS (50-5000 ng/mL) in the absence or presence of 3′3′-cGAMP (10 ΓΕg/mL) for 6 h, and then Acod1/ACOD1 mRNA and intracellular itaconate concentration were assayed",Acod1;ACOD1,LPS,
10,bio_8c10d61e7291,Acod1 negatively impacts osteoclastogenesis via GPR91-mediated NFATc1 activation,success,yes,yes,L52: LPS and other TLR ligands are well-known inducers of Irg1.,"L53: (A,B) Irg1 gene expression analysis by qPCR. BMDMs (A) and RAW 264.7 macrophages (B) were stimulated with 10 ng/mL LPS and 50 ng/mL RANKL for 6 h, respectively.",Irg1;IRG1,LPS,
11,PMC11551151,Protective role of aconitate decarboxylase 1 in neuroinflammation-induced dysfunctions of the paraventricular thalamus and sleepiness,success,yes,yes,"Western blot analysis confirmed that the protein expression of Acod1 was upregulated on day 1 after LPS injection and returned to the baseline level by 7 days (Fig. 6A, B).","Combining the results of bulk and single-cell RNA sequencing, we found upregulation of aconitate decarboxylase 1 (Acod1) in PVT microglia post-LPS treatment.",Acod1;aconitate decarboxylase 1;ACOD1,LPS,
12,bio_28cf1b287b4e,Sustained Antigen Stimulation to Evoke and Study Negative feedback Systems responsible for Self-Tolerance/Tumor Immune Escape and transition to the M2 macrophage,success,no,no,,,,,
13,PMC12283268,Dopamine as an endogenous regulator of innate immunity in sepsis,success,yes,yes,"Dopamine’s inhibitory effect was observed at both the mRNA and protein levels, suggesting a mechanism of transcriptional regulation.","Recently, we have identified a key role for DA in regulating ACOD1 expression through a comprehensive screening of neurotransmitters for their ability to modulate LPS-induced expression of ACOD1 (54).",Acod1;ACOD1,LPS,
14,PMC13041677,Human iPSC-derived alveolar macrophages reveal macrophage subtype functions of itaconate in M. tuberculosis defense,success,yes,yes,"ACOD1 was not detected in unstimulated macrophages of either type (Figure 6A), but LPS stimulation strongly induced ACOD1 protein expression.","Mature iPSC-derived macrophages were treated with LPS (100 ng/mL) for either 4 or 6 hours, Mtb (MOI 10), or Mtb (MOI 10) and LPS (100 ng/mL) for 4 hours.",Acod1;ACOD1,LPS,
15,PMC13324752,Identification of a metabolic–immune crosstalk in Still’s disease: monocyte/macrophage-derived immunometabolite itaconate dictates hepatic immunopathology via the CXCL10–CD8 T cell axis,success,no,no,,,,,
16,bio_ed41946f7176,Inflammation-associated monocytes express ACOD1 to curtail inflammatory behaviour in IBD and experimental colitis,success,yes,yes,"LPS treatment led to significant upregulation of all signature genes examined (Cxcl9, Cxcl10, Tnf and Il1b), as well as causing profound upregulation of Acod1 (Figure 5c).","L91: Bone marrow was isolated Ms4a3 Cre/+ . Rosa26 CAG-LSL-tdTomato/+ reporter mice and MDP (CD117 hi CD16/32 − CD135 + CD34 + CD115 + Ly6C − ), GMP (CD117 + CD16/32 + CD34 + CD115 − Ly6C − ) and Ly6C + monocytes (CD117 − CD16/32 + CD34 − CD115 + Ly6C + ) were purified by FACS. MDP and GMP were then cultured for up to three days with recombinant 20ng/mL CSF1 (Peprotech) before analysis by flow cytometry for tdTomato expression. Monocytes were cultured for three days with CSF1 prior to addition of recombinant IFNα (100ng/ml), IFNβ (20ng/ml), IFNγ (80ng/ml), LPS (100ng/ml) derived from E.coli or supernatant from explanted inflamed colonic tissue (100AU/ml).",Acod1;ACOD1,LPS;E.coli,
17,PMC12576133,Identification of novel protein biomarkers of macrophage polarization using comparative proteomic analyses of murine primary macrophages,success,yes,yes,"Expressions of the Acod1, Trafd1, and Gbp2 genes were significantly increased in mouse M1 macrophages but not in M2 macrophages (Fig. 7B).",Murine M0 BMDMs were incubated with LPS for 8 h to elicit M1 polarization or incubated with mouse IL-4 for 24 h to elicit M2 polarization.,Acod1;ACOD1,LPS,
18,PMC10938597,Control of immune cell signaling by the immuno-metabolite itaconate,success,yes,yes,"L16: High level induction of Acod1/Irg1 mRNA in response to bacterial PAMPs required the TLR adapter proteins MyD88 (27) and TRIF (for the TLR3/4 ligands polyI:C and LPS) (21), whereas the response to IFNs was dependent on the transcription factors STAT1 (20) and IRF1 (28).","L20: In contrast, within hours after stimulation with LPS, the rapid induction of ACOD1 protein results in production of itaconate that is detectable intracellularly at millimolar concentration in mouse macrophages (9, [11], 32).",Acod1;Irg1;ACOD1;IRG1,bacterial;LPS,
