title,authors,id,source,date,url,abstract
"Immunometabolism: signaling pathways, homeostasis, and therapeutic targets",Rongrong Xu; Xiaobo He; Jia Xu; Ganjun Yu; Yanfeng Wu,Matched: Aconitate decarboxylase 1,cat /papers/PMC11531657/content.lines --lines 92-93,2024-11-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11531657/,This review summarizes how immune cell metabolism is reprogrammed and regulated by signaling pathways and microenvironmental cues. It highlights immunometabolic enzymes as key modulators of immune cell function and potential therapeutic targets for various diseases.
ACOD1 regulates microglial arginine metabolism and inflammatory responses,Eleftheria Karadima; Canelif Yilmaz; Anupam Sinha; Georgia Fodelianaki; Sofia Dimothyra; Nikolaos Ni...,Matched: Abstract,cat /papers/PMC13033549/content.lines --lines 1-7,2026-03-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13033549/,"ACOD1 deficiency in microglia amplifies inflammatory responses. This is linked to increased ACLY activity, elevated acetyl-CoA, and altered arginine metabolism. These changes favor argininosuccinate production over polyamine synthesis."
Metabolic Reprogramming via targeting ACOD1 promotes polarization and anti-tumor activity of human CAR-iMACs in solid tumors,"Xudong Wang, Siyu Su, Yuqing Zhu, Xiaolong Cheng, Chen Cheng, Leilei Chen, Anhua Lei, Li Zhang, Yuya...",Matched: ACOD1  deletion promoted pro-inflammatory activation in tMACs,cat /papers/bio_349c238c6ccf/content.lines --lines 33-34,2023-04-20,,ACOD1 was identified as a key regulator of pro-inflammatory macrophage activation. Depleting ACOD1 in CAR-iMACs enhances their anti-tumor activity and efficacy in combination with immunotherapies.
Elevated GFI1 in Alveolar Macrophages Suppresses ACOD1 Expression and Exacerbates Lipopolysaccharide‐Induced Lung Injury in Obesity,Jingyue Ma; Yichan Ao; Zhen Yue; Zhiqiao Wang; Xiangyu Hou; Hongbin Li; Hanbing Wang; Siqing Luo; Ji...,Matched: ACOD1 Deficiency Aggravated LPS‐Induced Macrophage Inflammation and Ox,cat /papers/PMC11967830/content.lines --lines 37-38,2025-02-08,https://doi.org/10.1002/advs.202413546,"This study investigated mechanisms of worsened lung injury in obesity. Elevated GFI1 in alveolar macrophages suppresses ACOD1, exacerbating lipopolysaccharide-induced lung injury."
"A robust structural, kinetic and biophysical characterization of human ACOD1 to support novel chemotherapeutic development",Brent Runge; Hande Oktay; Ian J. Fucci; Sergey G. Tarasov; Lixin Fan; Diana C. F. Monteiro,bio_80a036707fd2,bioRxiv,2026-01-01,,"Human aconitate decarboxylase (ACOD1) has emerged as a therapeutic target for cancer and inflammatory diseases, with its metabolic product, itaconate, as a multifunctional metabolite shown to drive se"
The role of itaconate in host defense and inflammation,Christian G. Peace; Luke A.J. O’Neill,PMC8759771,PMC,2022-01-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8759771/,"This review examines itaconate's role in macrophage metabolic reprogramming and host defense. Itaconate acts as a key immunometabolite with diverse anti-inflammatory effects, suggesting potential therapeutic applications."
Cepharanthine Alleviates DSS-Induced Ulcerative Colitis via Regulating Aconitate Decarboxylase 1 Expression and Macrophage Infiltration,Min-Na Zhang; Rui Xie; Hong-Gang Wang; Xin Wen; Jing-Yi Wang; Le He; Meng-Hui Zhang; Xiao-Zhong Yang,Matched: 2.2. CEP Inhibits LPS-Induced Secretion of Pro-Inflammatory Cytokines,cat /papers/PMC9920045/content.lines --lines 19,2023-01-20,https://doi.org/10.3390/molecules28031060,Cepharanthine was studied for its effects on ulcerative colitis (UC) in vitro and in vivo. Cepharanthine alleviates UC by modulating gut microbiota and inhibiting aconitate decarboxylase 1 expression.
Human iPSC derived alveolar macrophages reveal macrophage subtype specific functions of itaconate in  M. tuberculosis  host defense,"Adam Krebs, Tomi Lazarov, Anthony Reynolds, Kimberly A. Dill-McFarland, Abigail Xie, James Bean, Mux...",Matched: ACOD1 immunoblotting,cat /papers/bio_e9fc7e337070/content.lines --lines 88,2025-07-23,,Human iPSC-derived alveolar-like macrophages and control macrophages were studied for itaconate's role in *M. tuberculosis* defense. Itaconate is crucial for alveolar-like macrophage resistance to *M. tuberculosis* and dampens inflammation in control macrophages.
The STING1-MYD88 complex drives ACOD1/IRG1 expression and function in lethal innate immunity,Feng Chen; Runliu Wu; Jiao Liu; Rui Kang; Jinbao Li; Daolin Tang,Matched: STING1 is required for lipopolysaccharide-induced ACOD1 expression,cat /papers/PMC9234224/content.lines --lines 17-18,2022-06-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9234224/,"STING1 and MYD88 form a complex that drives ACOD1 expression and itaconate production in myeloid cells. This pathway is crucial for lethal innate immunity, as its deletion protects mice from sepsis."
Acod1 negatively impacts osteoclastogenesis via GPR91-mediated NFATc1 activation,"Yue Gao, Franziska V. Kraus, Elisabeth Seebach, Sushmita Chakraborty, Dominik Schaack, Judith Schenz...",Matched: RANKL induces Acod1 expression,cat /papers/bio_8c10d61e7291/content.lines --lines 52-53,2022-04-07,,Acod1 was studied for its role in osteoclast formation. Acod1 suppresses osteoclastogenesis by inhibiting GPR91-mediated NFATc1 activation.
