title,authors,id,source,date,url,abstract
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,Jing Sun; Samuel Katz; Bhaskar Dutta; Ze Wang; Iain D.C. Fraser,Matched: Screening reagents,cat /papers/PMC5332009/content.lines --lines 34-37,2017-03-01,https://doi.org/10.1038/sdata.2017.7,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,"Ning Li, Samuel Katz, Bhaskar Dutta, Zachary L. Benet, Jing Sun, Iain D.C. Fraser",Matched: Abstract,cat /papers/PMC5332015/content.lines --lines 1-7,2017-03-01,https://doi.org/10.1038/sdata.2017.8,A genome-wide siRNA screen identified genes regulating LPS-induced NF-κB and TNF-α responses in mouse macrophages. This study provides a resource for analyzing gene function in this key inflammatory pathway.
Motif prediction to distinguish LPS-stimulated pro-inflammatory  vs . antibacterial macrophage genes,"Rahul K Kollipara, Narayanan B Perumal",Matched: Abstract,cat /papers/PMC2949756/content.lines --lines 1-15,2010-01-01,https://doi.org/10.1186/1745-7580-6-5,"This study analyzed gene expression patterns in LPS-stimulated macrophages to identify pro-inflammatory and antibacterial genes. It found distinct transcription factor binding site motifs associated with each gene set, helping to distinguish their regulatory mechanisms."
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Multi-omics analysis of tumor necrosis factor superfamily 4 reveals its prognostic value with T cell exhaustion feature in cancer,Kai Lei; Weiqing Chen; Anqi Wang; Anyu Zeng; Yun Ding; Tianqi Luo; Qi Zhou,Matched: High-expression TNFSF4 in tumor-infiltrating immune cells,cat /papers/PMC12151969/content.lines --lines 136,2025-06-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12151969/,"This study analyzed TNFSF4 expression across various cancers using multi-omics data. High TNFSF4 expression is linked to poor prognosis, increased tumor stage, and T cell exhaustion, suggesting its potential as a biomarker."
The Activation of Macrophage and Upregulation of CD40 Costimulatory Molecule in Lipopolysaccharide-Induced Acute Lung Injury,Liang Dong; Shujuan Wang; Ming Chen; Hongjia Li; Wenxiang Bi,Matched: 4. DISCUSSION,cat /papers/PMC2359863/content.lines --lines 43-45,2008-04-20,https://doi.org/10.1155/2008/852571,"This study investigated macrophage activation and CD40 expression in an LPS-induced acute lung injury model. Macrophage activation and CD40 upregulation were found to induce inflammatory cytokine release, contributing to ALI development."
LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,Peng Yuan; Yukang Que; Yulei Liu; Peng He; Zehao Guo; Yong Hu,Matched: ELISA,cat /papers/PMC10091190/content.lines --lines 39,2023-03-28,https://doi.org/10.3892/ol.2023.13777,"This study investigated the combined effect of LPS and CD47mAb on macrophage anti-osteosarcoma activity. The combination significantly enhanced macrophage phagocytosis, suppressed tumor growth and migration, and promoted apoptosis."
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: M1 Macrophage polarization mechanism,cat /papers/PMC13372918/content.lines --lines 71-74,2026-07-15,https://doi.org/10.1007/s00011-026-02317-3,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Effects of thrombospondin-4 on pro-inflammatory phenotype differentiation and apoptosis in macrophages,Mohammed Tanjimur Rahman; Santoshi Muppala; Jiahui Wu; Irene Krukovets; Dmitry Solovjev; Dmitriy Ver...,Matched: LPS and pro-inflammatory cytokines induce TSP-4 expression in macropha,cat /papers/PMC6978349/content.lines --lines 43-45,2020-01-23,https://doi.org/10.1038/s41419-020-2237-2,"Thrombospondin-4 (TSP-4) was studied for its effects on macrophage phenotype and apoptosis. TSP-4 promotes pro-inflammatory macrophage differentiation and apoptosis, with the P387 variant being more active."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/PMC9411976/content.lines --lines 74-75,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
NF-κB p65 and TCF-4 interactions are associated with LPS-stimulated IL-6 secretion of macrophages,Ji-Youn Kim; Hyeon-Gun Jee; Ju Yeong Kim; Tai-Soon Yong; Soung-Hoo Jeon,Matched: CRediT authorship contribution statement,cat /papers/PMC10859262/content.lines --lines 66,2024-02-06,https://doi.org/10.1016/j.bbrep.2024.101659,This study investigated the interaction between NF-κB and TCF-4 in LPS-stimulated macrophages. The findings indicate that NF-κB p65 and TCF-4 interaction is associated with increased IL-6 secretion.
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",Pablo Veloso; Alejandra Fernández; Jessica Astorga; David González-Quintanilla; Alfredo Castro; Alej...,Matched: 5. Conclusions,cat /papers/PMC9456100/content.lines --lines 74-87,2022-09-02,https://doi.org/10.3390/ijms231710011,"This study investigated the effects of lipopolysaccharides from *Porphyromonas gingivalis* and *Porphyromonas endodontalis* on macrophage polarization. *P. gingivalis* LPS induced an M1 macrophage profile, while *P. endodontalis* LPS did not."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
NF-κB Plays a Key Role in Inducing  CD274  Expression in Human Monocytes after Lipopolysaccharide Treatment,"Gang Huang, Qianjun Wen, Yongliang Zhao, Qiangguo Gao, Yun Bai",PMC3622012,PMC,2013-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3622012/,This study investigated how lipopolysaccharide (LPS) affects CD274 expression in human monocytes. NF-κB activation is shown to be crucial for LPS-induced CD274 gene expression.
Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,"Qi Zhang, Jie Wang, Jin Zhang, Jie Wen, Guiping Zhao, Qinghe Li",PMC8155903,Genes,2021-05-17,https://doi.org/10.3390/genes12050760,"Chicken macrophages were stimulated with LPS, and their mRNA and miRNA profiles were analyzed. This revealed differentially expressed genes and miRNAs involved in immune responses, offering insights into bacterial infection mechanisms."
Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,Kei Ishida; Takahiro Nagatake; Azusa Saika; Soichiro Kawai; Eri Node; Koji Hosomi; Jun Kunisawa,Matched: Cell-surface molecule expression and gene expression profiles in LPS/I,cat /papers/PMC10167635/content.lines --lines 44-45,2023-04-21,https://doi.org/10.3389/fimmu.2023.1111729,"This study analyzed macrophages induced by simultaneous LPS and IL-4 stimulation. These macrophages exhibited unique properties, blending M1 and M2 characteristics with distinct energy metabolism."
Effect of Thrombospondin-4 on Pro-inflammatory Phenotype Differentiation and Apoptosis in Macrophages,"Mohammed Tanjimur Rahman, Santoshi Muppala, Jiahui Wu, Irene Krukovets, Dmitry Solovjev, Dmitriy Ver...",Matched: LPS and pro-inflammatory cytokines induce TSP-4 expression in macropha,cat /papers/bio_aec0e8f76c09/content.lines --lines 47-49,2019-05-09,,"Thrombospondin-4 (TSP4) was studied for its effects on macrophage inflammation and apoptosis. TSP4 promotes pro-inflammatory macrophage differentiation, accumulation, and apoptosis, with the P387 variant being more active."
"Hyperinflammation, T cells, and endotoxemia",Makoto Inoue; Mari L. Shinohara,PMC4695100,Oncotarget,2015-08-22,https://doi.org/10.18632/oncotarget.5236,
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",Matched: Conclusion,cat /papers/PMC1781469/content.lines --lines 44,2007-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC1781469/,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,Gen-Ichiro Soma; Masataka Oda; Vindy Tjendana Tjhin; Chie Kohchi; Hiroyuki Inagawa,Matched: Regulation of innate immunity by LPS as an environmental agent,cat /papers/PMC11994614/content.lines --lines 29-31,2025-03-31,https://doi.org/10.3389/fimmu.2025.1563484,"Oral and transdermal LPS administration was studied for its effects on self-healing. This method safely enhances healing through a ""macrophage network"" involving mucosal immune cells."
Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,Heping Cao,Matched: Effect of LPS on proinflammatory gene expression,cat /papers/PMC10949775/content.lines --lines 65-67,2024-03-19,https://doi.org/10.1186/s13104-024-06743-6,"Lipopolysaccharide (LPS) was studied for its effects on tristetraprolin (TTP) family and proinflammatory gene expression in mouse macrophages. LPS increased TTP, TNF, and COX2 mRNA but had minimal impact on other TTP homologues and proinflammatory cytokine genes."
In vivo cisplatin-resistant neuroblastoma metastatic model reveals tumour necrosis factor receptor superfamily member 4 (TNFRSF4) as an independent prognostic factor of survival in neuroblastoma,Catherine Murphy; Laura Devis-Jauregui; Ronja Struck; Ariadna Boloix; Ciara Gallagher; Cian Gavin; F...,Matched: Discussion,cat /papers/PMC11135766/content.lines --lines 89-90,2024-05-29,https://doi.org/10.1371/journal.pone.0303643,A cisplatin-resistant metastatic neuroblastoma model was developed using cell lines. Low expression of TNFRSF4 in tumor cells is an independent predictor of poor survival in neuroblastoma.
