rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
2,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,no,,,
3,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,,,
4,PMC12847160,Free Fatty Acids and LPS Synergistically Promote Macrophage M1 Polarization and Insulin Resistance Via FTO-Mediated CSF1 Degradation,success,no,,,
5,PMC10653702,Gut microbiota and tumor-associated macrophages: potential in tumor diagnosis and treatment,success,no,,,
6,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
7,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
8,PMC3505865,Gut-derived lipopolysaccharide augments adipose macrophage accumulation but is not essential for impaired glucose or insulin tolerance in mice,success,no,,,
9,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
10,PMC12605410,Targeting the LPS-STING axis: neomycin restores STING-mediated anti-tumor immune suppression and inhibits tumor growth,success,no,,,
11,PMC11401823,Tropomodulin1 exacerbates inflammatory response in macrophages by negatively regulating LPS-induced TLR4 endocytosis,success,no,,,
12,PMC4024643,Translation control of TAK1 mRNA by hnRNP K modulates LPS-induced macrophage activation,success,no,,,
13,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,,,
14,PMC8369701,Pharmacological activation of rev-erbα suppresses LPS-induced macrophage M1 polarization and prevents pregnancy loss,success,no,,,
15,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
16,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,,,
17,PMC12548463,LPS/TLR4-activated M1-polarized macrophage-derived exosomes enhance IBV vaccine efficacy in chickens,success,no,,,
18,PMC10160506,BushenHuoxue decoction suppresses M1 macrophage polarization and prevents LPS induced inflammatory bone loss by activating AMPK pathway,success,no,,,
19,PMC12035103,Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,success,no,,,
20,PMC11882389,Laminarin Alleviates Acute Lung Injury Induced by LPS Through Inhibition of M1 Macrophage Polarisation,success,no,,,
21,PMC3897530,Btk Regulates Macrophage Polarization in Response to Lipopolysaccharide,success,no,,,
22,PMC10750081,CD163 protein inhibits lipopolysaccharide-induced macrophage transformation from M2 to M1 involved in disruption of the TWEAK–Fn14 interaction,success,no,,,
23,PMC7809447,Ultra-purification of Lipopolysaccharides reveals species-specific signalling bias of TLR4: importance in macrophage function,success,no,,,
24,PMC9662278,Tuberous Sclerosis Complex 1 Deficiency in Macrophages Promotes Unclassical Inflammatory Response to Lipopolysaccharide In Vitro and Dextran Sodium Sulfate-Induced Colitis in Mice,success,no,,,
25,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
