rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,yes,LPS treatment of the RAW264.7 cells and mouse primary bone‐marrow‐derived macrophages (BMMs) upregulated the expression of the HDAC2 mRNA within 1 h of stimulation.,,
2,PMC6359123,Histone Deacetylation Inhibitors as Therapy Concept in Sepsis,success,yes,"In this study, the authors observed that LPS transiently repressed expression of HDACs 4, 5, and 7, followed by an induction of these HDACS, which was more rapid, concerning HDAC-1 mRNA [57].",,
3,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,
4,PMC11221109,Myeloid-specific Hdac10 deletion protects against LPS-induced acute lung injury via P62 acetylation at lysine 165,success,yes,Our findings revealed an obvious increase of HDAC10 mRNA levels in LPS-exposed ALI mice lung tissues compared to those of normal controls (Fig. 1A).,,
5,PMC13493966,Sympathetic signaling activation alleviated acute respiratory distress syndrome via the HDC/SLC7A11 axis in lipopolysaccharide-induced macrophages,success,no,,,
6,PMC10096759,Inhibitory Effects of Ginsenoside Compound K on Lipopolysaccharide-Stimulated Inflammatory Responses in Macrophages by Regulating Sirtuin 1 and Histone Deacetylase 4,success,no,,,
7,PMC5763578,Histone deacetylase 2 (HDAC2) attenuates lipopolysaccharide (LPS)-induced inflammation by regulating PAI-1 expression,success,yes,"L25: RAW264.7 cells transfected with HDAC2 showed around a 1.5-fold increase in HDAC2 protein expression, when compared to the cells transfected with the vector control (Fig. 2a). HDAC2 repressed LPS-induced secretion of PAI-1, TNF, and MIP-2 (Fig. 2b-d), but increased uPA secretion (Fig. 2e).",,
8,PMC7573361,HDAC3 Mediates the Inflammatory Response and LPS Tolerance in Human Monocytes and Macrophages,success,no,,,
9,PMC6821885,Lipopolysaccharide-induced expansion of histidine decarboxylase-expressing Ly6G+ myeloid cells identified by exploiting histidine decarboxylase BAC-GFP transgenic mice,success,yes,"It has been reported that LPS (lipopolysaccharide) induces Hdc mRNA expression and HDC enzyme activity in a number of cell lines, and in an LPS-induced murine model of sepsis[13]–[16].",,
10,PMC7497259,Histamine and histidine decarboxylase: Immunomodulatory functions and regulatory mechanisms,success,yes,"Intraperitoneal administration of LPS (lipopolysaccharide) or inflammatory cytokines, including IL‐1 (interleukin‐1) or TNF‐α (tumor necrosis factor‐α), induces the Hdc expression in various tissues.",,
11,PMC7725280,Dichotomous Engagement of HDAC3 Activity Governs Inflammatory Responses,success,no,,,
12,PMC12539210,Histone deacetylase 7 mediates lipopolysaccharide-inducible mitochondrial fission in macrophages,success,no,,,
13,PMC10316655,HDAC3 promotes macrophage pyroptosis via regulating histone deacetylation in acute lung injury,success,no,,,
14,PMC2588973,The regulation of histidine decarboxylase gene expression.,success,no,,,
15,PMC4568921,Histone deacetylase 5 regulates the inflammatory response of macrophages,success,yes,"Toll-like receptor-mediated stimulation of murine RAW264.7 cells significantly reduced HDAC5 mRNA within 7 hrs but presented baseline levels after 24 hrs, a mechanism that was also found for Interferon-Γ treatment. If treated with lipopolysaccharide, RAW264.7 cells transfected for over-expression only of full-length but not of mutant HDAC5, significantly elevated secretion of tumour necrosis factor ̑ and of the monocyte chemotactic protein-1.",,
16,PMC9672892,Histamine Signaling Is Essential for Tissue Macrophage Differentiation and Suppression of Bacterial Overgrowth in the Stomach,success,no,,,
17,PMC10682073,Role of histamine-mediated macrophage differentiation in clearance of metastatic bacterial infection,success,no,,,
18,PMC12395717,HDAC2 mediates the activation of macrophage in sepsis induced lung injury via regulating the acetylation of SOX2 and the transcription of STAMP2,success,no,,,
19,PMC5535887,The Novel HDAC8 Inhibitor WK2-16 Attenuates Lipopolysaccharide-Activated Matrix Metalloproteinase-9 Expression in Human Monocytic Cells and Improves Hypercytokinemia In Vivo,success,no,,,
20,PMC6830127,Targeting Histone Deacetylases in Myeloid Cells Inhibits Their Maturation and Inflammatory Function With Limited Effects on Atherosclerosis,success,no,,,
21,PMC12925555,HDAC1 and SATB1 positively regulate immune responses in chicken macrophages,success,yes,"Under these conditions, HDAC1 and SATB1 transcripts were significantly upregulated (Fig. 1C; P < 0.05 and P < 0.001, respectively), implicating both factors in the HD11 response to LPS.",,
22,PMC7730296,Anti-Allergic Potential of Cinnamaldehyde via the Inhibitory Effect of Histidine Decarboxylase (HDC) Producing Klebsiella pneumonia,success,no,,,
23,PMC8358884,Histone deacetylase 9 deficiency exaggerates uterine M2 macrophage polarization,success,no,,,
24,PMC12035888,HDC/histamine Signaling Axis Drives Macrophage Reprogramming to Promote Angiogenesis in Hindlimb-Ischemic Mice,success,yes,HDC-expression decreased during the differentiation and maturation of macrophages from monocytes induced by granulocyte-macrophage colony-stimulating factor (GM-CSF) or macrophage colony-stimulating factor (CSF-1) [17].,,
25,PMC6026695,Degradation of histone deacetylase 4 via the TLR4/JAK/STAT1 signaling pathway promotes the acetylation of high mobility group box 1 (HMGB1) in lipopolysaccharide‐activated macrophages,success,yes,"As shown Fig. 3A, the protein expression of HDAC4 decreased in a time-dependent manner after LPS treatment, which was reversed by MG132, a proteasome inhibitor (Fig. 3B), suggesting that LPS treatment enhanced HDAC4 loss by proteasome-dependent degradation.",,
