title,authors,id,source,date,url,abstract
Activin A activation of Smad3 mitigates innate inflammation in mouse models of psoriasis and sepsis,Thierry Gauthier; Yun-Ji Lim; Wenwen Jin; Na Liu; Liliana C. Patiño; Weiwei Chen; James Warren; Dani...,Matched: Supplementary Material,cat /papers/PMC12043092/content.lines --lines 95-96,2025-03-11,https://doi.org/10.1172/JCI187063,"Activin A activates Smad3 in macrophages independently of TGF-β, reducing inflammation. This pathway is crucial for controlling sepsis and psoriasis severity in mice."
Identification of INHBA as a potential biomarker for gastric cancer through a comprehensive analysis,Fang Liu; Jiayi Liu; Xinrui Shi; Xiaojie Hu; Lai Wei; Bingjie Huo; Liang Chang; Yaqing Han; Guangjie...,Matched: Immune microenvironment and INHBA,cat /papers/PMC10394090/content.lines --lines 116-117,2023-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10394090/,This study analyzed INHBA expression and its correlation with gastric cancer prognosis and immune infiltration. High INHBA expression is linked to poorer prognosis but predicts better immunotherapy response.
In vivo induction of activin A-producing alveolar macrophages supports the progression of lung cell carcinoma,Seiji Taniguchi; Takahiro Matsui; Kenji Kimura; Soichiro Funaki; Yu Miyamoto; Yutaka Uchida; Takao S...,Matched: Inhibin beta A (INHBA)/activin A upregulation in lung AMs enhances pro,cat /papers/PMC9845242/content.lines --lines 26-27,2023-01-17,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9845242/,"Alveolar macrophages in lung tumors were studied to understand their role in cancer progression. These macrophages produce activin A, which promotes tumor growth and leads to worse outcomes."
A Key Role for Inhibins in Dendritic Cell Maturation and Function,Roxana Olguín-Alor; Marisol de la Fuente-Granada; Laura C. Bonifaz; Laura Antonio-Herrera; Eduardo A...,Matched: mBMDC from Inhα-/- mice produce increased IL-10 levels in response to,cat /papers/PMC5147992/content.lines --lines 61-63,2016-12-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5147992/,"Inhibins were studied for their role in peripheral dendritic cell maturation and function using knockout mice. Inhibins are crucial for dendritic cell maturation, migration, and T cell activation, influencing the balance between immunity and tolerance."
Inhibin beta A drives colorectal cancer progression through macrophage M2 polarization and mitochondria-dependent ferroptosis suppression,Wentao Li; Lin Liang; Siyi Liu; Jingqiong Tang; Shuangyan Ou; Zhijun Yuan; Yanhong Zhou; Xia Yuan,Matched: INHBA promotes the M2 polarization of TAMs in the tumor microenvironme,cat /papers/PMC12741050/content.lines --lines 30-31,2025-12-26,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12741050/,This study investigated the role of inhibin beta A (INHBA) in colorectal cancer (CRC) progression. INHBA drives CRC malignancy by promoting M2 macrophage polarization and suppressing ferroptosis in cancer cells.
Expression and role of ABIN1 in sepsis: In vitro and in vivo studies,Haolan Li; Aichen Sun; Taocheng Meng; Yan Zhu,Matched: Cell culture and LPS stimulation,cat /papers/PMC7729633/content.lines --lines 22,2020-12-04,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7729633/,This study investigated ABIN1's role in LPS-induced sepsis. ABIN1 alleviates sepsis by suppressing inflammatory responses via the NF-κB pathway.
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Macrophage supernatant effect on splenocyte proliferation,cat /papers/PMC3660024/content.lines --lines 54-55,2013-05-05,,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
INHBA+ macrophages and Pro-inflammatory CAFs are associated with distinctive immunosuppressive tumor microenvironment in submucous Fibrosis-Derived oral squamous cell carcinoma,Simin Zhao; Yu Zhang; Xiaoqin Meng; Ye Wang; Yahui Li; Hao Li; Xingyu Zhao; Pishan Yang; Shaopeng Li...,Matched: INHBA is involved in the modulation effect of INHBA+Mac and iCAF on Tr,cat /papers/PMC12067746/content.lines --lines 83-85,2025-05-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12067746/,This study analyzed the tumor microenvironment of oral squamous cell carcinoma derived from oral submucosal fibrosis. ODSCC exhibits a more immunosuppressive microenvironment characterized by increased INHBA+ macrophages and pro-inflammatory CAFs.
M2‐phenotype tumour‐associated macrophages upregulate the expression of prognostic predictors MMP14 and INHBA in pancreatic cancer,Zhan‐Wen Liang; Jie Yu; Dong‐Mei Gu; Xiao‐Meng Liu; Jin Liu; Meng‐Yao Wu; Meng‐Dan Xu; Meng Shen; We...,Matched: Macrophage M2 could upregulate the prognostic genes MMP14 and INHBA in,cat /papers/PMC8899166/content.lines --lines 65-66,2022-02-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8899166/,"M2-phenotype macrophages were studied for their role in pancreatic cancer progression. These macrophages upregulate MMP14 and INHBA, which are prognostic predictors and potential therapeutic targets."
Increased Expression of INHBA Is Correlated With Poor Prognosis and High Immune Infiltrating Level in Breast Cancer,Zeying Yu; Li Cheng; Xinlian Liu; Lushun Zhang; Hui Cao,Matched: Prognostic Value of INHBA in Breast Cancer,cat /papers/PMC9580937/content.lines --lines 72-73,2022-03-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9580937/,INHBA expression was studied in breast cancer tissues and correlated with clinical factors. High INHBA expression is linked to worse survival and altered immune cell infiltration.
