title,authors,id,source,date,url,abstract
INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,Paul F. Parakkal,PMC2107732,PMC,1969-04-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2107732/,
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Collagen Fibril Density Modulates Macrophage Activation and Cellular Functions during Tissue Repair,Jiranuwat Sapudom; Walaa Kamal E. Mohamed; Anna Garcia-Sabaté; Aseel Alatoom; Shaza Karaman; Nikhil ...,Matched: 3.4. M-LPS/-IFNγ Enhances Infiltration of Monocytic Cells into 3D Coll,cat /papers/PMC7356036/content.lines --lines 53,2020-03-31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7356036/,This study investigated how collagen fibril density affects macrophage activation and function. Increased collagen density enhances cytokine secretion and influences macrophage roles in tissue repair.
LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,Peng Yuan; Yukang Que; Yulei Liu; Peng He; Zehao Guo; Yong Hu,Matched: Effect of LPS and CD47mAb on macrophage activation,cat /papers/PMC10091190/content.lines --lines 52,2023-03-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10091190/,"This study investigated the combined effect of LPS and CD47mAb on macrophage anti-osteosarcoma activity. The combination significantly enhanced macrophage phagocytosis, suppressed tumor growth and migration, and promoted apoptosis."
Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,Yuehua You; Yuyan Li; Lin Ye; Fang Xu; Jing Fan,Matched: 2.4. Cell Culture,cat /papers/PMC11882325/content.lines --lines 27,2025-02-26,https://doi.org/10.1155/mi/6608718,"IL-27 exacerbates liver injury in sepsis by impairing macrophage antimicrobial responses. This occurs through IL-27-induced mitochondrial dysfunction, which reduces bacterial clearance."
Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),Yazhen Hu; Xiaolei Wei; Zhiwei Liao; Yu Gao; Xiaoling Liu; Jianguo Su; Gailing Yuan,Matched: 3. Discussion,cat /papers/PMC6274997/content.lines --lines 36-38,2018-11-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6274997/,"This study analyzed the transcriptomes of resting and LPS-activated grass carp macrophages. Four novel cell surface markers and two chemokines were identified as potential macrophage markers, with others indicating activation."
IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,"Quentin Glaziou, Laetitia Basset, Sènan d’Almeida, Pascale Pignon, Nabila Jabrane-Ferrat, Christophe...",Matched: IL-27 neutralization during macrophage differentiation reduces immunos,cat /papers/bio_5e67bb726e21/content.lines --lines 56-58,2024-09-13,,"IL-27 neutralization was studied for its effects on tumor-associated macrophages and the tumor immune microenvironment. Blocking IL-27 repolarized macrophages, enhancing T cell responses and immune checkpoint therapy efficacy."
Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,Jun Liang; Yingli Cai; Yiming Shao,Matched: LPS Induces M1 Polarization and Inflammatory Response in RAW264.7 Macr,cat /papers/PMC13199726/content.lines --lines 100-101,2026-05-20,https://doi.org/10.2147/IDR.S590998,"Gram-negative bacterial infection is a major cause of severe inflammatory disorders and cellular damage, with lipopolysaccharide (LPS) as a key pathogenic trigger. Macrophages are central players in L"
Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,Zhengjiang Qian; Chunhua Liu; Hongchao Li; Haiyang Yang; Jianhao Wu; Jing Liu; Yanjiao Li; Xuhui Che...,Matched: 4. Discussion,cat /papers/PMC9138386/content.lines --lines 58-59,2022-04-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9138386/,"Osteocalcin alleviates LPS-induced acute inflammation by activating GPR37 in macrophages. This activation reduces inflammatory cytokine release and enhances phagocytic function, offering a potential therapeutic strategy."
IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,C. Petes; N. Odoardi; S. M. Plater; N. L. Martin; K. Gee,Matched: Co-stimulation of LPS and IL-27 upregulates proinflammatory cytokine e,cat /papers/PMC6135775/content.lines --lines 14-15,2018-09-12,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6135775/,This study investigated IL-27's effect on human monocyte and macrophage responses to bacterial products and infection. IL-27 amplified pro-inflammatory cytokine production in response to LPS and *Salmonella typhimurium* infection.
Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,Sara Soudi; Ahmad Zavaran-Hosseini; Zuhair Muhammad Hassan; Masoud Soleimani; Fatemeh Jamshidi Adega...,Matched: Cytokine assay,cat /papers/PMC3660024/content.lines --lines 44-46,2013-05-05,,Peritoneal macrophages from BALB/c and C57BL/6 mice were stimulated with LPS to compare their responses. Different mouse strains exhibit distinct cytokine profiles and functional activities when exposed to LPS.
IL-27 Aggravates Sepsis-Induced ARDS by Driving Macrophage Ferroptosis Through Activation of NCOA4-Mediated Ferritinophagy,Minkang Guo; Meng Xiong; Jindian Shi; Qiaozhi Peng; Shihui Lin; Fang Xu,Matched: Inhibiting Ferritinophagy Effectively Alleviates the Inflammatory Resp,cat /papers/PMC12967598/content.lines --lines 71-72,2026-03-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12967598/,"IL-27 worsens sepsis-induced ARDS by promoting macrophage ferroptosis. It achieves this by activating NCOA4, which drives ferritinophagy and M1 polarization. A novel NCOA4 degrader, CV3, reverses these effects, offering a potential therapeutic strategy."
Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,"Akane Tanaka, Joyce To, Bronwyn O’Brien, Sheila Donnelly, Maria Lund",PMC5627409,biomedrxiv,2017-10-03,https://doi.org/10.1186/s12865-017-0223-y,"This study assessed the stability of eight common reference genes in LPS-stimulated murine macrophages. It found that some traditional genes are unreliable, and identified two new, stable reference genes for accurate gene expression analysis."
Collagen XXVII Organises the Pericellular Matrix in the Growth Plate,Darren A. Plumb; Laila Ferrara; Tanja Torbica; Lynnette Knowles; Aleksandr Mironov; Karl E. Kadler; ...,Matched: Mice with a cartilage-specific deletion in Col27a1 are viable but have,cat /papers/PMC3242791/content.lines --lines 31-32,2011-12-19,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3242791/,Collagen XXVII's function was studied using mutant mice. It organizes the growth plate's pericellular matrix and is crucial for proliferative zone organization.
Effect of regulating macrophage polarization phenotype on intervertebral disc degeneration,Xuefeng Hou; Yucheng Shen; Minli Sun; Bing Zhang; Jiuming Dai; Dong Chen; Zhidong Liu,Matched: M1 macrophages promoted the expression of type II collagen and Aggreca,cat /papers/PMC9609449/content.lines --lines 48-49,2022-10-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9609449/,"This study investigated how regulating macrophage polarization affects intervertebral disc degeneration. M1 macrophage polarization promotes degeneration, while minocycline and sinomenine treatments mitigated this effect."
LPS‐Induced Inflammation Prior to Injury Exacerbates the Development of Post‐Traumatic Osteoarthritis in Mice,Melanie E Mendez; Aimy Sebastian; Deepa K Murugesh; Nicholas R Hum; Jillian L McCool; Allison W Hsia...,Matched: Cellular infiltration by type 1 macrophages is elevated in LPS‐treated,cat /papers/PMC7689775/content.lines --lines 38-39,2020-08-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7689775/,"Systemic inflammation induced by LPS before joint injury was studied in mice. Pre-injury inflammation significantly worsened post-traumatic osteoarthritis development, characterized by greater cartilage loss and bone volume reduction."
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",Matched: 2.1. RAW 264.7 Cells,cat /papers/PMC3317238/content.lines --lines 17,2012-01-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3317238/,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
LPS-induced senescence of macrophages aggravates calcification and senescence of vascular smooth muscle cells via IFITM3,Ya-Ping Fang; Xin Yang; Ying Zhang; Xiao-Dong Zhu; Xiao-Xu Wang; Yan Liu; Wen Shi; Jia-Yi Huang; Yu ...,Matched: Induction of macrophages senescence by LPS,cat /papers/PMC11232647/content.lines --lines 57-58,2024-07-08,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11232647/,LPS-induced macrophage senescence was studied in relation to vascular smooth muscle cell (VSMC) calcification. Senescent macrophages accelerate VSMC calcification and senescence through IFITM3.
Biomimetic collagenous scaffold to tune inflammation by targeting macrophages,Francesca Taraballi; Bruna Corradetti; Silvia Minardi; Sebastian Powel; Fernando Cabrera; Jeff L. Va...,Matched: Effect of CSCL in primary macrophages in vitro,cat /papers/PMC4765811/content.lines --lines 33,2016-02-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4765811/,"A collagen scaffold functionalized with chondroitin sulfate was developed to tune macrophage inflammation. This scaffold effectively shifted macrophages towards an anti-inflammatory M2 phenotype, both in vitro and in vivo."
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
"High-Resolution Mapping and Dynamics of the Transcriptome, Transcription Factors, and Transcription Co-Factor Networks in Classically and Alternatively Activated Macrophages",Amitabh Das; Chul-Su Yang; Sarder Arifuzzaman; Sojin Kim; Sun Young Kim; Kyoung Hwa Jung; Young Seek...,Matched: RAW 264.7 Macrophage Cell Line,cat /papers/PMC5778122/content.lines --lines 17,2018-01-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5778122/,"This study mapped the transcriptome, transcription factors, and co-factor networks in classically and alternatively activated macrophages. It identified novel roles for these factors in macrophage activation and inflammation."
Mmu-miR-27a-5p-Dependent Upregulation of MCPIP1 Inhibits the Inflammatory Response in LPS-Induced RAW264.7 Macrophage Cells,Ying Cheng; Li Du; Hanwei Jiao; Huapei Zhu; Kailian Xu; Shiyu Guo; Qiaoyun Shi; Tianjing Zhao; Feng ...,Matched: 1. Introduction,cat /papers/PMC4534598/content.lines --lines 11,2015-07-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4534598/,"This study investigated the role of mmu-miR-27a-5p in LPS-induced macrophage inflammation. Mmu-miR-27a-5p directly targets MCPIP1, and its upregulation inhibits the secretion of inflammatory cytokines."
Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,"S. Dey, D. Boucher, J. W. Pitchford, D. Lagos *",Matched: Macrophage community AIH is dependent on LPS dose,cat /papers/bio_206e5a356c66/content.lines --lines 42-45,2021-09-19,,"This study mathematically models macrophage responses to LPS, analyzing single-cell protein expression. Macrophage hypo-responsiveness to secondary LPS challenges is driven by altered transition rates to non-responsive states."
"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",Shoumit Dey; Dave Boucher; Jon Pitchford; Dimitris Lagos,Matched: LPS challenge,cat /papers/PMC9411976/content.lines --lines 29-30,2022-07-25,https://doi.org/10.12688/wellcomeopenres.17557.2,Mathematical models explored macrophage states and their responses to LPS. Macrophage hypo-responsiveness to a second LPS challenge is driven by altered transition rates between activation states.
LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,Monira Obaid; S. M. Nashir Udden; Paromita Deb; Nadine Shihabeddin; Md. Hasan Zaki; Subhrangsu S. Ma...,Matched: Cell culture and treatment with Lipopolysaccharide (LPS),cat /papers/PMC6199307/content.lines --lines 12,2018-10-23,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6199307/,LncRNA HOTAIR's role in LPS-induced inflammation in macrophages was studied. HOTAIR promotes NF-κB activation and cytokine expression by facilitating IκBα degradation.
Bioinformatics Analysis and Experimental Verification Identify Downregulation of COL27A1 in Poor Segmental Congenital Scoliosis,Zongshan Hu; Yanjie Xu; Jie Li; Zezhang Zhu; Yong Qiu; Zhen Liu,Matched: 1. Introduction,cat /papers/PMC8849967/content.lines --lines 15-16,2022-02-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8849967/,Bioinformatics and RNA sequencing identified differentially expressed genes in poor segmental congenital scoliosis. COL27A1 was found to be significantly downregulated in PSCS patients.
LPS-Induced Modifications in Macrophage Transcript and Secretion Profiles Are Linked to Muscle Wasting and Glucose Intolerance,Heeyeon Ryu; Hyeon Hak Jeong; Seungjun Lee; Min-Kyeong Lee; Myeong-Jin Kim; Bonggi Lee,Matched: LPS-Stimulated Macrophages Exhibit Extensive Alterations in Gene Expre,cat /papers/PMC10940789/content.lines --lines 38,2023-12-01,https://doi.org/10.4014/jmb.2309.09037,LPS-stimulated macrophages were studied for their effects on muscle cells. Their secreted factors promote muscle wasting and glucose intolerance by altering gene expression and cytokine release.
Gadolinium Chloride Inhibits the Production of Liver Interleukin-27 and Mitigates Liver Injury in the CLP Mouse Model,Jing Fan; Miao He; Chuan-Jiang Wang; Mu Zhang,Matched: 3.7. IL-27 Is Elevated in Macrophages and Promotes the Inflammatory Re,cat /papers/PMC7867451/content.lines --lines 57,2021-01-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7867451/,"This study investigated the role of IL-27 and liver macrophages in liver injury following severe infection. Gadolinium chloride inhibited IL-27 production and M1 macrophage polarization, reducing liver injury in a mouse model."
