title,authors,id,source,date,url,abstract
"Endothelins, peptides with potent vasoactive properties, are produced by human macrophages",Matched: cat /papers/PMC2188743/content.lines --lines 5,PMC2188743,PMC,1990-12-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2188743/,"Human macrophages were studied for endothelin production. These cells synthesize and secrete endothelins, with secretion of endothelin 1 inducible by lipopolysaccharide or PMA."
"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",Harin Youk; Miso Kim; Chan Joo Lee; Jaewon Oh; Sungha Park; Seok-Min Kang; Jeong-Ho Kim; Soo-jin Ann...,Matched: Validation of the role of  Edn1  in macrophage activation by minimally,cat /papers/PMC7779813/content.lines --lines 55-56,2020-08-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7779813/,"This study investigated how palmitate and modified LDL affect macrophage inflammatory responses. These agents promote macrophage activation and gene expression, with TLR4 signaling being a key pathway."
Rodent Models of Lung Disease: A Road Map for Translational Research,Jerome Cantor,Matched: 2.3. Role of Endothelin in LPS-Induced Lung Injury,cat /papers/PMC12429320/content.lines --lines 29-32,2025-08-28,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12429320/,"Rodent models are used to study lung disease pathogenesis and test treatments. Careful experimental design can help translate findings to human clinical trials, identifying biomarkers and optimizing therapeutic strategies."
"Endothelin-1 stimulates human monocytes in vitro to release TNF-α , IL-1β and IL-6",E. Helset; T. Sildnes; R. Seljelid; Z.S. Konopski,PMC2365438,PMC,1993,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2365438/,"Endothelin-1 was studied for its effect on cytokine release from human monocytes and macrophages. Endothelin-1 stimulates these cells to release TNF-α, IL-1β, and IL-6, suggesting a role in inflammatory responses."
Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells,Guo-Long Cai; Zhou-Xin Yang; Dong-Yang Guo; Cai-Bao Hu; Mo-Lei Yan; Jing Yan,Matched: Discussion,cat /papers/PMC7858588/content.lines --lines 65-67,2021-02-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7858588/,"Macrophages worsen LPS-induced endothelial cell dysfunction and apoptosis. This occurs through Ang1 downregulation and NF-κB activation, suggesting therapeutic targets for sepsis."
Systemic and Splanchnic Lipopolysaccharide and Endothelin-1 Plasma Levels in Liver Cirrhosis before and after Transjugular Intrahepatic Portosystemic Shunt,Jiaxiang Meng; Qing Wang; Kai Liu; Shuofei Yang; Xinxin Fan; Baochen Liu; Changsheng He; Xingjiang W...,Matched: 3.3. LPS and PVPG after TIPS,cat /papers/PMC4753051/content.lines --lines 30,2016-01-31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4753051/,"This study measured plasma levels of LPS and ET-1 in cirrhotic patients before and after TIPS. Following TIPS, both LPS and ET-1 significantly decreased in the portal vein."
Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,Stefano Soldano; Carmen Pizzorni; Sabrina Paolino; Amelia Chiara Trombetta; Paola Montagna; Renata B...,PMC5373621,PMC,2017-03-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5373621/,
Preferential recruitment of neutrophils by endothelin-1 in acute lung inflammation induced by lipopolysaccharide or cigarette smoke,Tapan Bhavsar; Xing Jian Liu; Hardik Patel; Ralph Stephani; Jerome O Cantor,Matched: LPS model,cat /papers/PMC2629980/content.lines --lines 16,2008,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2629980/,"This study investigated endothelin-1's role in recruiting neutrophils to the lungs after LPS or cigarette smoke exposure. Endothelin-1 preferentially recruits neutrophils, suggesting its inhibition could reduce acute lung inflammation."
Enhanced Endothelin A and B Receptor Expression and Receptor-Mediated Vasoconstriction in Rat Mesenteric arteries after Lipopolysaccharide Challenge,Wei Zhang; Shan-Shan Zhang; Hong-Lang Huang; Bing-Jie Song; Xiao Liu; Zhi Qi,Matched: Abstract,cat /papers/PMC6881566/content.lines --lines 1-6,2019-11-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6881566/,Lipopolysaccharide (LPS) challenge was studied for its effects on endothelin receptor expression and function in rat mesenteric arteries. LPS increased endothelin A and B receptor expression and receptor-mediated vasoconstriction in vascular smooth muscle cells.
Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,Stefano Soldano; Carmen Pizzorni; Sabrina Paolino; Amelia Chiara Trombetta; Paola Montagna; Renata B...,Matched: Introduction,cat /papers/PMC5112853/content.lines --lines 16-19,2016-11-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5112853/,Endothelin-1 was studied for its ability to induce an M2 macrophage phenotype in cultured human macrophages. Endothelin-1 significantly increased M2 marker expression and pro-fibrotic molecule production.
Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages,Zhou-Xin Yang; Dong-Yang Guo; An-Bang Wei; Cai-Bao Hu; Mo-Lei Yan; Guo-Long Cai,PMC6144854,Chinese Medical Journal,2018-09-20,https://doi.org/10.4103/0366-6999.240795,
Extracellular vesicles derived from endothelial cells modulate macrophage phenotype in vitro,Zhizhen He; Johannes Greven; Yulong Shi; Kang Qin; Qun Zhao; Xing Zhang; Eva Miriam Buhl; Jörg Eschw...,Matched: Introduction,cat /papers/PMC10634087/content.lines --lines 16-17,2023-11-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10634087/,Endothelial cells were stimulated with LPS to produce extracellular vesicles (E-EVs). LPS-stimulated E-EVs enhanced macrophage viability and promoted a pro-inflammatory phenotype by activating the TLR4-NFκB pathway.
miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1,Xiaoyu Wang; Hongdong Li; Xianfeng Yu; Mengmeng Li,Matched: miR-379-5p mediates LPS-induced HK-2 through EDN1,cat /papers/PMC13483658/content.lines --lines 138-139,2026-08-03,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13483658/,"Sepsis-associated acute kidney injury (SA-AKI) is a serious complication for sepsis patients, and microRNA (miRNA) is involved in its occurrence and development. This study investigated the clinical v"
