rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,yes,yes,"Both cell types produce neopterin, nitrite/nitrate and citrulline (low levels) (35)","NOS2 mRNA and protein present in monocytes, ↑peritoneal macrophages (↑with LPS).",Nos2;NOS2,LPS,
2,PMC7905073,Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,success,yes,yes,"While the NOS2 protein was barely detected in cells that had been cultivated in conventional media, LPS stimulation induced NOS2 expression in WT and SOD1KO macrophages but not in NOS2KO or DKO macrophages (Fig. 2A).","When the macrophages were treated with LPS (1.0 μg/ml, final concentration) from 2.0 h after isolation and incubated further, a greater decrease in the viability of the DKO macrophages was detected, but no difference was found in the cases of the other genotypic macrophages.",Nos2;NOS2,LPS,
3,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,yes,"In rats, as in mice, LPS strongly induced Nos2, the arginine transporter Slc7a2, arginase 1 (Arg1), GTP cyclohydrolase (Gch1), and argininosuccinate synthase (Ass1).",Cells were treated with LPS from Salmonella enterica serotype Minnesota Re 595 (Sigma-Aldrich) for 7 and 24 h at a final concentration of 100 ng/ml for large animals and 10 ng/ml for rats.,Nos2;NOS2,LPS;Salmonella,
4,PMC8146495,Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,success,yes,yes,"Pre- or post-treatment with 50 ΓΑM TGII significantly attenuated LPS-induced NOS2 mRNA and protein expression in RAW 264.7 cells (Figure 2B,C).","The nitrite (A), NOS2 mRNA (B) and protein (C) were quantified after 6 h, 3 h, and 6 h of LPS (100 ng/mL) stimulation, respectively.",Nos2;NOS2,LPS,
5,PMC7851796,Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,success,no,no,,,,,
6,PMC4049611,A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6,success,yes,yes,"We showed by Western blot that LPS induces a strong expression of iNOS (130 kDa) (Fig. 3A) in C57BL/6 macrophages, detected as early as 6 h (Fig. 3B).",Cells (1×106) were stimulated with 1 µg/mL LPS for the indicated periods of time (A and B) or for 15 h and treatment with 50 µg/mL cycloheximide for the indicated periods of time (C and D).,iNOS,LPS,
7,PMC12592619,Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,success,yes,yes,"The results showed that 220 DEGs were upregulated in response to LPS challenge, among which the expression level of iNOS gene (Nos2) was significantly elevated (Fig. 1A).","NgpNC/RAW and NgpHi/RAW cells were subjected to a 6-h treatment with LPS (10 ΓΕg/mL) or PBS, followed by RNA extraction for RNA-seq analysis.",Nos2;iNOS;NOS2,LPS,
8,PMC4284740,"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",success,yes,yes,"The LPS-induced expression of the NOS2 gene was also repressed by pre-treatment with pheophytin a in a dose-dependent manner, including its protein (Figure 2C) and mRNA levels (Figure 2D).",RAW 264.7 cells were pre-treated with the indicated concentrations of pheophytin a for 30 min followed by LPS (100 ng/mL) for 6 h.,Nos2;NOS2,LPS,
9,PMC2365621,Modulation of nitric oxide synthase activity in macrophages,success,no,yes,"Data from Jorens et al., 1991. 4, Hydrocortisone; B, dexamethasone. (L201-L202)",Concentration dependent inhibition of the LPS-induced nitrite production in rat pulmonary macrophages by either dexamethasone or hydrocortisone. (L200-L201),,LPS,yes->no: evidence does not name the gene
10,PMC3891534,Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription,success,yes,yes,"Stimulation with LPS alone strongly induced luciferase activity; IL-4 also inhibited the LPS-induced luciferase activity, though the magnitude of the inhibition was smaller than that of the IFNγ-induced luciferase activity.","RAW264.7 cells were transiently transfected with wild-type or mutant Nos2 luciferase reporter constructs. Twenty-four hours after transfection, the cells were either left untreated (UT) or treated with IL-4 (10 ng/mL) for 30 min prior to stimulation with IFNγ (10 ng/mL) and/or LPS (100 ng/mL) for 8 hours before measurement of the luciferase activity.",Nos2;NOS2,LPS,
11,PMC1698482,Inhibition of inducible Nitric Oxide Synthase by a mustard gas analog in murine macrophages,success,yes,yes,CEES treatment alone did not induce any iNOS protein but LPS (10 ng/ml for 24 hours) produced a marked induction of iNOS protein.,,iNOS,LPS,
12,PMC10898816,Internal ribosomal entry site-mediated translational activity of nitric oxide synthase 2,success,yes,yes,"When LPS was introduced into the neuroblastoma cell line Neuro-2a, nitrite levels, the oxidative form of the NOS2 product nitric oxide, increased (Figure 4A).","LPS-induced nitrite levels; whereas treatment with rapamycin (Rapa), which blocks the phosphorylation of 4E-BP1 and inhibits cap-dependent translation, reduced LPS-induced nitrite levels by approximately 35% relative to in the LPS- and vehicle (veh)-treated conditions.",Nos2;NOS2,LPS,
13,PMC9368968,Hypoxia Aggravates Inhibition of Alveolar Epithelial Na-Transport by Lipopolysaccharide-Stimulation of Alveolar Macrophages,success,yes,yes,"L23: Figure 2A,B show that LPS treatment increased iNOS mRNA levels in mono-cultures of macrophages and of rA2 cells.",L72: Figure 2: Effect of LPS treatment on the mRNA expression of iNOS in macrophages and rA2 mono-layers and nitrite levels in dialyzed macrophage conditioned media.,iNOS,LPS,
14,PMC5751240,"Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b",success,yes,yes,"LPS-induced expression of NOS2 protein and mRNA were also repressed in RAW 264.7 cells with pheophytin-b in a dose-dependent manner (p < 0.05; Figure 3A and Figure 4A, respectively).",L62: Figure 4: Pheophytin-b suppressed NOS2 and COX-2 mRNA expression levels in LPS-stimulated RAW 264.7 cells. Cells were pre-treated with the indicated concentrations of pheophytin-b for 30 min and stimulated with LPS for 3 h.,Nos2;NOS2,LPS,
