rank,paper_id,title,judge_status,answer,evidence
1,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,yes,"In addition, mRNA and protein expression of iNOS and TNF-̑α, the special functional markers for M1, and secretion of TNF-̑α also significantly increased (Fig. 1c, d, e, f)."
2,PMC2119110,Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease,success,yes,"Quantities of LPS that are insufficient to induce the production and release of TNF-ol from normal, unprimed M~b, can trigger IFN- ""y-primed M~k to produce significant quantities of TNF-ol (12, 28)."
3,PMC2187654,Kappa B-type enhancers are involved in lipopolysaccharide-mediated transcriptional activation of the tumor necrosis factor alpha gene in primary macrophages,success,yes,"Primary macrophages accumulate large amounts of TNF-alpha mRNA after exposure to LPS, and this accumulation is due at least in part to increased transcription of the TNF-alpha gene (2, 3, 10, 20)."
4,PMC2190891,Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages,success,yes,Pre- exposure of macrophages to low doses of lipopolysaccharide inhibits the expression of tumor necrosis factor-alpha mRNA but not of IL-1 beta mRNA. (L22)
5,PMC5332009,Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,success,yes,Transcriptomic analysis of the reporter cell line under the same conditions of LPS stimulation was used to filter for hits clearly expressed in target cells.
6,PMC7521295,PDX regulates inflammatory cell infiltration via resident macrophage in LPS‐induced lung injury,success,yes,"Aerosol inhalation and intraperitoneal injection of LPS both significantly increased the TNF‐α concentration in lung tissue homogenates, and this effect was markedly attenuated by PDX treatment."
7,PMC5332015,Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,success,yes,Increased tnf promoter-driven mCherry expression in RAW G9 cells up to 16 h after treatment with 10 ngml−1 LPS at 16 h after treatment with LPS.
8,PMC4575053,AS-703026 Inhibits LPS-Induced TNFα Production through MEK/ERK Dependent and Independent Mechanisms,success,yes,"In the current study, our results demonstrated that AS-703026, a novel MEK/ERK inhibitor, suppressed LPS-induced TNF́̕ mRNA expression and protein secretion in RAW 264.7 murine macrophages, and in murine bone marrow-derived macrophages (BMDMs)."
9,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,yes,"To capture distinct macrophage subpopulations upon activation with LPS we measured protein expression of three cytokines, TNF, pro-IL-1̣β and IL-6, and one intracellular pro-inflammatory protein NOS2, an enzyme that catalyzes nitric oxide formation."
10,PMC6234144,LPS‐stimulated NF‐κB p65 dynamic response marks the initiation of TNF expression and transition to IL‐10 expression in RAW 264.7 macrophages,success,yes,"After 1-h of LPS stimulation, TNF̑\u03b1 mRNA expression increased (7.0-fold) significantly"
11,bio_1ab02dae6d41,The use of Ipratropium and Tiotropium as novel agents to reduce inflammation in  in vitro  macrophage models,success,yes,THP-1 cells were cultured and challenges with LPS to stimulate the IL-6 and TNF-̓ cytokines.
12,PMC7018708,Macrophages employ quorum licensing to regulate collective activation,success,yes,"L15: Upon activation, IκB kinase (IKK) targets IκB for degradation[3],[4], allowing NF-κB to translocate to the nucleus. There, NF-κB induces the transcription of genes such as tumor necrosis factor (TNF), a cytokine that mediates inflammation and pathogen clearance[5]–[7]."
13,PMC2234390,Ginger extract inhibits LPS induced macrophage activation and function,success,yes,"We observed that ginger extract inhibited IL-12, TNF-̑́α, IL-1β (pro inflammatory cytokines) and RANTES, MCP-1 (pro inflammatory chemokines) production in LPS stimulated macrophages."
14,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,yes,"LPS increased mRNA levels of TNF, COX2, GM-CSF, INFγ and IL12b up to 311, 418, 11, 9 and 4 fold, respectively."
15,PMC6611339,Site-Specific Reprogramming of Macrophage Responsiveness to Bacterial Lipopolysaccharide in Obesity,success,yes,"But although all macrophage subpopulations responded to LPS with an M1-like profile of cytokine secretion, the TNF-̑/ΙΑ-10 ratio was the lowest in adipose tissue macrophages, the highest in alveolar macrophages, and intermediary in peritoneal macrophages."
