rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC11702950,Macrophage autophagy protects against acute kidney injury by inhibiting renal inflammation through the degradation of TARM1,success,yes,"Among these, TARM1, a newly identified member of the leukocyte immunoglobulin-like receptor family, was significantly upregulated in atg5−/− BMDMs compared to WT BMDMs after treatment with LPS and IFNG (Figure 5B, C).",,
2,PMC12608911,"Triggering Receptor Expressed on Myeloid Cells-1 (TREM-1) in Inflammation and Disease: Mechanisms, Therapeutic Potential, and Future Directions",success,yes,"Studies on RAW264.7 macrophage-like cells have shown that Trem-1 gene transcription is regulated by NFκB-1 and the cyclic AMP response element (CRE), both of which contribute to LPS-induced upregulation of TREM-1 promoter activity (L27).",,
3,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,,,
4,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
5,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
6,PMC5775731,Expression of Siglec-E Alters the Proteome of Lipopolysaccharide (LPS)-Activated Macrophages but Does Not Affect LPS-Driven Cytokine Production or Toll-Like Receptor 4 Endocytosis,success,no,,,
7,PMC13096691,Physical exercise mitigates chronic psychological stress‐induced vascular inflammation via the BDNF–Kif4–TARM1 axis,success,no,,,
8,PMC7026307,Commentary: Triggering Receptor Expressed on Myeloid Cells-1 Inhibitor Targeted to Endothelium Decreases Cell Activation,success,no,,,
9,PMC10653702,Gut microbiota and tumor-associated macrophages: potential in tumor diagnosis and treatment,success,no,,,
10,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
11,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
12,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
13,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,,,
14,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
15,PMC6379471,Leukadherin-1-Mediated Activation of CD11b Inhibits LPS-Induced Pro-inflammatory Response in Macrophages and Protects Mice Against Endotoxic Shock by Blocking LPS-TLR4 Interaction,success,no,,,
16,PMC4637344,"A New Triggering Receptor Expressed on Myeloid Cells (TREM) Family Member, TLT-6, is Involved in Activation and Proliferation of Macrophages",success,no,,,
17,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
18,PMC6514734,TET1 Knockdown Inhibits Porphyromonas gingivalis LPS/IFN-γ-Induced M1 Macrophage Polarization through the NF-κB Pathway in THP-1 Cells,success,no,,,
19,PMC4695100,"Hyperinflammation, T cells, and endotoxemia",success,no,,,
20,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,,,
21,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,,,
22,PMC6312652,Inhibition of Triggering Receptor Expressed on Myeloid Cells 1 Ameliorates Inflammation and Macrophage and Neutrophil Activation in Alcoholic Liver Disease in Mice,success,no,,,
23,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
24,PMC6801141,TREM‐1 deficiency attenuates the inflammatory responses in LPS‐induced murine endometritis,success,no,,,
25,PMC6533032,"Macrophage subsets exhibit distinct E. coli-LPS tolerisable cytokines associated with the negative regulators, IRAK-M and Tollip",success,no,,,
