rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,yes,"Examples of these include Fzd1, Htr2b, Gpr84 (induced by LPS, Table 3), and P2ry1 and 5 (repressed by LPS, Table 4).","Micro-array analysis was used to assess the gene expression profile of GPCRs upon LPS treatment in primary mouse macrophages (BMM and TEPM). GPCRs regulated by LPS in primary mouse macrophages were defined as those that were 2-fold or greater up-regulated at 2, 6 or 24 h LPS in BMM and/or 1 or 7 h LPS in TEPM (and significantly different from controls, p-value < 0.05, Student's two-tailed t-test).",,LPS,yes->no: evidence does not name the gene
2,PMC10357040,Metabolite-sensing GPCRs controlling interactions between adipose tissue and inflammation,success,yes,yes,A similar increase in HCA2 expression in response to LPS is also observed in cultured adipocyte models in vitro (66).,"L25: HCA2 is highly expressed in both human and murine white and brown adipose tissue, with expression increasing through adipogenesis of common adipocyte cell models (62, 63).",HCA2,LPS,
3,bio_24b6555f70b8,Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,success,no,no,,,,,
4,PMC5301212,Activated niacin receptor HCA2 inhibits chemoattractant-mediated macrophage migration via Gβγ/PKC/ERK1/2 pathway and heterologous receptor desensitization,success,yes,yes,"L15: ""The expression was significantly enhanced following stimulation by LPS or IFN-γ alone.""","L65: ""Figure 1: The expression of HCA2 by RAW264.7 macrophages measured by RT-PCR (A–C) and Western blot (D–E). (A) RAW264.7 cells stimulated by IFN-γ (50 U/ml) and LPS (100 ng/ml) for 4 or 8 hs.""",HCA2,LPS,
5,PMC3356039,Biological Roles and Therapeutic Potential of Hydroxy-Carboxylic Acid Receptors,success,no,no,,,,,
6,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
7,PMC11496569,The hydroxycarboxylic acid receptor HCA2 is required for the protective effect of ketogenic diet in epilepsy,success,no,no,,,,,
8,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
9,PMC13253848,Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,success,no,no,,,,,
10,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
11,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
12,PMC7379312,Histone deacetylase 2 is essential for LPS‐induced inflammatory responses in macrophages,success,no,no,,,,,
13,PMC12957811,Anti-inflammatory and polarization-modulating effects of Houttuynia cordata in LPS-stimulated RAW264.7 macrophages,success,no,no,,,,,
14,PMC12562522,HCX3 Mitigates LPS-Induced Inflammatory Responses in Macrophages by Suppressing the Activation of the NF-κB Signaling Pathway,success,no,no,,,,,
15,PMC5583376,Expression and anti-inflammatory role of activin receptor-interacting protein 2 in lipopolysaccharide-activated macrophages,success,no,no,,,,,
16,PMC3254936,Lipopolysaccharide alters expression of incretin receptors in monocytic and hepatocytic cell lines,success,no,no,,,,,
17,PMC8784330,Signaling metabolite L-2-hydroxyglutarate activates the transcription factor HIF-1α in lipopolysaccharide-activated macrophages,success,no,no,,,,,
18,PMC10049283,The Regulatory Roles of Ezh2 in Response to Lipopolysaccharide (LPS) in Macrophages and Mice with Conditional Ezh2 Deletion with LysM-Cre System,success,no,no,,,,,
19,PMC7573489,Lactate Suppresses Macrophage Pro-Inflammatory Response to LPS Stimulation by Inhibition of YAP and NF-κB Activation  via  GPR81-Mediated Signaling,success,no,no,,,,,
20,PMC10110401,HuR modulation counteracts lipopolysaccharide response in murine macrophages,success,no,no,,,,,
21,PMC3936424,Methyl p-Hydroxycinnamate Suppresses Lipopolysaccharide-Induced Inflammatory Responses through Akt Phosphorylation in RAW264.7 Cells,success,no,no,,,,,
22,PMC13398632,Lipopolysaccharide uptake is augmented in lipopolysaccharide‐tolerant mouse macrophage‐like cells via increased CD14 expression,success,no,no,,,,,
23,PMC6199307,LncRNA HOTAIR regulates lipopolysaccharide-induced cytokine expression and inflammatory response in macrophages,success,no,no,,,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,no,,,,,
25,PMC4655095,Lipopolysaccharide induces a downregulation of adiponectin receptors in-vitro and in-vivo,success,no,no,,,,,
