title,authors,id,source,date,url,abstract
The expression of STEAP4 in peripheral blood predicts the outcome of septic patients,Haiyan Jiang; Yansong Dong; Dajun Yan; Yao Wu; Yue Wang; Yuting Ren; Guomin Mao; Guiwen Liang; Wei L...,Matched: STEAP4 expression was significantly increased in LPS-induced RAW264.7,cat /papers/PMC8576732/content.lines --lines 104-105,2021,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8576732/,STEAP4 expression in peripheral blood was measured in sepsis patients and inflammatory models. Elevated STEAP4 predicts sepsis patient outcomes and increases with inflammation.
Immune responses of six-transmembrane epithelial antigen of the prostate 4 functions as a novel biomarker in gastric cancer,Ze-Xuan Fang; Yan-Yu Hou; Zheng Wu; Bing-Xuan Wu; Yu Deng; Hua-Tao Wu; Jing Liu,Matched: Research conclusions,cat /papers/PMC10494559/content.lines --lines 181,2023-08-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10494559/,This study investigated STEAP4 expression in gastric cancer and its correlation with immune cell infiltration and prognosis. Higher STEAP4 expression is linked to increased immune infiltration and poorer prognosis in gastric cancer.
Six transmembrane epithelial antigens of the prostate to illustrate inflammatory response in gastrointestinal cancers,Yi-Han Wu; Lian-Xiang Luo,Matched: SIX TRANSMEMBRANE EPITHELIAL ANTIGENS OF THE PROSTATE AND IRON/COPPER,cat /papers/PMC11346062/content.lines --lines 15-17,2024-08-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11346062/,"This paper investigates the role of six transmembrane epithelial antigens of the prostate (STEAPs) in the inflammatory response of gastrointestinal cancers. STEAPs are found to be linked to tumor progression and inflammation, offering potential for GIC prevention and early intervention."
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
STEAP4 drives immune dysregulation in myocardial infarction–NSCLC comorbidity,Zhonghe Liu; Yuxi Yi; Wenwen Li; Zhexin Wang; Yukuan Lang; Lin Huang; Haoran Zhai; Liang Xu; Liang C...,Matched: In vivo validation of the critical role of STEAP4 in MI–NSCLC comorbid,cat /papers/PMC13364855/content.lines --lines 92-93,2026-06-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13364855/,"Myocardial infarction (MI) and non-small cell lung cancer (NSCLC) are leading causes of morbidity and mortality worldwide, with increasing evidence pointing to a complex comorbidity between them. Howe"
Inflammatory response in gastrointestinal cancers: Overview of six transmembrane epithelial antigens of the prostate in pathophysiology and clinical implications,Ze-Xuan Fang; Wen-Jia Chen; Zheng Wu; Yan-Yu Hou; Yang-Zheng Lan; Hua-Tao Wu; Jing Liu,Matched: STRUCTURAL CHARACTERISTICS OF STEAP FAMILY MEMBERS,cat /papers/PMC10823946/content.lines --lines 23-26,2024-01-24,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10823946/,This review examines the role of six transmembrane epithelial antigens of the prostate (STEAPs) in gastrointestinal cancers. STEAPs are implicated in cancer progression by influencing inflammatory responses and oxidative stress.
Inflammation mobilizes copper metabolism to promote colon tumorigenesis via an IL-17-STEAP4-XIAP axis,Yun Liao; Junjie Zhao; Katarzyna Bulek; Fangqiang Tang; Xing Chen; Gang Cai; Shang Jia; Paul L. Fox;...,Matched: IL-17 promotes copper uptake via the induction of STEAP4,cat /papers/PMC7021685/content.lines --lines 22-23,2020-02-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7021685/,"Inflammation, via IL-17, drives copper uptake through STEAP4, activating XIAP. This axis promotes colon tumor formation and is observed in human colon cancer."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
Lipopolysaccharide preconditioning augments the antibacterial activity of renal macrophages and ameliorates acute kidney injury caused by Staphylococcus aureus bacteremia in mice,Keiko Tanoue; Manabu Kinoshita; Bradley M Kearney; Seigo Ito; Hiroyasu Goto; Aoi Yamashiro; Tsugumi ...,Matched: LPS preconditioning,cat /papers/PMC12035103/content.lines --lines 20,2025-04-17,https://doi.org/10.1177/17534259251335770,"Lipopolysaccharide preconditioning was studied for its effects on renal macrophages and acute kidney injury in mice infected with *Staphylococcus aureus*. Preconditioning enhanced renal macrophage antibacterial activity, reducing bacterial growth and ameliorating kidney injury."
Hepatic STEAP4 promotes liver regeneration by regulating lysosomal iron homeostasis and membrane integrity in acetaminophen-induced liver injury,Peng Cao; Mengwei Niu; Hualong Zhu; Chen Zhang; Hao Zhu; Hangfei Xu; Wanqing Liu; Hong-Min Ni; Wen-X...,Matched: INTRODUCTION,cat /papers/PMC13480316/content.lines --lines 20,2026-03-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13480316/,Understanding the mechanisms behind liver repair in acetaminophen (APAP)-induced liver injury (AILI) is crucial for developing effective treatments. Six-transmembrane epithelial antigen of the prostat
