rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC2188743,"Endothelins, peptides with potent vasoactive properties, are produced by human macrophages",success,yes,yes,"From a basal level of 11 pg/ml, LPS induced a sixfold increase of endothelin 1 to 65 pg/ml. (L146-L148)","For stimulation experiments, 10 Wg/ml of LPS (Escherichia coli; Calbiochem-Behring Corp., La Jolla, CA), 10-7 M PMA (Sigma Chemical Co., St. Louis, MO), or 5 ng/ml ofTGF-0, kindly provided by Dr. Michael Sporn, National Cancer Institute, were added to the medium. (L95-L98)",endothelin 1,LPS;Escherichia,
2,PMC7779813,"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",success,yes,yes,The relative expression of Edn1 in cells treated with mmLDL and LPS was higher than that in cells treated with LPS alone (Figure 4A).,Macrophages were treated with LPS with or without mmLDL.,Edn1;EDN1,LPS,
3,PMC12429320,Rodent Models of Lung Disease: A Road Map for Translational Research,success,no,no,,,,,
4,PMC2365438,"Endothelin-1 stimulates human monocytes in vitro to release TNF-α , IL-1β and IL-6",success,no,no,,,,,
5,PMC7858588,Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells,success,no,no,,,,,
6,PMC4753051,Systemic and Splanchnic Lipopolysaccharide and Endothelin-1 Plasma Levels in Liver Cirrhosis before and after Transjugular Intrahepatic Portosystemic Shunt,success,no,no,,,,,
7,PMC5373621,Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,success,no,no,,,,,
8,PMC2629980,Preferential recruitment of neutrophils by endothelin-1 in acute lung inflammation induced by lipopolysaccharide or cigarette smoke,success,no,no,,,,,
9,PMC6881566,Enhanced Endothelin A and B Receptor Expression and Receptor-Mediated Vasoconstriction in Rat Mesenteric arteries after Lipopolysaccharide Challenge,success,no,no,,,,,
10,PMC5112853,Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,success,no,no,,,,,
11,PMC6144854,Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages,success,no,no,,,,,
12,PMC10634087,Extracellular vesicles derived from endothelial cells modulate macrophage phenotype in vitro,success,no,no,,,,,
13,PMC13483658,miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1,success,no,no,,,,,
14,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
15,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
16,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
17,PMC3826139,Chlorella 11-Peptide Inhibits the Production of Macrophage-Induced Adhesion Molecules and Reduces Endothelin-1 Expression and Endothelial Permeability,success,yes,yes,"L28: The addition of 50% RAW-conditioned medium strongly induced the endothelin-1 (ET-1) mRNA expression in SVEC4-10 endothelial cells (p < 0.005, Figure 5).","L47: For stimuli, the culture medium of SVEC4-10 cells was changed to “50% RAW-conditioned medium” (made of equal volume of SVEC4-10 medium and the supernatant of LPS-stimulated RAW264.7 culture medium) with and without Chlorella 11-peptide.",ET-1,LPS,
18,PMC10343049,A novel co-culture model for investigation of the effects of LPS-induced macrophage-derived cytokines on brain endothelial cells,success,no,no,,,,,
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
20,PMC6375194,Responses of perivascular macrophages to circulating lipopolysaccharides in the subfornical organ with special reference to endotoxin tolerance,success,no,no,,,,,
21,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
22,bio_5a4c8a837ab5,Macrophage EHD1 promotes inflammation and stabilizes sortilin to accelerate atherosclerosis,success,no,no,,,,,
23,PMC6396028,A novel role for myeloid endothelin-B receptors in hypertension,success,yes,yes,"BMDM stimulation with LPS/INF̲ͣg (but not IL-4/IL-13) increased the media concentration of ET-1 at 24 h (see Supplementary material online, Figure S7), an effect that was blocked by phosphoramidon, an inhibitor of endothelin converting enzyme (ECE) which catalyzes the conversion of big ET-1 to the mature peptide.","To examine the role of the Mͦ ETB receptor in greater detail, we generated novel mice deficient in ETB on myeloid cells alone (LysMETB-/-).",ET-1,LPS,
24,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,no,,,,,
25,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,no,,,,,
