rank,paper_id,title,judge_status,answer,evidence,evidence_names,evidence_stimulus,downgraded
1,PMC6245571,Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,success,yes,"In rats, as in mice (19), LPS greatly increased (18-fold) expression of the cationic amino acid transporter, Slc7a2, whereas goats were the only large animal species in which SLC7A2 mRNA was detectable (TPM 6) and regulated to any degree by LPS, with an induced level (TPM≈16) still lower than the basal level in the rat (TPM 46).",Slc7a2,LPS,
2,PMC7128890,FOCIS abstract supplement,success,no,,,,
3,PMC12268560,The NF-κB-SLC7A11 axis regulates ferroptosis sensitivity in inflammatory macrophages,success,no,,,,
4,PMC6411972,Characterisation of genes differentially expressed in macrophages by virulent and attenuated Mycobacterium tuberculosisthrough RNA-Seq analysis,success,yes,The expression level of Slc7a2 was significantly increased later (12–24 h) after infection in Ra-infected macrophages compared with macrophages infected with Rv (Fig. 3A–C).,Slc7a2,infection;infected,
5,PMC11112377,Amino acid transporters within the solute carrier superfamily: Underappreciated proteins and novel opportunities for cancer therapy,success,no,,,,
6,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,,
7,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,,
8,PMC3237590,Cationic Amino Acid Transporter 2 Enhances Innate Immunity during Helicobacter pylori Infection,success,yes,"While iNOS protein expression was induced in infected wild type mice, levels were substantially decreased in infected CAT2−/− mice (Figure 3A).",Cat2,infected,
9,PMC5526900,l-Arginine Uptake by Cationic Amino Acid Transporter Promotes Intra-Macrophage Survival of Leishmania donovani by Enhancing Arginase-Mediated Polyamine Synthesis,success,no,,,,
10,PMC4188127,“Of Mice and Men”: Arginine Metabolism in Macrophages,success,no,,,,
11,PMC10412850,Sulfur metabolic response in macrophage limits excessive inflammatory response by creating a negative feedback loop,success,no,,,,
12,PMC12950507,Slc7a11‐Mediated Cystine/Glutamate Antiport Reprograms Macrophage Polarization and Ameliorates Atherosclerosis,success,no,,,,
13,PMC2999609,In Lysinuric Protein Intolerance system y+L activity is defective in monocytes and in GM-CSF-differentiated macrophages,success,no,,,,
14,PMC3507808,A new metabolomic assay to examine inflammation and redox pathways following LPS challenge,success,no,,,,
15,PMC7891337,Frontline Science: LPS‐inducible SLC30A1 drives human macrophage‐mediated zinc toxicity against intracellular Escherichia coli,success,no,,,,
16,PMC7386301,Species-Specificity of Transcriptional Regulation and the Response to Lipopolysaccharide in Mammalian Macrophages,success,no,,,,
17,PMC2265428,Cationic Amino Acid Transporter-2 Regulates Immunity by Modulating Arginase Activity,success,yes,"Several pro-inflammatory mediators including LPS can regulate the expression of CAT2; thus, it likely functions as the key L-arginine transporter during inflammatory responses.",Cat2,LPS,
18,PMC5868322,Downregulation of SLC7A7 Triggers an Inflammatory Phenotype in Human Macrophages and Airway Epithelial Cells,success,no,,,,
19,PMC12713647,"Single-cell to pre-clinical evaluation of Trem2, Folr2, and Slc7a7 as macrophage-associated biomarkers for atherosclerosis",success,no,,,,
20,PMC7232099,Solute Carrier Family 37 Member 2 (SLC37A2) Negatively Regulates Murine Macrophage Inflammation by Controlling Glycolysis,success,no,Toll-like receptor (TLR) 4 stimulation by lipopolysaccharide (LPS) rapidly increases macrophage SLC37A2 protein expression.,,lipopolysaccharide;LPS,yes->no: evidence does not name the gene
21,PMC5788887,Role of SLC7A5 in Metabolic Reprogramming of Human Monocyte/Macrophage Immune Responses,success,no,,,,
22,PMC8702732,Hematopoietic Cell-Specific SLC37A2 Deficiency Accelerates Atherosclerosis in LDL Receptor-Deficient Mice,success,no,,,,
23,PMC6377304,Loss of Solute Carrier Family 7 Member 2 Exacerbates Inflammation-Associated Colon Tumorigenesis,success,yes,IFN-\u03b3 + LPS stimulation resulted in robust expression of the M1 markers Nos2 and Il1b (Figure 6a) in both WT and Slc7a2\u2013/\u2013 BMmacs.,Slc7a2,LPS,
24,PMC4051248,Expression and Regulation of the Proton-Coupled Oligopeptide Transporter PhT2 by LPS in Macrophages and Mouse Spleen,success,no,,,,
25,PMC11077379,Aberrant Expression of SLC7A11 Impairs the Antimicrobial Activities of Macrophages in Staphylococcus Aureus Osteomyelitis in Mice,success,no,,,,
