title,authors,id,source,date,url,abstract
Comparative Analyses of Transcriptional Profiles in Mouse Organs Using a Pneumonic Plague Model after Infection with Wild-Type Yersinia pestis CO92 and Its Braun Lipoprotein Mutant,Cristi L. Galindo; Scott T. Moen; Elena V. Kozlova; Jian Sha; Harold R. Garner; Stacy L. Agar; Ashok...,Matched: Supplementary Material,cat /papers/PMC2817383/content.lines --lines 1059-1062,2010-01-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2817383/,"Transcriptional profiles of mouse organs were analyzed after infection with wild-type and a mutant *Yersinia pestis*. The absence of Braun lipoprotein altered host cell signaling, affecting immune response and apoptosis."
Adventitial macrophage accumulation impairs perivascular nerve function in mesenteric arteries with inflammatory bowel disease,"Elizabeth A. Grunz, Benjamin W. Jones, Olubodun Lateef, Sidharth Sen, Katie Wilkenson, Trupti Joshi,...",Matched: # Supplementary Table 1. Complete listing of differentially expressed,cat /papers/bio_582891fd6ece/content.lines --lines 371-384,2023-04-04,,"Adventitial macrophages accumulate in mesenteric arteries with inflammatory bowel disease, impairing perivascular nerve function. Depleting these macrophages restores normal nerve-mediated vasodilation and vasoconstriction."
The renal inflammatory network of nephronophthisis,"Marceau Quatredeniers, Frank Bienaimé, Giulia Ferri, Pierre Isnard, Esther Porée, Katy Billot, Eléon...",Matched: c. Human urines,cat /papers/bio_182dc4406e54/content.lines --lines 199,2021-01-07,,"This study investigated the renal inflammatory network in nephronophthisis (NPH) using mouse models and patient samples. NPH triggers a distinct inflammatory response from ADPKD, involving neutrophils and T cells, and mediated by CCL2-independent inflammatory mediators."
Genome-wide siRNA screen of genes regulating the LPS-induced TNF-α response in human macrophages,Jing Sun; Samuel Katz; Bhaskar Dutta; Ze Wang; Iain D.C. Fraser,Matched: Screening reagents,cat /papers/PMC5332009/content.lines --lines 34-37,2017-03-01,https://doi.org/10.1038/sdata.2017.7,A genome-wide siRNA screen identified genes regulating the LPS-induced TNF-α response in human macrophages. Novel hits broadly affect innate inflammatory responses to microbial stimuli.
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Hepatic Gene Expression Profiling in Nrf2 Knockout Mice after Long-Term High-Fat Diet-Induced Obesity,Dionysios V. Chartoumpekis; Panos G. Ziros; Apostolos Zaravinos; Ralitsa P. Iskrenova; Agathoklis I....,Matched: Supplementary Material,cat /papers/PMC3654373/content.lines --lines 277-310,2013-04-18,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3654373/,Gene expression in the livers of mice fed a high-fat diet was profiled. Nrf2 knockout mice showed altered expression of genes involved in metabolic regulation.
LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,"Andreas Hald, Birgitte Rønø, Leif R. Lund, Kristoffer L. Egerod",Matched: Abstract,cat /papers/PMC3317238/content.lines --lines 1-8,2012-01-01,https://doi.org/10.1155/2012/157894,"LPS stimulation of murine macrophages was studied for its effect on extracellular protease and inhibitor gene expression. LPS differentially regulates matrix metalloproteinases and serine proteases, impacting extracellular matrix degradation."
Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,"Sobia Raza, Mark W. Barnett, Zohar Barnett-Itzhaki, Ido Amit, David A. Hume, Tom C. Freeman",PMC4378362,PMC,2014-08-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4378362/,Transcriptomic data was analyzed to understand macrophage activation by inflammatory mediators. The LPS response can be divided into more co-regulated gene subsets than previously thought.
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,Frontiers in Immunology,2020-02-25,https://doi.org/10.3389/fimmu.2020.00234,
Transcriptional profiling of the LPS induced NF-κB response in macrophages,"Omar Sharif, Viacheslav N Bolshakov, Stephanie Raines, Peter Newham, Neil D Perkins",PMC1781469,biomedrxiv,2007-01-01,https://doi.org/10.1186/1471-2172-8-1,"This study profiled gene expression in macrophages after LPS exposure. LPS induced a dynamic, time-dependent transcriptional response, with THP-1 cells closely mimicking primary macrophages."
N6-methyladenosine of Spi2a attenuates inflammation and sepsis-associated myocardial dysfunction in mice,Xiangyu Wang; Yan Ding; Ran Li; Rujun Zhang; Xuejun Ge; Ruifang Gao; Miao Wang; Yubing Huang; Fang Z...,Matched: Human orthologue SERPINA3 suppresses LPS-induced cytokines in human ma,cat /papers/PMC9979126/content.lines --lines 49-50,2023-03-02,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9979126/,"Spi2a's m6A methylation attenuates inflammation and myocardial dysfunction in sepsis. This methylation inactivates the NF-κB pathway, reducing pro-inflammatory cytokine production and organ damage."
"Relationship between Circulating Serpina3g, Matrix Metalloproteinase-9, and Tissue Inhibitor of Metalloproteinase-1 and -2 with Chronic Obstructive Pulmonary Disease Severity",Pelin Uysal; Hafize Uzun,Matched: 2.2.2. Measurement of Plasma Serpina3g Concentration,cat /papers/PMC6406460/content.lines --lines 28,2019-02-13,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6406460/,"This study investigated circulating levels of serpina3g, MMP-9, and TIMP-1/-2 in COPD patients. Higher levels of these proteins correlate with COPD severity and emphysema, suggesting a role in airway remodeling and injury."
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,Critical Care,2002-03-01,https://doi.org/10.1186/cc1554,
The Transcription Factor C/EBP-β Mediates Constitutive and LPS-Inducible Transcription of Murine SerpinB2,Ekemini A. Udofa; Brett W. Stringer; Padmaja Gade; Donna Mahony; Marguerite S. Buzza; Dhananjaya V. ...,Matched: Introduction,cat /papers/PMC3589482/content.lines --lines 12-13,2013-03-05,https://doi.org/10.1371/journal.pone.0057855,The murine SerpinB2 promoter was analyzed for LPS-inducible regulatory regions. C/EBP-β mediates both constitutive and LPS-induced SerpinB2 transcription.
Epigenetic profile in lipopolysaccharide-stimulated macrophages,Ester Correia Sarmento Rios; Thais Martins Lima Salgado; Francisco Garcia Soriano,PMC3953056,Critical Care,2013-11-05,https://doi.org/10.1186/cc12987,
Serine Supports IL-1β Production in Macrophages Through mTOR Signaling,Siyuan Chen; Yaoyao Xia; Fang He; Jian Fu; Zhongquan Xin; Baichuan Deng; Liuqin He; Xihong Zhou; Wen...,Matched: LPS Challenge in Mice,cat /papers/PMC7481448/content.lines --lines 30,2020-08-27,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7481448/,Serine deprivation was studied for its effect on macrophage IL-1β production and inflammasome activation. Serine supports IL-1β production in macrophages by activating mTOR signaling.
