title,authors,id,source,date,url,abstract
INVOLVEMENT OF MACROPHAGES IN COLLAGEN RESORPTION,Paul F. Parakkal,PMC2107732,The Journal of Cell Biology,1969-04-01,https://doi.org/10.1083/jcb.41.1.345,
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",Matched: In vivo M1(=LPS+)C57BL/6J Exclusive Genes Drive Anti-bacterial Immune,cat /papers/PMC6543837/content.lines --lines 40-43,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Collagen Fibril Density Modulates Macrophage Activation and Cellular Functions during Tissue Repair,Jiranuwat Sapudom; Walaa Kamal E. Mohamed; Anna Garcia-Sabaté; Aseel Alatoom; Shaza Karaman; Nikhil ...,Matched: 3.4. M-LPS/-IFNγ Enhances Infiltration of Monocytic Cells into 3D Coll,cat /papers/PMC7356036/content.lines --lines 53,2020-03-31,https://doi.org/10.3390/bioengineering7020033,This study investigated how collagen fibril density affects macrophage activation and function. Increased collagen density enhances cytokine secretion and influences macrophage roles in tissue repair.
LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,Peng Yuan; Yukang Que; Yulei Liu; Peng He; Zehao Guo; Yong Hu,Matched: Effect of LPS and CD47mAb on macrophage activation,cat /papers/PMC10091190/content.lines --lines 52,2023-03-28,https://doi.org/10.3892/ol.2023.13777,"This study investigated the combined effect of LPS and CD47mAb on macrophage anti-osteosarcoma activity. The combination significantly enhanced macrophage phagocytosis, suppressed tumor growth and migration, and promoted apoptosis."
Interleukins-27 Aggravates Liver Injury by Impairing the Antimicrobial Response of Macrophages via the Promotion of Mitochondrial Dysfunction in the Context of Sepsis,Yuehua You; Yuyan Li; Lin Ye; Fang Xu; Jing Fan,Matched: 2.4. Cell Culture,cat /papers/PMC11882325/content.lines --lines 27,2025-02-26,https://doi.org/10.1155/mi/6608718,"IL-27 exacerbates liver injury in sepsis by impairing macrophage antimicrobial responses. This occurs through IL-27-induced mitochondrial dysfunction, which reduces bacterial clearance."
Transcriptome Analysis Provides Insights into the Markers of Resting and LPS-Activated Macrophages in Grass Carp (Ctenopharyngodon idella),Yazhen Hu; Xiaolei Wei; Zhiwei Liao; Yu Gao; Xiaoling Liu; Jianguo Su; Gailing Yuan,Matched: 3. Discussion,cat /papers/PMC6274997/content.lines --lines 36-38,2018-11-12,https://doi.org/10.3390/ijms19113562,"This study analyzed the transcriptomes of resting and LPS-activated grass carp macrophages. Four novel cell surface markers and two chemokines were identified as potential macrophage markers, with others indicating activation."
IL-27 neutralization enhances macrophage polarization and improves immune checkpoint efficacy,"Quentin Glaziou, Laetitia Basset, Sènan d’Almeida, Pascale Pignon, Nabila Jabrane-Ferrat, Christophe...",Matched: IL-27 neutralization during macrophage differentiation reduces immunos,cat /papers/bio_5e67bb726e21/content.lines --lines 56-58,2024-09-13,,"IL-27 neutralization was studied for its effects on tumor-associated macrophages and the tumor immune microenvironment. Blocking IL-27 repolarized macrophages, enhancing T cell responses and immune checkpoint therapy efficacy."
Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,Jun Liang; Yingli Cai; Yiming Shao,Matched: LPS Induces M1 Polarization and Inflammatory Response in RAW264.7 Macr,cat /papers/PMC13199726/content.lines --lines 100-101,2026-05-20,https://doi.org/10.2147/IDR.S590998,"Gram-negative bacterial infection is a major cause of severe inflammatory disorders and cellular damage, with lipopolysaccharide (LPS) as a key pathogenic trigger. Macrophages are central players in L"
Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,Zhengjiang Qian; Chunhua Liu; Hongchao Li; Haiyang Yang; Jianhao Wu; Jing Liu; Yanjiao Li; Xuhui Che...,Matched: 4. Discussion,cat /papers/PMC9138386/content.lines --lines 58-59,2022-04-27,https://doi.org/10.3390/biomedicines10051006,"Osteocalcin alleviates LPS-induced acute inflammation by activating GPR37 in macrophages. This activation reduces inflammatory cytokine release and enhances phagocytic function, offering a potential therapeutic strategy."
IL-27 amplifies cytokine responses to Gram-negative bacterial products and Salmonella typhimurium infection,C. Petes; N. Odoardi; S. M. Plater; N. L. Martin; K. Gee,Matched: Co-stimulation of LPS and IL-27 upregulates proinflammatory cytokine e,cat /papers/PMC6135775/content.lines --lines 14-15,2018-09-12,https://doi.org/10.1038/s41598-018-32007-y,This study investigated IL-27's effect on human monocyte and macrophage responses to bacterial products and infection. IL-27 amplified pro-inflammatory cytokine production in response to LPS and *Salmonella typhimurium* infection.
