rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC12043092,Activin A activation of Smad3 mitigates innate inflammation in mouse models of psoriasis and sepsis,success,yes,yes,"Strikingly, the mRNA of Inhba (encoding activin A) and the protein levels of activin A were both markedly increased with a peak at 6 hours (Figure 2, A and B).",RT-qPCR analysis in macrophages stimulated by LPS.,Inhba;INHBA,LPS,
2,PMC10394090,Identification of INHBA as a potential biomarker for gastric cancer through a comprehensive analysis,success,no,no,,,,,
3,PMC9845242,In vivo induction of activin A-producing alveolar macrophages supports the progression of lung cell carcinoma,success,no,no,,,,,
4,PMC5147992,A Key Role for Inhibins in Dendritic Cell Maturation and Function,success,no,yes,"Our results show that Activin A is produced after 6h of LPS stimulation and further increases up to 24h hours, while Inhibin A is secreted by BMDC after 6 hours of LPS stimulation, having a maximum concentration at 18 hours, which decreased at 24 hours.","Supernatants from BMDC cultures stimulated with LPS, LPS + Inhibin A or with media alone were collected 3, 6, 12, 18 and 24 hours after stimulation and stored at -20°C until use.",,LPS,yes->no: evidence does not name the gene
5,PMC12741050,Inhibin beta A drives colorectal cancer progression through macrophage M2 polarization and mitochondria-dependent ferroptosis suppression,success,no,no,,,,,
6,PMC7729633,Expression and role of ABIN1 in sepsis: In vitro and in vivo studies,success,no,no,,,,,
7,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,no,,,,,
8,PMC12067746,INHBA+ macrophages and Pro-inflammatory CAFs are associated with distinctive immunosuppressive tumor microenvironment in submucous Fibrosis-Derived oral squamous cell carcinoma,success,no,no,,,,,
9,PMC8899166,M2‐phenotype tumour‐associated macrophages upregulate the expression of prognostic predictors MMP14 and INHBA in pancreatic cancer,success,no,no,,,,,
10,PMC9580937,Increased Expression of INHBA Is Correlated With Poor Prognosis and High Immune Infiltrating Level in Breast Cancer,success,no,no,,,,,
11,PMC2119340,Lipopolysaccharide (LPS) partial structures inhibit responses to LPS in a human macrophage cell line without inhibiting LPS uptake by a CD14- mediated pathway,success,no,no,,,,,
12,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,no,,,,,
13,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
14,PMC6885285,Targeting INHBA in Ovarian Cancer Cells Suppresses Cancer Xenograft Growth by Attenuating Stromal Fibroblast Activation,success,no,no,,,,,
15,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
16,PMC12346749,Lipopolysaccharide-Activated Macrophages Suppress Cellular Senescence and Promote Rejuvenation in Human Dermal Fibroblasts,success,no,no,,,,,
17,PMC7200988,Lipopolysaccharide modulation of ovarian hormonal profile1,success,no,no,,,,,
18,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
19,PMC8119210,Adrenergic-mediated increases in INHBA drive CAF phenotype and collagens,success,no,no,,,,,
20,PMC10869703,INHBA(+) cancer-associated fibroblasts generate an immunosuppressive tumor microenvironment in ovarian cancer,success,no,no,,,,,
21,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,no,,,,,
22,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,no,,,,,
23,PMC3046894,Soybean-derived Bowman-Birk inhibitor inhibits neurotoxicity of LPS-activated macrophages,success,no,no,,,,,
24,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,no,,,,,
25,PMC10342172,α-Aminobutyric Acid Constrains Macrophage-Associated Inflammatory Diseases through Metabolic Reprogramming and Epigenetic Modification,success,no,no,,,,,
