rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC12766987,Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,filtered_out,no,,,
2,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,filtered_out,no,,,
3,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
4,PMC12130849,Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,filtered_out,no,,,
5,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,filtered_out,no,,,
6,PMC10068325,The ion channel CALHM6 controls bacterial infection‐induced cellular cross‐talk at the immunological synapse,filtered_out,no,,,
7,PMC12308322,Store-operated calcium entry facilitates LPS-induced superoxide anion-dependent macrophage extracellular traps,filtered_out,no,,,
8,PMC8591423,Resolving macrophage polarization through distinct Ca2+ entry channel that maintains intracellular signaling and mitochondrial bioenergetics,filtered_out,no,,,
9,PMC5484384,Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,filtered_out,no,,,
10,PMC3333514,Monocyte normal immune response to LPS stimulation,filtered_out,no,,,
11,PMC4904125,Inhibition of Extracellular Calcium Influx Results in Enhanced IL-12 Production in LPS-Treated Murine Macrophages by Downregulation of the CaMKKβ-AMPK-SIRT1 Signaling Pathway,filtered_out,no,,,
12,PMC7015811,Structure and assembly of calcium homeostasis modulator proteins,filtered_out,no,,,
13,PMC13383683,Correction to “Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses”,filtered_out,no,,,
14,PMC8386937,Microglial Calhm2 regulates neuroinflammation and contributes to Alzheimer’s disease pathology,filtered_out,no,,,
15,PMC9563021,Baicalin Modulates Inflammatory Response of Macrophages Activated by LPS via Calcium-CHOP Pathway,filtered_out,no,,,
16,PMC10789631,"CTRP6 promotes the macrophage inflammatory response, and its deficiency attenuates LPS-induced inflammation",filtered_out,no,,,
17,PMC9916843,Moutan Cortex Extract Modulates Macrophage Activation via Lipopolysaccharide-Induced Calcium Signaling and ER Stress-CHOP Pathway,filtered_out,no,,,
18,PMC7556292,miR-106a Targets Anoctamin 1 (ANO1) to Regulate Lipopolysaccharide (LPS)-Induced Inflammatory Response in Macrophages,filtered_out,no,,,
19,PMC12032354,Dietary targeting of TRPM8 rewires macrophage immunometabolism reducing colitis severity,filtered_out,no,,,
20,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
21,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,filtered_out,no,,,
22,PMC5063294,Calcitonin Peptide Family Members Are Differentially Regulated by LPS and Inhibit Functions of Rat Alveolar NR8383 Macrophages,filtered_out,no,,,
23,PMC10046163,Mitochondrial Calcium Nanoregulators Reverse the Macrophage Proinflammatory Phenotype Through Restoring Mitochondrial Calcium Homeostasis for the Treatment of Osteoarthritis,filtered_out,no,,,
24,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,filtered_out,no,,,
25,PMC13206805,Calcium Signaling in Macrophages During a Wound Response In Vivo,filtered_out,no,,,
