gene	query	search_id	date	rank	paper_id	title	verdict	status
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	1	PMC4188127	“Of Mice and Men”: Arginine Metabolism in Macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	2	PMC7905073	Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	3	PMC6245571	Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	4	PMC8146495	Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	5	PMC7851796	Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	6	PMC4049611	A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	7	PMC12592619	Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	8	PMC4284740	Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	9	PMC2365621	Modulation of nitric oxide synthase activity in macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	10	PMC3891534	Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	11	PMC1698482	Inhibition of inducible Nitric Oxide Synthase by a mustard gas analog in murine macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	12	PMC10898816	Internal ribosomal entry site-mediated translational activity of nitric oxide synthase 2	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	13	PMC9368968	Hypoxia Aggravates Inhibition of Alveolar Epithelial Na-Transport by Lipopolysaccharide-Stimulation of Alveolar Macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	14	PMC5751240	Lipopolysaccharide-Induced Nitric Oxide, Prostaglandin E2, and Cytokine Production of Mouse and Human Macrophages Are Suppressed by Pheophytin-b	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	15	PMC5955621	Mannan-induced Nos2 in macrophages enhances IL-17–driven psoriatic arthritis by innate lymphocytes	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	16	PMC2811838	The inhibitory effect of quercitrin gallate on iNOS expression induced by lipopolysaccharide in Balb/c mice	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	17	PMC2191051	Promoter of the mouse gene encoding calcium-independent nitric oxide synthase confers inducibility by interferon gamma and bacterial lipopolysaccharide	yes	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	18	PMC4191211	Nitric Oxide Synthase: Non-Canonical Expression Patterns	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	19	PMC13029237	Formulation of Gamma-Oryzanol Encapsulated Nanoparticles and Their Modulation Effects on Inducible Nitric Oxide Synthase and Nitric Oxide in LPS-Stimulated RAW 264.7 Macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	20	PMC2190891	Lipopolysaccharide-induced selective priming effects on tumor necrosis factor alpha and nitric oxide production in mouse peritoneal macrophages	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	21	PMC4088763	Nitric oxide synthase 2-derived NO in endotoxemia is not sufficient to cause hemodynamic effects	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	22	PMC5967330	Macrophage inducible nitric oxide synthase circulates inflammation and promotes lung carcinogenesis	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	23	PMC6920088	Inducible nitric oxide synthase-derived extracellular nitric oxide flux regulates proinflammatory responses at the single cell level	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	24	PMC12572803	Nitroalkene inhibition of pro-inflammatory macrophage effector function via modulation of signaling metabolite levels	no	ok
Nos2	Nos2 (nitric oxide synthase 2, inducible) LPS macrophage	s_fc600d2c	2026-09-24T22:58:14Z	25	PMC4577833	NOS1-derived nitric oxide promotes NF-κB transcriptional activity through inhibition of suppressor of cytokine signaling-1	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	1	PMC7689184	TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	2	PMC8812784	TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	3	PMC6543837	Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	4	PMC3431012	LITAF and TNFSF15, two downstream targets of AMPK, exert inhibitory effects on tumor growth	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	5	PMC3959508	Identifying and testing candidate genetic polymorphisms in irritable bowel syndrome: association with TNFSF15 and tumor necrosis factor-α	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	6	PMC12294962	Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	7	PMC6130856	Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	8	PMC9161903	Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	9	PMC6584785	Distinct Expression Patterns of Two Tumor Necrosis Factor Superfamily Member 15 Gene Isoforms in Human Colon Cancer	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	10	PMC12872506	GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	11	PMC13372918	Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	12	PMC8155903	Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	13	PMC3333514	Monocyte normal immune response to LPS stimulation	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	14	PMC5979423	Cytokine Expression and Macrophage Localization in Xenograft and Allograft Tumor Models Stimulated with Lipopolysaccharide	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	15	PMC5954968	Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	16	PMC9456100	Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	17	PMC9778199	Genetic and Epigenetic Etiology of Inflammatory Bowel Disease: An Update	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	18	PMC8456026	The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	19	PMC5358891	Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	20	PMC11994614	Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	21	PMC11242731	Macrophages as a Source and Target of GDF-15	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	22	PMC1781469	Transcriptional profiling of the LPS induced NF-κB response in macrophages	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	23	PMC5430818	Growth Differentiation Factor-15 Deficiency Augments Inflammatory Response and Exacerbates Septic Heart and Renal Injury Induced by Lipopolysaccharide	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	24	PMC10690882	TNFSF15 facilitates the differentiation of CD11b+ myeloid cells into vascular pericytes in tumors	no	ok
Tnfsf15	Tnfsf15 (tumor necrosis factor (ligand) superfamily, member 15) LPS macrophage	s_788da534	2026-09-24T22:58:20Z	25	PMC6384511	Role of TNFSF15 in the intestinal inflammatory response	no	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_1f79b477	2026-09-24T22:58:14Z	1	PMC2213356	Complementation of Lymphotoxin α Knockout Mice with Tumor Necrosis Factor–expressing Transgenes Rectifies Defective Splenic Structure and Function	no	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_1f79b477	2026-09-24T22:58:14Z	2	PMC3654183	Antagonism of the histamine H4 receptor reduces LPS-induced TNF production in vivo	yes	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_1f79b477	2026-09-24T22:58:14Z	3	PMC6990626	Transmembrane TNFα-Expressed Macrophage Membrane-Coated Chitosan Nanoparticles as Cancer Therapeutics	no	ok
Tnf	Tnf (tumor necrosis factor) LPS macrophage	s_1f79b477	2026-09-24T22:58:14Z	4	PMC2119110	Macrophage priming and lipopolysaccharide-triggered release of tumor necrosis factor alpha during graft-versus-host disease	yes	ok
