title,authors,id,source,date,url,abstract
Expression analysis of G Protein-Coupled Receptors in mouse macrophages,Jane E Lattin; Kate Schroder; Andrew I Su; John R Walker; Jie Zhang; Tim Wiltshire; Kaoru Saijo; Chr...,Matched: LPS-regulated GPCR expression in mouse macrophages,cat /papers/PMC2394514/content.lines --lines 134-162,2008-04-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2394514/,"This study analyzed GPCR expression in mouse macrophages, comparing it to other cell types and LPS-stimulated macrophages. Several P2RY family members showed macrophage-specific expression or LPS-regulated changes, suggesting roles in macrophage biology and inflammation."
Metabolite-sensing GPCRs controlling interactions between adipose tissue and inflammation,Elaine M. Duncan; Luca Vita; Bethany Dibnah; Brian D. Hudson,Matched: Hydroxyl carboxylic acid receptors,cat /papers/PMC10357040/content.lines --lines 25-27,2023-07-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10357040/,"This paper reviews metabolite-sensing GPCRs in adipose tissue and their role in inflammation. These receptors, activated by fatty acids, hydroxy carboxylic acids, and succinate, are critical for metabolic-immune interactions."
Hydroxycarboxylic acid receptor 2 (HCAR2/GPR109A) expression and signaling promotes the maintenance of an immunoinhibitory retinal environment,"Folami L. Powell, Amany Tawfik, Pachiappan Arjunan, Deeksha Gambhir Chopra, Mohamed Al-Shabrawey, Na...",Matched: Lipopolysaccharide (LPS)-induced uveitis,cat /papers/bio_24b6555f70b8/content.lines --lines 56,2021-03-15,,"HCAR2/GPR109A expression was studied in retinal cells and its role in immune regulation investigated. HCAR2/GPR109A activation promotes an immunoinhibitory retinal environment, potentially protecting against degenerative diseases."
Activated niacin receptor HCA2 inhibits chemoattractant-mediated macrophage migration via Gβγ/PKC/ERK1/2 pathway and heterologous receptor desensitization,Ying Shi; Xiangru Lai; Lingyan Ye; Keqiang Chen; Zheng Cao; Wanghua Gong; Lili Jin; Chunyan Wang; Mi...,Matched: LPS-induced acute endotoxemia in mice,cat /papers/PMC5301212/content.lines --lines 56-57,2017-02-10,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5301212/,"Activated niacin receptor HCA2 was studied in macrophages to understand its role in inflammation. Niacin inhibits macrophage migration via Gβγ/PKC/ERK1/2 signaling and receptor desensitization, protecting against septic shock."
Biological Roles and Therapeutic Potential of Hydroxy-Carboxylic Acid Receptors,Kashan Ahmed,Matched: Conclusion and Future Perspectives,cat /papers/PMC3356039/content.lines --lines 83-84,2011-10-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3356039/,Hydroxy-carboxylic acid receptors (HCARs) are activated by metabolic intermediates and expressed in adipose tissue. They regulate lipolysis and represent promising therapeutic targets for metabolic diseases.
The hydroxycarboxylic acid receptor HCA2 is required for the protective effect of ketogenic diet in epilepsy,Jill C. Richardson; Guy A. Higgins; Neil Upton; Peter Massey; Mark Cunningham; Steve Wilson; Joerg H...,PMC11496569,PMC,2024-10-22,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11496569/,"This study investigated the role of the HCA2 receptor in the ketogenic diet's anti-seizure effects. The HCA2 receptor is essential for the diet's protective benefits, suggesting it's a potential therapeutic target for epilepsy."
"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",Leah Elson; Niels Eijkelkamp; J. Henk Coert,Matched: Study overview,cat /papers/PMC13372918/content.lines --lines 49-52,2026-07-15,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13372918/,This systematic review synthesized evidence for a conserved lipopolysaccharide (LPS)-mediated pathogenic mechanism across diverse tissues and evaluated its potential relevance to peripheral neuropathy
Dysregulation of macrophage lipid metabolism underlies intracellular bacterial neuroinvasion,Zhou Sha; Kun Yang; Shoupeng Fu; Xiaoyong Tong; Hui Yang; Huiling Fang; Qianqian He; Ning Li; Xinyu ...,Matched: BHB promotes the survival of macrophages via HCAR2-mediated calcium in,cat /papers/PMC13253848/content.lines --lines 49-50,2026-04-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC13253848/,"Acute central nervous system infection is highly lethal, yet the mechanisms by which intracellular bacteria infiltrate the brain remain unclear. Phagocytes are central to host defense, but how infecte"
Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,Marco Orecchioni; Yanal Ghosheh; Akula Bala Pramod; Klaus Ley,PMC7053374,PMC,2020-02-25,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7053374/,
Monocyte normal immune response to LPS stimulation,P Myrianthefs; K Venetsanou; E Grouzi; E Boutzouka; P Evagelopoulou; G Fildissis; I Spiliotopoulou; ...,PMC3333514,PMC,2002-03-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3333514/,
