rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC7689184,TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants,filtered_out,no,,,
2,PMC8812784,TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth,filtered_out,no,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
4,PMC3431012,"LITAF and TNFSF15, two downstream targets of AMPK, exert inhibitory effects on tumor growth",filtered_out,no,,,
5,PMC3959508,Identifying and testing candidate genetic polymorphisms in irritable bowel syndrome: association with TNFSF15 and tumor necrosis factor-α,filtered_out,no,,,
6,PMC12294962,"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",filtered_out,no,,,
7,PMC6130856,Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease,filtered_out,no,,,
8,PMC9161903,Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,filtered_out,no,,,
9,PMC6584785,Distinct Expression Patterns of Two Tumor Necrosis Factor Superfamily Member 15 Gene Isoforms in Human Colon Cancer,filtered_out,no,,,
10,PMC12872506,GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury,filtered_out,no,,,
11,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",filtered_out,no,,,
12,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,filtered_out,no,,,
13,PMC3333514,Monocyte normal immune response to LPS stimulation,filtered_out,no,,,
14,PMC5979423,Cytokine Expression and Macrophage Localization in Xenograft and Allograft Tumor Models Stimulated with Lipopolysaccharide,filtered_out,no,,,
15,PMC5954968,Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155,filtered_out,no,,,
16,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",filtered_out,no,,,
17,PMC9778199,Genetic and Epigenetic Etiology of Inflammatory Bowel Disease: An Update,filtered_out,no,,,
18,PMC8456026,The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis,filtered_out,no,,,
19,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,filtered_out,no,,,
20,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,filtered_out,no,,,
21,PMC11242731,Macrophages as a Source and Target of GDF-15,filtered_out,no,,,
22,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,filtered_out,no,,,
23,PMC5430818,Growth Differentiation Factor-15 Deficiency Augments Inflammatory Response and Exacerbates Septic Heart and Renal Injury Induced by Lipopolysaccharide,filtered_out,no,,,
24,PMC10690882,TNFSF15 facilitates the differentiation of CD11b+ myeloid cells into vascular pericytes in tumors,filtered_out,no,,,
25,PMC6384511,Role of TNFSF15 in the intestinal inflammatory response,filtered_out,no,,,
