rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC9833968,LIPG is a novel prognostic biomarker and correlated with immune infiltrates in lung adenocarcinoma,success,no,,,
2,PMC12955355,Regulatory roles of bioactive lipids in vascular homeostasis and remodeling,success,no,,,
3,PMC6618071,LIPG‐promoted lipid storage mediates adaptation to oxidative stress in breast cancer,success,no,,,
4,PMC1316069,Endothelial Lipase: A New Risk Factor for Atherosclerosis?,success,no,,,
5,bio_c6ad21607925,Endothelial lipase facilitates low-density lipoprotein (LDL) uptake in LDL receptor deficiency by a heparan sulfate proteoglycan-dependent mechanism,success,no,,,
6,PMC8426562,A host lipase prevents lipopolysaccharide-induced foam cell formation,success,no,,,
7,bio_81ee94387dff,Angiopoietin like protein 3 regulates low-density lipoprotein transport through aortic endothelial cells via endothelial lipase,success,no,,,
8,PMC7265491,Inhibition of LIPG phospholipase activity suppresses tumor formation of human basal-like triple-negative breast cancer,success,no,,,
9,PMC4378362,Analysis of the transcriptional networks underpinning the activation of murine macrophages by inflammatory mediators,success,no,,,
10,PMC6753242,"Which is the Best Predictor for the Development of Atherosclerosis Among Circulating Lipoprotein Lipase, Hepatic Lipase, and Endothelial Lipase?",success,no,,,
11,PMC3375090,Population-Based Resequencing of LIPG and ZNF202 Genes in Subjects with Extreme HDL Levels,success,no,,,
12,PMC3234219,Mining the LIPG Allelic Spectrum Reveals the Contribution of Rare and Common Regulatory Variants to HDL Cholesterol,success,no,,,
13,PMC2188426,Effects of activation on lipoprotein lipase secretion by macrophages. Evidence for autoregulation,success,no,,,
14,PMC12326425,Effect of Interactions Between Endothelial Lipase Gene Polymorphisms and Traditional Cardiovascular Risk Factors on Coronary Heart Disease Susceptibility,success,no,,,
15,PMC4822041,FoxA and LIPG endothelial lipase control the uptake of extracellular lipids for breast cancer growth,success,no,,,
16,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
17,PMC8129130,LIPG endothelial lipase and breast cancer risk by subtypes,success,no,,,
18,PMC2394514,Expression analysis of G Protein-Coupled Receptors in mouse macrophages,success,no,,,
19,PMC9002396,Lipid Metabolism in Inflammation and Immune Function,success,no,,,
20,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
21,PMC6694707,LIPG supports adaption to oxidative stress,success,no,,,
22,PMC11405259,ZDHHC1 downregulates LIPG and inhibits colorectal cancer growth via IGF2BP1 Palmitoylation,success,no,,,
23,PMC13172313,NCBP2 drives colorectal cancer growth and metastasis through LIPG-mediated lipid droplet accumulation,success,no,,,
24,PMC3296002,Increased expression of endothelial lipase in symptomatic and unstable carotid plaques,success,no,,,
25,PMC3607615,Genetic and Structure-Function Studies of Missense Mutations in Human Endothelial Lipase,success,no,,,
26,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
27,PMC6122967,LPS inactivation by a host lipase allows lung epithelial cell sensitization for allergic asthma,success,no,,,
28,PMC9367514,A Proof-of-Concept Inhibitor of Endothelial Lipase Suppresses Triple-Negative Breast Cancer Cells by Hijacking the Mitochondrial Function,success,no,,,
29,PMC7779815,Interplay between Saturated Free Fatty Acids and mmLDL Induces Inflammation in LPS-stimulated Macrophages,success,no,,,
30,PMC5017691,Associations of Rs3744841 and Rs3744843 Polymorphisms in Endothelial Lipase Gene with Risk of Coronary Artery Disease and Lipid Levels in a Chinese Population,success,no,,,
31,PMC6435540,LipG a bifunctional phospholipase/thioesterase involved in mycobacterial envelope remodeling,success,no,,,
32,PMC12522510,Construction of a lipid metabolism-based prognostic gene signature in cervical squamous cell carcinoma and validation of LIPG’s oncogenic role,success,no,,,
33,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
34,PMC13273450,Immunogenetic modulation of endothelial inflammation by the LIPG −384A/C promoter variant influences COVID-19 severity,success,no,,,
35,PMC5809145,LIPG signaling promotes tumor initiation and metastasis of human basal-like triple-negative breast cancer,success,no,,,
36,PMC11928643,Roles of TLR4 in macrophage immunity and macrophage-pulmonary vascular/lymphatic endothelial cell interactions in sepsis,success,no,,,
37,PMC10476801,Functional involvement of endothelial lipase in hepatitis B virus infection,success,no,,,
38,PMC6527387,Quercetin inhibits LPS-induced macrophage migration by suppressing the iNOS/FAK/paxillin pathway and modulating the cytoskeleton,success,no,,,
39,PMC8483387,Endothelial lipase mediates efficient lipolysis of triglyceride-rich lipoproteins,success,no,,,
40,PMC12847160,Free Fatty Acids and LPS Synergistically Promote Macrophage M1 Polarization and Insulin Resistance Via FTO-Mediated CSF1 Degradation,success,no,,,
41,PMC7221167,Novel Role of Endothelial Derived Exosomal HSPA12B in Regulating Macrophage Inflammatory Responses in Polymicrobial Sepsis,success,no,,,
42,PMC3317238,LPS Counter Regulates RNA Expression of Extracellular Proteases and Their Inhibitors in Murine Macrophages,success,no,,,
43,PMC2188197,Bacterial lipopolysaccharides prime macrophages for enhanced release of arachidonic acid metabolites,success,no,,,
44,PMC3525607,Macrophages mediate colon carcinoma cell adhesion in the rat liver after exposure to lipopolysaccharide,success,no,,,
45,PMC5627409,Selection of reliable reference genes for the normalisation of gene expression levels following time course LPS stimulation of murine bone marrow derived macrophages,success,no,,,
46,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
47,PMC9990300,Macrophage-derived exosomes mediate glomerular endothelial cell dysfunction in sepsis-associated acute kidney injury,success,no,,,
48,PMC3428317,"Segregation of LIPG, CETP, and GALNT2 Mutations in Caucasian Families with Extremely High HDL Cholesterol",success,no,,,
49,PMC4818918,Changes in lipoprotein lipase and endothelial lipase mass in familial hypercholesterolemia during three-drug lipid-lowering combination therapy,success,no,,,
50,PMC6929444,Sex hormones affect endothelial lipase-mediated lipid metabolism and atherosclerosis,success,no,,,
