rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC7689184,TNFSF15 Promotes Antimicrobial Pathways in Human Macrophages and These Are Modulated by TNFSF15 Disease-Risk Variants,success,no,no,,,,,
2,PMC8812784,TNFSF15 facilitates differentiation and polarization of macrophages toward M1 phenotype to inhibit tumor growth,success,no,no,,,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,no,,,,,
4,PMC3431012,"LITAF and TNFSF15, two downstream targets of AMPK, exert inhibitory effects on tumor growth",success,no,no,,,,,
5,PMC3959508,Identifying and testing candidate genetic polymorphisms in irritable bowel syndrome: association with TNFSF15 and tumor necrosis factor-α,success,no,no,,,,,
6,PMC12294962,"Quantitative Proteomics Reveals Fh15 as an Antagonist of TLR4 Downregulating the Activation of NF-κB, Inducible Nitric Oxide, Phagosome Signaling Pathways, and Oxidative Stress of LPS-Stimulated Macrophages",success,no,no,,,,,
7,PMC6130856,Reduced monocyte and macrophage TNFSF15/TL1A expression is associated with susceptibility to inflammatory bowel disease,success,yes,yes,"In monocytes stimulated with immune complex and intracellular poly(I:C), the protective allele was associated with higher levels of TNFSF15 mRNA (p 1.33 x 10−3 and p 0.0155, respectively), similar to results in unstimulated cells, while LPS-stimulated monocytes showed a comparable trend but with more variability (p 0.273, Fig 2A).","Monocytes were stimulated with 100 ng/mL LPS (Sigma), plate-bound immune complex (as previously described [52]), or 100 μg/mL intracellular polyinosinic:polycytidylic acid (poly(I:C)), prepared with 1 mg/mL high molecular weight poly(I:C) mixed 1:1 with LyoVec transfection reagent (Invivogen) at RT for 15 minutes.",Tnfsf15;TNFSF15,LPS,
8,PMC9161903,Protective effect of growth differentiation factor 15 in sepsis by regulating macrophage polarization and its mechanism,success,no,no,,,,,
9,PMC6584785,Distinct Expression Patterns of Two Tumor Necrosis Factor Superfamily Member 15 Gene Isoforms in Human Colon Cancer,success,no,no,,,,,
10,PMC12872506,GDF15 orchestrates mitochondrial-immune crosstalk via SMAD7-HIF-1α-PKM2 cascade to attenuate septic liver injury,success,no,no,,,,,
11,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,no,,,,,
12,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,no,no,,,,,
13,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,no,,,,,
14,PMC5979423,Cytokine Expression and Macrophage Localization in Xenograft and Allograft Tumor Models Stimulated with Lipopolysaccharide,success,no,no,,,,,
15,PMC5954968,Tremella fuciformis Polysaccharides Attenuate Oxidative Stress and Inflammation in Macrophages through miR-155,success,no,no,,,,,
16,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,no,,,,,
17,PMC9778199,Genetic and Epigenetic Etiology of Inflammatory Bowel Disease: An Update,success,no,no,,,,,
18,PMC8456026,The Clinical Value of GDF15 and Its Prospective Mechanism in Sepsis,success,no,no,,,,,
19,PMC5358891,Analysis of the human monocyte-derived macrophage transcriptome and response to lipopolysaccharide provides new insights into genetic aetiology of inflammatory bowel disease,error,,,,,,,
20,PMC11994614,Oral and transdermal administration of lipopolysaccharide safely enhances self-healing ability through the macrophage network,success,no,no,,,,,
21,PMC11242731,Macrophages as a Source and Target of GDF-15,success,no,no,,,,,
22,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,no,,,,,
23,PMC5430818,Growth Differentiation Factor-15 Deficiency Augments Inflammatory Response and Exacerbates Septic Heart and Renal Injury Induced by Lipopolysaccharide,success,no,no,,,,,
24,PMC10690882,TNFSF15 facilitates the differentiation of CD11b+ myeloid cells into vascular pericytes in tumors,success,no,no,,,,,
25,PMC6384511,Role of TNFSF15 in the intestinal inflammatory response,success,no,no,,,,,
