title,authors,id,source,date,url,abstract
“Of Mice and Men”: Arginine Metabolism in Macrophages,Anita C. Thomas; Joshua T. Mattila,Matched: Why is there Controversy?,cat /papers/PMC4188127/content.lines --lines 23-33,2014-10-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4188127/,
Nitric oxide produced by NOS2 copes with the cytotoxic effects of superoxide in macrophages,Sho Kobayashi; Takujiro Homma; Junichi Fujii,Matched: NO production was elevated in WT and SOD1-deficient macrophages upon L,cat /papers/PMC7905073/content.lines --lines 61-62,2021-02-20,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7905073/,"This study investigated the role of nitric oxide (NO) in protecting macrophages from superoxide toxicity. NO produced by NOS2 was found to counteract superoxide's cytotoxic effects, particularly under inflammatory conditions."
Species-Specific Transcriptional Regulation of Genes Involved in Nitric Oxide Production and Arginine Metabolism in Macrophages,Rachel Young; Stephen J. Bush; Lucas Lefevre; Mary E. B. McCulloch; Zofia M. Lisowski; Charity Muriu...,Matched: Discussion,cat /papers/PMC6245571/content.lines --lines 45-46,2018-11-05,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6245571/,"This study analyzed gene expression related to nitric oxide production in macrophages from various species. Macrophage responses to LPS stimulation, including NOS2 induction, are not conserved across species and may be influenced by retrotransposon insertions."
Lipopolysaccharide-Induced Nitric Oxide and Prostaglandin E2 Production Is Inhibited by Tellimagrandin II in Mouse and Human Macrophages,Chun-Yu Lin; Shih-Han Kao; Ling-Chien Hung; Hsin-Ju Chien; Wen-Hung Wang; Yu-Wei Chang; Yen-Hsu Chen,Matched: 3.2. TGII Reduces LPS-Stimulated NO Production in Macrophages by Regul,cat /papers/PMC8146495/content.lines --lines 40,2021-04-30,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8146495/,Tellimagrandin II was studied for its anti-inflammatory effects on macrophages stimulated by lipopolysaccharide. TGII significantly inhibited nitric oxide and prostaglandin E2 production by reducing key inflammatory signaling pathways.
Dataset on the differentiation of THP-1 monocytes to LPS inducible adherent macrophages and their capacity for NO/iNOS signaling,Adem Ozleyen; Yakup Berkay Yilmaz; Tugba Boyunegmez Tumer,Matched: Data Description,cat /papers/PMC7851796/content.lines --lines 27-38,2021-01-21,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7851796/,This study details optimized conditions for differentiating THP-1 monocytes into adherent macrophages and inducing inflammatory responses. The differentiated cells exhibit significant NO/iNOS signaling and altered expression of pro-inflammatory genes upon LPS stimulation.
A Defective TLR4 Signaling for IFN-β Expression Is Responsible for the Innately Lower Ability of BALB/c Macrophages to Produce NO in Response to LPS as Compared to C57BL/6,Luciana S. Oliveira; Nina M. G. P. de Queiroz; Laura V. S. Veloso; Thaís G. Moreira; Fernanda S. Oli...,Matched: Differential production of NO in C57BL/6 and BALB/c macrophages correl,cat /papers/PMC4049611/content.lines --lines 43-44,2014-06-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4049611/,"BALB/c macrophages produce less NO than C57BL/6 macrophages upon LPS stimulation due to a defective TLR4-induced IFN-β signaling pathway. This defect impairs STAT-1 activation, leading to lower iNOS mRNA and protein levels."
Neutrophilic granule protein promotes lipopolysaccharide-induced iNOS/NO expression via JAK2/STAT1 signaling pathway and augments bacteria clearance of macrophages,Lixing Tian; Shuangqin Yin; Jing Wang; Hongyan Xiao; Tianyin Kuang; Li Luo; Shengxiang Ao; Jing Zhou...,Matched: RNA sequencing revealed that Nos2 (iNOS gene) and NGP exhibited positi,cat /papers/PMC12592619/content.lines --lines 55-56,2025-11-06,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC12592619/,"Neutrophilic granule protein (NGP) was studied for its role in macrophage response to lipopolysaccharide (LPS). NGP enhances LPS-induced nitric oxide production via the JAK2/STAT1 pathway, promoting bacterial clearance."
"Pheophytin a Inhibits Inflammation via Suppression of LPS-Induced Nitric Oxide Synthase-2, Prostaglandin E2, and Interleukin-1β of Macrophages",Chun-Yu Lin; Chien-Hsing Lee; Yu-Wei Chang; Hui-Min Wang; Chung-Yi Chen; Yen-Hsu Chen,Matched: 3.10. NOS2 Promoter Activity Assay,cat /papers/PMC4284740/content.lines --lines 56,2014-12-09,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4284740/,Pheophytin a was studied for its anti-inflammatory effects on macrophages. It was found to suppress key inflammatory mediators like nitric oxide and prostaglandin E2 by inhibiting specific signaling pathways.
Modulation of nitric oxide synthase activity in macrophages,P. G. Jorens; K. E. Matthys; H. Bult,Matched: Abstract,cat /papers/PMC2365621/content.lines --lines 1-6,1995,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2365621/,"This review examines the induction and regulation of inducible nitric oxide synthase (iNOS) in macrophages. It highlights how cytokines and other factors control NO release, a key molecule in host defense."
Anti-Inflammatory Cytokine Interleukin-4 Inhibits Inducible Nitric Oxide Synthase Gene Expression in the Mouse Macrophage Cell Line RAW264.7 through the Repression of Octamer-Dependent Transcription,Miki Hiroi; Yoshiichi Sakaeda; Hana Yamaguchi; Yoshihiro Ohmori,Matched: 3.1. Inhibition of IFNγ- and/or LPS-Induced Nos2 mRNA Expression by IL,cat /papers/PMC3891534/content.lines --lines 40-41,2013-12-29,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3891534/,"Interleukin-4's inhibition of inducible nitric oxide synthase gene expression in RAW264.7 cells was studied. IL-4 represses Oct-1-dependent transcription by competing for coactivators, thereby inhibiting iNOS."
