rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC12766987,Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses,success,yes,"We found that the ion channel of Calhm6 is significantly induced by LPS and wrapped in ectosomes (Figure 1E; Figure S1A, Supporting Information).",Calhm6,
2,PMC4199742,HDAC6 Deacetylase Activity Is Critical for Lipopolysaccharide-Induced Activation of Macrophages,success,no,,,
3,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
4,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
5,PMC12130849,Macrophages release neuraminidase and cleaved calreticulin for programmed cell removal,success,no,,,
6,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,success,no,,,
7,PMC10068325,The ion channel CALHM6 controls bacterial infection‐induced cellular cross‐talk at the immunological synapse,success,yes,"Both LPS and IFN-Γ upregulated CALHM6, with high and sustained levels of CALHM6 expression induced by IFN-Γ, while LPS-induced expression was lower and transient over 48 h (Fig 1D).",Calhm6,
8,PMC12308322,Store-operated calcium entry facilitates LPS-induced superoxide anion-dependent macrophage extracellular traps,success,no,,,
9,PMC8591423,Resolving macrophage polarization through distinct Ca2+ entry channel that maintains intracellular signaling and mitochondrial bioenergetics,success,no,,,
10,PMC5484384,Ionized calcium‐binding adaptor molecule 1 positive macrophages and HO‐1 up‐regulation in intestinal muscularis resident macrophages,success,no,,,
11,PMC3333514,Monocyte normal immune response to LPS stimulation,success,no,,,
12,PMC4904125,Inhibition of Extracellular Calcium Influx Results in Enhanced IL-12 Production in LPS-Treated Murine Macrophages by Downregulation of the CaMKKβ-AMPK-SIRT1 Signaling Pathway,success,no,,,
13,PMC7015811,Structure and assembly of calcium homeostasis modulator proteins,success,no,,,
14,PMC13383683,Correction to “Calhm6 Governs Macrophage Polarization Through Chp1‐Camk4‐Creb1 Axis and Ectosomal Delivery in Inflammatory Responses”,success,no,,,
15,PMC8386937,Microglial Calhm2 regulates neuroinflammation and contributes to Alzheimer’s disease pathology,success,no,,,
16,PMC9563021,Baicalin Modulates Inflammatory Response of Macrophages Activated by LPS via Calcium-CHOP Pathway,success,no,,,
17,PMC10789631,"CTRP6 promotes the macrophage inflammatory response, and its deficiency attenuates LPS-induced inflammation",success,no,,,
18,PMC9916843,Moutan Cortex Extract Modulates Macrophage Activation via Lipopolysaccharide-Induced Calcium Signaling and ER Stress-CHOP Pathway,success,no,,,
19,PMC7556292,miR-106a Targets Anoctamin 1 (ANO1) to Regulate Lipopolysaccharide (LPS)-Induced Inflammatory Response in Macrophages,success,no,,,
20,PMC12032354,Dietary targeting of TRPM8 rewires macrophage immunometabolism reducing colitis severity,success,no,,,
21,PMC9138386,Osteocalcin Alleviates Lipopolysaccharide-Induced Acute Inflammation via Activation of GPR37 in Macrophages,success,no,,,
22,PMC5063294,Calcitonin Peptide Family Members Are Differentially Regulated by LPS and Inhibit Functions of Rat Alveolar NR8383 Macrophages,success,no,,,
