title,authors,id,source,date,url,abstract
RasGRP3 limits Toll-like receptor-triggered inflammatory response in macrophages by activating Rap1 small GTPase,Songqing Tang; Taoyong Chen; Zhou Yu; Xuhui Zhu; Mingjin Yang; Bin Xie; Nan Li; Xuetao Cao; Jianli W...,Matched: Macrophages preferentially express RasGRP3,cat /papers/PMC4143924/content.lines --lines 16-18,2014-08-14,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4143924/,"RasGRP3 was studied for its role in regulating Toll-like receptor (TLR) signaling in macrophages. RasGRP3 limits inflammatory cytokine production by activating Rap1, preventing excessive responses to low-level TLR activation."
Ras guanine nucleotide exchange factor RasGRP1 promotes acute inflammatory response and restricts inflammation-contributed cancer cell growth,"Cong Wang, Xue Li, Changping Yu, Luoling Wang, Rilin Deng, Hui Liu, Zihao Chen, Yingdan Zhang, Supin...",Matched: RasGRP1  mRNA 3’UTR aggravates LPS-induced systemic inflammation in  I,cat /papers/bio_eb63fe517001/content.lines --lines 37-38,2021-03-11,,RasGRP1 promotes acute inflammation by increasing IL-6 expression and restricts inflammation-driven cancer cell growth by inhibiting EGFR signaling. High RasGRP1 expression correlates with better patient outcomes.
RasGRP Exacerbates Lipopolysaccharide-Induced Acute Kidney Injury Through Regulation of ERK Activation,Wen Tang; Lu Wang; Yan Liu; Dong Xiao,Matched: RasGRP Is Required for the Induction of Various Proinflammatory Cytoki,cat /papers/PMC8860163/content.lines --lines 35-36,2022-01-31,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8860163/,"This study investigated RasGRP's role in lipopolysaccharide-induced acute kidney injury. RasGRP exacerbates kidney injury by promoting ERK activation, suggesting it's a potential therapeutic target."
Nurr1 performs its anti-inflammatory function by regulating RasGRP1 expression in neuro-inflammation,Mihee Oh; Sun Young Kim; Jung-Eun Gil; Jeong-Su Byun; Dong-Wook Cha; Bonsu Ku; Woonghee Lee; Won-Kon...,Matched: Nurr1 down-regulated RasGRP1 mRNA and protein following LPS stimulatio,cat /papers/PMC7329810/content.lines --lines 86-87,2020-07-01,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7329810/,"This study investigated Nurr1's anti-inflammatory role in neuro-inflammation by identifying its gene targets. Nurr1 directly regulates RasGRP1 expression, which in turn controls inflammatory signaling pathways."
Lipopolysaccharide-induced inflammation in monocytes/macrophages is blocked by liposomal delivery of Gi-protein inhibitor,Monica Madalina Tucureanu; Daniela Rebleanu; Cristina Ana Constantinescu; Mariana Deleanu; Geanina V...,Matched: Discussion,cat /papers/PMC5743190/content.lines --lines 86,2017-12-20,https://doi.org/10.2147/IJN.S150918,"Liposomes encapsulating a G$_i$-protein inhibitor were tested for anti-inflammatory effects in LPS-activated monocytes/macrophages. Liposomal delivery of the inhibitor effectively blocked LPS-induced inflammation, cytokine production, monocyte adhesion, and chemotaxis."
Transcriptomic analysis reveals that RasGEF1b deletion alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses in macrophages,Heliana B. Fernandes; Isadora Mafra de Oliveira; Thomas S. Postler; Sérgio Q. Lima; Cícera A. C. San...,Matched: RasGEF1b is preferentially expressed in macrophages among members of t,cat /papers/PMC10638313/content.lines --lines 38-39,2023-11-10,https://doi.org/10.1038/s41598-023-47040-9,RasGEF1b deletion in macrophages was studied using transcriptomics. Its absence alters basal and LPS-induced expression of genes involved in chemotaxis and cytokine responses.
Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,"Marco Orecchioni, Yanal Ghosheh, Akula Bala Pramod, Klaus Ley",PMC6543837,Frontiers in Immunology,2019-05-24,https://doi.org/10.3389/fimmu.2019.01084,This study compared gene expression in *in vivo* M1/M2 macrophages with *in vitro* classically/alternatively activated macrophages. The findings indicate that *in vivo* M1/M2 polarization is not equivalent to *in vitro* activation states.
Citri Reticulatae Pericarpium Limits TLR-4-Triggered Inflammatory Response in Raw264.7 Macrophages by Activating RasGRP3,Ji Hye Lee; Yon-Suk Kim; Kang Hyun Leem,Matched: 2.2. Effects of CRE on the RasGRP3 Expression in Raw264.7 Cells,cat /papers/PMC10530606/content.lines --lines 21,2023-09-07,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC10530606/,"Citri Reticulatae Pericarpium extract (CRE) was studied for its immunomodulatory effects on macrophages. CRE limits TLR-4-triggered inflammation by activating RasGRP3, particularly in low-intensity inflammatory conditions."
Genome-wide siRNA screen of genes regulating the LPS-induced NF-κB and TNF-α responses in mouse macrophages,"Ning Li, Samuel Katz, Bhaskar Dutta, Zachary L. Benet, Jing Sun, Iain D.C. Fraser",PMC5332015,Scientific Data,2017-03-01,https://doi.org/10.1038/sdata.2017.8,A genome-wide siRNA screen identified genes regulating LPS-induced NF-κB and TNF-α responses in mouse macrophages. This study provides a resource for analyzing gene function in this key inflammatory pathway.
RasGRP1 promotes the acute inflammatory response and restricts inflammation-associated cancer cell growth,Cong Wang; Xue Li; Binbin Xue; Changping Yu; Luoling Wang; Rilin Deng; Hui Liu; Zihao Chen; Yingdan ...,Matched: The Rasgrp1 mRNA 3’ UTR aggravates LPS-induced systemic inflammation i,cat /papers/PMC9669001/content.lines --lines 34-35,2022-11-16,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9669001/,RasGRP1 promotes acute inflammation by increasing IL-6 expression and inhibits inflammation-associated cancer by disrupting the EGFR-SOS1-Ras-AKT pathway. High RasGRP1 expression correlates with better clinical outcomes in cancer patients.
