rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC5373621,Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,success,no,,,
2,bio_b06931d16f63,The orientation of choroidal macrophage polarization significantly influences the development of myopia in murine models,success,no,,,
3,PMC3660024,Comparative Study of The Effect of LPS on The Function of BALB/c and C57BL/6 Peritoneal Macrophages,success,no,,,
4,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
5,PMC10167635,Induction of unique macrophage subset by simultaneous stimulation with LPS and IL-4,success,no,,,
6,PMC2949756,Motif prediction to distinguish LPS-stimulated pro-inflammatory vs. antibacterial macrophage genes,success,no,,,
7,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
8,PMC6375194,Responses of perivascular macrophages to circulating lipopolysaccharides in the subfornical organ with special reference to endotoxin tolerance,success,no,,,
9,PMC3292559,New Model of Macrophage Acquisition of the Lymphatic Endothelial Phenotype,success,no,,,
10,PMC8289208,Lipopolysaccharide from biofilm-forming Pseudomonas aeruginosa PAO1 induces macrophage hyperinflammatory responses,success,no,,,
11,PMC9656053,A Global Picture of Molecular Changes Associated to LPS Treatment in THP-1 Derived Human Macrophages by Fourier Transform Infrared Microspectroscopy,success,no,,,
12,PMC11606203,A polycomb group protein EED epigenetically regulates responses in lipopolysaccharide tolerized macrophages,success,no,,,
13,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,success,no,,,
14,PMC13199726,Exosomal miR-148a-3p from LPS-Activated Macrophages Promotes M1 Polarization and Ferroptosis-Related Characteristics of Recipient Macrophages by Reducing SLC7A11,success,no,,,
15,bio_206e5a356c66,Mathematical modelling of activation-induced heterogeneity reveals cell state transitions underpinning macrophage responses to LPS,success,no,,,
16,PMC9456100,"Lipopolysaccharide from Porphyromonas gingivalis, but Not from Porphyromonas endodontalis, Induces Macrophage M1 Profile",success,no,,,
17,PMC10091190,LPS combined with CD47mAb enhances the anti‑osteosarcoma ability of macrophages,success,no,,,
18,PMC13261286,RETRACTION: Epinephrine Enhances the Response of Macrophages under LPS Stimulation,success,no,,,
19,PMC6396028,A novel role for myeloid endothelin-B receptors in hypertension,success,yes,"BMDM stimulation with LPS/INḞ̲g (but not IL-4/IL-13) increased the media concentration of ET-1 at 24 h (see Supplementary material online, Figure S7), an effect that was blocked by phosphoramidon, an inhibitor of endothelin converting enzyme (ECE) which catalyzes the conversion of big ET-1 to the mature peptide.",,
20,PMC7275413,Progranulin inhibits LPS-induced macrophage M1 polarization via NF-кB and MAPK pathways,success,no,,,
21,PMC13483658,miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1,success,yes,EDN1 has been confirmed to be upregulated in renal fibroblasts after LPS attack [34]. This study also found this result.,,
22,PMC8290014,Erlotinib protests against LPS-induced parthanatos through inhibiting macrophage surface TLR4 expression,success,no,,,
23,PMC9411976,"Mathematical modelling of activation-induced heterogeneity in TNF, IL6, NOS2, and IL1β expression reveals cell state transitions underpinning macrophage responses to LPS",success,no,,,
24,PMC10949775,Lipopolysaccharide regulation of antiinflammatory tristetraprolin family and proinflammatory gene expression in mouse macrophages,success,no,,,
25,PMC7779813,"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",success,yes,"To validate the results of RNA sequencing, the Edn1 mRNA level in macrophages was determined after mmLDL treatment. Macrophages were treated with LPS with or without mmLDL. The relative expression of Edn1 in cells treated with mmLDL and LPS was higher than that in cells treated with LPS alone (Figure 4A).",,
