rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2188743,"Endothelins, peptides with potent vasoactive properties, are produced by human macrophages",filtered_out,no,,,
2,PMC7779813,"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",success,yes,,,
3,PMC12429320,Rodent Models of Lung Disease: A Road Map for Translational Research,filtered_out,no,,,
4,PMC2365438,"Endothelin-1 stimulates human monocytes in vitro to release TNF-α , IL-1β and IL-6",filtered_out,no,,,
5,PMC7858588,Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells,filtered_out,no,,,
6,PMC4753051,Systemic and Splanchnic Lipopolysaccharide and Endothelin-1 Plasma Levels in Liver Cirrhosis before and after Transjugular Intrahepatic Portosystemic Shunt,filtered_out,no,,,
7,PMC5373621,Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,filtered_out,no,,,
8,PMC2629980,Preferential recruitment of neutrophils by endothelin-1 in acute lung inflammation induced by lipopolysaccharide or cigarette smoke,filtered_out,no,,,
9,PMC6881566,Enhanced Endothelin A and B Receptor Expression and Receptor-Mediated Vasoconstriction in Rat Mesenteric arteries after Lipopolysaccharide Challenge,filtered_out,no,,,
10,PMC5112853,Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,filtered_out,no,,,
11,PMC6144854,Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages,filtered_out,no,,,
12,PMC10634087,Extracellular vesicles derived from endothelial cells modulate macrophage phenotype in vitro,filtered_out,no,,,
13,PMC13483658,miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1,success,yes,,,
14,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
15,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,filtered_out,no,,,
16,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",filtered_out,no,,,
17,PMC3826139,Chlorella 11-Peptide Inhibits the Production of Macrophage-Induced Adhesion Molecules and Reduces Endothelin-1 Expression and Endothelial Permeability,filtered_out,no,,,
18,PMC10343049,A novel co-culture model for investigation of the effects of LPS-induced macrophage-derived cytokines on brain endothelial cells,filtered_out,no,,,
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,filtered_out,no,,,
20,PMC6375194,Responses of perivascular macrophages to circulating lipopolysaccharides in the subfornical organ with special reference to endotoxin tolerance,filtered_out,no,,,
21,PMC3953056,Epigenetic profile in lipopolysaccharide-stimulated macrophages,filtered_out,no,,,
22,bio_5a4c8a837ab5,Macrophage EHD1 promotes inflammation and stabilizes sortilin to accelerate atherosclerosis,filtered_out,no,,,
23,PMC6396028,A novel role for myeloid endothelin-B receptors in hypertension,filtered_out,no,,,
24,PMC8155903,Differential mRNA and miRNA Profiles Reveal the Potential Roles of Genes and miRNAs Involved in LPS Infection in Chicken Macrophages,success,yes,,,
25,PMC7918892,LPS Tolerance Inhibits Cellular Respiration and Induces Global Changes in the Macrophage Secretome,filtered_out,no,,,
