rank,paper_id,title,judge_status,answer,evidence,evidence_names,downgraded
1,PMC2188743,"Endothelins, peptides with potent vasoactive properties, are produced by human macrophages",success,yes,"From a basal level of 11 pg/ml, LPS induced a sixfold increase of endothelin 1 to 65 pg/ml.",endothelin 1,
2,PMC7779813,"Nlrp3, Csf3, and Edn1 in Macrophage Response to Saturated Fatty Acids and Modified Low-Density Lipoprotein",success,yes,"To validate the results of RNA sequencing, the Edn1 mRNA level in macrophages was determined after mmLDL treatment. Macrophages were treated with LPS with or without mmLDL. The relative expression of Edn1 in cells treated with mmLDL and LPS was higher than that in cells treated with LPS alone (Figure 4A).",Edn1,
3,PMC12429320,Rodent Models of Lung Disease: A Road Map for Translational Research,success,no,,,
4,PMC2365438,"Endothelin-1 stimulates human monocytes in vitro to release TNF-α , IL-1β and IL-6",success,no,,,
5,PMC7858588,Macrophages enhance lipopolysaccharide induced apoptosis via Ang1 and NF-κB pathways in human umbilical vein endothelial cells,success,no,,,
6,PMC4753051,Systemic and Splanchnic Lipopolysaccharide and Endothelin-1 Plasma Levels in Liver Cirrhosis before and after Transjugular Intrahepatic Portosystemic Shunt,success,no,,,
7,PMC5373621,Correction: Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,success,no,,,
8,PMC2629980,Preferential recruitment of neutrophils by endothelin-1 in acute lung inflammation induced by lipopolysaccharide or cigarette smoke,success,no,,,
9,PMC6881566,Enhanced Endothelin A and B Receptor Expression and Receptor-Mediated Vasoconstriction in Rat Mesenteric arteries after Lipopolysaccharide Challenge,success,no,,,
10,PMC5112853,Alternatively Activated (M2) Macrophage Phenotype Is Inducible by Endothelin-1 in Cultured Human Macrophages,success,no,,,
11,PMC6144854,Effect of Human Umbilical Vein Endothelial Cells on Immune Responses of Lipopolysaccharide-Induced THP1 Macrophages,success,no,,,
12,PMC10634087,Extracellular vesicles derived from endothelial cells modulate macrophage phenotype in vitro,success,no,,,
13,PMC13483658,miR-379-5p serves as a biomarker and regulates sepsis-associated acute kidney injury via targeting EDN1,success,no,This study also found this result.,,yes->no: evidence does not name the gene
14,PMC7053374,Corrigendum: Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
15,PMC6543837,Macrophage Polarization: Different Gene Signatures in M1(LPS+) vs. Classically and M2(LPS–) vs. Alternatively Activated Macrophages,success,no,,,
16,PMC13372918,"Lipopolysaccharide-mediated macrophage polarization, conserved pathogenesis, and implications for peripheral neuropathy: a systematic review",success,no,,,
17,PMC3826139,Chlorella 11-Peptide Inhibits the Production of Macrophage-Induced Adhesion Molecules and Reduces Endothelin-1 Expression and Endothelial Permeability,success,yes,"The addition of 50% RAW-conditioned medium strongly induced the endothelin-1 (ET-1) mRNA expression in SVEC4-10 endothelial cells (p < 0.005, Figure 5).",ET-1,
18,PMC10343049,A novel co-culture model for investigation of the effects of LPS-induced macrophage-derived cytokines on brain endothelial cells,success,no,,,
19,PMC1781469,Transcriptional profiling of the LPS induced NF-κB response in macrophages,success,no,,,
