rank,paper_id,title,judge_status,answer,model_answer,evidence,context,evidence_names,evidence_stimulus,downgraded
1,PMC5295423,IL-1α and IL-1β-producing macrophages populate lung tumor lesions in mice,success,no,yes,We observed that the stimulation of cells with the sole LPS induced a significant IL-1α release (Figure 4A).,"Then, cells were treated for 5 hours with LPS (0.1 μg/ml), ATP (0.5 mM, for 30 minutes; Sigma Aldrich, Rome, Italy), Glybenclamide (1 μM, Sigma Aldrich, Rome, Italy), Ac-YVAD-cmk (0.1 μg/ml, Sigma Aldrich, Rome, Italy), monoclonal anti-IFNAR antibody (eBioscience, CA, USA).",,LPS,yes->no: evidence does not name the gene
2,bio_5bcf0fbf7dda,Inflammatory responses following CRISPR modification of the nuclear localisation sequence in endogenous interleukin-1α,success,no,yes,LPS treatment significantly increases Pro-IL-1̓α levels in WT and Het compared to control (ns vs *).,Supplementary Figure 4 displays 12 panels (A-L) showing densitometry of western blots related to IL-1̓α and IL-1̓β processing and release in response to non-canonical inflammasome activation or ZVAD-induced necroptosis.,,LPS,yes->no: evidence does not name the gene
3,PMC6637303,Developmentally Regulated Innate Immune NFκB Signaling Mediates IL-1α Expression in the Perinatal Murine Lung,success,no,yes,"In contrast, there was robust IL-1α expression in saccular lung (e19, Figure 1A; p0, Figure 1B).","For this study, we compared LPS-induced pulmonary IL-1α expression during the pseudoglandular/canalicular (e15), saccular (e19 and P0), early alveolar (P7), late alveolar (P28), and adult stages of lung development.",,LPS,yes->no: evidence does not name the gene
4,PMC5719027,CRISPR/Cas9 mediated mutation of mouse IL-1α nuclear localisation sequence abolishes expression,success,no,yes,Production of IL-1α mRNA was upregulated in BMDMs isolated from IL-1α+/+ mice following 5 h LPS stimulation (Fig. 4J).,"BMDMs were treated with vehicle or LPS (1 μg ml−1, 5 h) lysed in TRIzol Reagent (ThermoFisher) and RNA isolated according to the manufacturer’s instructions.",,LPS,yes->no: evidence does not name the gene
5,PMC13421434,Targeting senescence-associated secretory phenotype macrophage: apigenin inhibits DOT1L-dependent H3K79me2 at IL1A to fight SASP in senescent macrophages,success,yes,yes,"Exposure to LPS-induced IL1A expression in macrophages (Figure 3A, P < 0.001), which was neutralized by API (10 and 20 µM) treatment (Figure 3A, P < 0.01).",THP-1 macrophages were treated with 10 and 20 µM API for 12 h and stimulated with 1 μg/mL LPS for 24 h (A).,Il1a;IL1A,LPS,
6,PMC2119227,Transition from interleukin 1 beta (IL-1 beta) to IL-1 alpha production during maturation of inflammatory macrophages in vivo,success,yes,yes,"In comparison, synthesis of IL-1 alpha was temporarily delayed by at least 24 h and was only found in mature macrophages, which did not produce detectable levels of IL-1 beta.",In situ production of interleukin 1 alpha (IL-1 alpha) and IL-1 beta was investigated in Peyer's patches (PP) of mice undergoing an acute bacterial infection with Yersinia enterocolitica O8.,interleukin 1 alpha,bacterial;infection;Yersinia,
7,PMC11495263,The common IL1A single nucleotide polymorphism rs17561 is a hypomorphic mutation that significantly reduces interleukin‐1α release from human blood cells,success,no,no,,,,,
8,PMC7883330,CCR5 signaling promotes lipopolysaccharide-induced macrophage recruitment and alveolar developmental arrest,success,no,no,,,,,
9,PMC7733482,D-mannose suppresses macrophage IL-1β production,success,no,no,,,,,
10,bio_16d3b4c677d7,Host-derived Interleukin 1α induces an immunosuppressive tumor microenvironment via regulating monocyte-to-macrophage differentiation,success,no,no,,,,,
